	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	1	1	1	1	1	0.00896937050364055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001987109890340233	1	0.04460715241856361	1	1	1	1	1	1	0.027556273539184106	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	1	1	1	1	1	1	0.0005050309740916026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	8.980110983713985e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	8.980110983713985e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	1	1	1	0.01716788644929057	1	1	2.4425903097702317e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	0.026061351003461075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0006912832468021213	1	1	1	1	1	1	1	1	1	1	0.049774552152456186	1	1	1	1	1	1	1
GO_ACID_SECRETION	1	1	1	1	1	1	1	0.05924472020988247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09724549209073885	1	1	1	0.019795053860814482	1	0.0009002833614193406	1	1	1	1	1
GO_ACROSOMAL_VESICLE	1	0.06231322232293213	1	1	0.08975937326682382	1	0.02051168078278265	1	1	1	1	1	1	1	1	1	1	1	1	1	0.045524451797232635	1	1	1	1	0.010444073462437031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014127806011340116	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03274476269680493	1	1	1	1	1	1	1	1	1	1	1	1	0.05402570814101071	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_BINDING	1	1	1	1	1	1	1	0.0072680202685989626	1	1	0.0008963721949052372	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06177508436268064	1	1	1	0.043390565448255924	1	1	1	0.0696671602335206	1	1	1	0.08170459450478162	0.012506076230473062	1	1
GO_ACTIN_CYTOSKELETON	1	1	1	1	1	1	1	0.09295380397295228	1	1	0.009569303096243043	1	1	1	0.032478950193923106	0.0789778569476276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09116219691110772	1	1	1	1	1	1	1	1	0.08588210687271336	1	1
