	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.410091343476	1	1	1	1
GO_AXON	1	1	1	0.0187964149267	0.00676096224491	1	1	1	1	1	0.0381442457575	0.0	0.156258758977	1	0.0621020445311	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	0.816803774542	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.0381876147822	1	1	1	1
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	1	1	1	1	1	1	0.708423754087	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	0.153103676998	1	1	1	1	0.310424546043	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.535029786837	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	1	1	1	0.963079336285	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	1	1	7.08710774699e-06	1	1	1	1	0.145280771871	1	0.00120681477338	1	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	0.0182769845532	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.0	1	1	1	1	1	1	0.625776751307	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0255491960325	1	1	1	1	1	1	0.365648500802	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	0.0380381398534	1	1	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	0.0633574190062	1	1	1	1
GO_CELL_BODY	1	1	1	1	0.00691399410341	1	1	1	1	1	1	0.00560084581597	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.147544605467	1	1	1	0.657039906482	1	1	1.2066484868e-05	0.0511702594999	1	1	1
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	1	1	0.5081076722	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	1	1	0.963079336285	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	0.0559034604723	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	0.880035354102	1	1	1	0.190597697178
GO_DENDRITIC_SHAFT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.730236522017
GO_DENDRITIC_TREE	1	1	1	1	0.00282583749713	1	1	1	1	1	1	0.0	1	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	1	1	0.90316621252	0.352325517522	1	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	1	0.00314514318279	1	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	3.96147899567e-05	1	1	1	1	0.155610877705	1	0.000231733157335	1	1	1	1
GO_HORMONE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	0.229052725292	1	1	1
GO_HORMONE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	0.656001354469	0.099072629164	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000366401255486	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1.4038133519e-05	1	1	1	1	1	1	0.357927171966	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0399025387289	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSPORT	1	1	1	1	0.00792894039038	1	1	1	1	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.199754489007	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	0.192982180795	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	0.0494718783562	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.00125121810168	1	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.109397363256	1	1	1	1	0.955700702051	1	0.0200047045751	1	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	1	0.0217110046175	1	1	1	1	1	1	0.971763438298	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	0.0657129476434	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	1	1	1	1	0.242337059823	1	1	1	1	1	1	0.447737671586	1	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	0.576823238699	1	1	1	1	0.0931412128903	1	1	1	1	1	1
GO_NEUROGENESIS	1	1	1	1	0.49855011706	1	1	1	1	1	1	0.0249195409344	0.168997127315	1	1	1
GO_NEURONAL_DENSE_CORE_VESICLE	1	1	1	1	1	1	1	0.663853237826	1	1	1	1	1	1	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	0.219561358752	1	1	1	1	1	1	0.0221495630718	1	1	1	1
GO_NEURON_DIFFERENTIATION	1	1	1	1	0.634971204383	1	1	1	1	1	1	0.0741475603444	0.433391239411	1	1	1
GO_NEURON_PROJECTION	0.0338735104409	1	1	0.0143264153598	5.3749379969e-06	0.0977950398035	1	1	1	1	0.0115414011775	1.653323638e-05	0.00057043449258	1	8.75980474401e-05	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	3.450262047e-05	1	1	1	1	1	1	0.0070125083648	1	1	1	1
GO_PEPTIDE_HORMONE_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.841075919335	1	1	1
GO_PERIKARYON	1	1	1	1	0.261570288127	1	1	1	1	1	1	1	1	1	1	1
GO_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.336996950326	1	1
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	0.917921365786	1	1
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.577369541948	1	1
GO_POSITIVE_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.453234047058	1	1	1
GO_POSTSYNAPSE	1	1	1	1	0.132965318255	1	1	1	1	1	1	0.0288460503836	1	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	0.0349644087341	1	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	0.0321577575129	1	1	1	1
