	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_ADULT_LOCOMOTORY_BEHAVIOR							GIP SEZ6L TMOD1		EFNB3 SEZ6L			CHL1 EFNB3 GIP PBX3 SEZ6 SEZ6L SPTBN4 TMOD1 UCHL1	CXCL12 SEZ6 TMOD1 UCHL1			EFNB3 GRIN1 SEZ6 TMOD1
GO_AXON	BRSK2 C1QL1 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SYN1 UCN3	BASP1 KCNAB2 NTRK2 PTPRN2 SCN1B		AP3B2 BRSK1 BRSK2 C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 DSCAML1 KCNIP3 KCNJ11 MAP2 MAP6 SNAP25 SYN1 SYP	BSN CNGA3 CPLX2 CRH HAP1 KCNC1 KIF5A KIRREL3 MAP1A MAP1B MAP9 MAST1 NEFM PRKCG PTPRN RET SCN1B SLC8A1 SRCIN1 SYP TMOD2 UCN3 UNC80 USH2A	ATP1A3 CRMP1 DDC EPHA4 GABRG2 HAP1 NEFM PTPRN2 TMOD2 UCN3 UNC13A VSTM2L	KCNC1 SLC18A1 STMN2 STX1A TMOD2 TUBB4A UNC80	AP3B2 MAP6 PRKCG STX1A SYT5		BOC KIF1A MAP9 PTPRN2 USH2A	ADORA2A BASP1 BRSK1 CDK5R2 GRIK5 KCNAB2 KIF1A KIRREL3 NTRK2 SNAP25 SPTBN4 USH2A	ATP1A3 BASP1 BOC BRSK1 BSN CDK5R2 CPLX2 GRIK5 HAP1 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 NEFM NFASC NTS RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYP UCHL1 UCN3 UNC80 USH2A	ADORA2A BRSK1 C1QL1 CDK5R2 CNGA3 DDC DSCAML1 GHRL INSRR KIRREL3 MAP6 NTRK2 PTPRN STMN3 SYN1 UCHL1	CRH SCN1B TAC1 USH2A	ATP1A3 C1QL1 CDK5R2 CPLX2 CRH GRIK5 MAST1 NCS1 SPTBN4 STMN3 SYP	CPT1C GRIN1 KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP
GO_AXON_DEVELOPMENT	BRSK2 GFRA3 NEFL SPP1 TUBB2B			BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3 RTN4RL1	DOK6 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B	ADCY1 CRMP1 EPHA4 GFRA1 LGR6 VSTM2L	ADCY1 CHRNB2 EVL PAX6 RTN4RL1 SHC3		EFNB3 GFRA3 LGR6 NTRK2 PAX6 RTN4RL1 TMEFF1 VASH2	ADCY1 BOC TUBB2B	BRSK1 ISL1 NTRK2 SPTBN4	BOC BRSK1 CHL1 DOK6 EFNB3 ETV1 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SHC3 SPP1 SPTBN4 TUBB2B UCHL1	BRSK1 CXCL12 DSCAML1 ETV1 ISL1 JAM3 MAP6 NTRK2 UCHL1			EFNB3 GRIN1 MAP1A MAP6 RET SCN1B TMEFF1
GO_BEHAVIOR	C1QL1 FZD4 PAK6 PRKCG SEZ6 SNAP25 UNC79	ADCY1 ASIC1 FZD4 NTRK2 SDK1	ADCY5 FZD4 PAK6	BRSK1 C1QL1 NR4A3 SLC12A5 SNAP25 UNC79	AGT ASIC4 CHRNA5 CRH DACH1 ETV1 GIP KIRREL3 MAP1A NR4A3 PBX3 PCDH17 PRKCG TMOD2 UNC79	ADCY1 BRS3 CHRNA5 EPHA4 GABRG2 PYY TMOD2	ADCY1 ADCY5 CHRNA3 CHRNA5 CHRNB2 GIP SEZ6L SHC3 TMOD1 TMOD2	ADCY1 NPTX2 PBX3 PRKCG	DNAH11 EFNB3 NEGR1 NPY NTRK2 SEZ6L		ADORA2A BRSK1 KIRREL3 NPY NTRK2 SNAP25 SPTBN4	AGT ASIC1 ASIC4 BRS3 BRSK1 CHL1 CHRNA5 EFNB3 ETV1 FZD4 GIP GNAO1 KIRREL3 LMX1A MAP1A PAK6 PBX3 PYY SEZ6 SEZ6L SHC3 SLC12A5 SNAP25 SPTBN4 TMOD1 UCHL1	ADORA2A AGT ASIC4 BRSK1 C1QL1 CXCL12 ETV1 GHRL KIRREL3 NPTX2 NTRK2 SEZ6 TMOD1 UCHL1		C1QL1 CRH NEGR1 SPTBN4	AGT BRS3 DACH1 EFNB3 GRIN1 MAP1A SEZ6 TMOD1
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE							CHRNA3 CHRNA5 CHRNB2									
GO_CARDIAC_CONDUCTION	KCNJ2 SLC8A1	CACNA1G FXYD6 SCN1B	ATP1A3 FXYD1 KCNJ2	CACNA1C FXYD1 FXYD6 KCNIP3 KCNJ11	AGT ANK2 CACNA1C CACNA2D2 CACNB2 FXYD6 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	ATP1A3 CACNA1G KCNE4 KCNK3			CACNA1C CACNA1G	CACNA1G CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G KCNE4 SPTBN4	AGT ANK2 ATP1A3 CACNA1C HCN4 KCNH6 KCNIP3 KCNJ3 SCN1B SPTBN4	AGT CACNA1C CACNA1G FXYD1 KCNH2 KCNK3		ATP1A3 SPTBN4	AGT HCN4 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1	CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	CACNA1G KCNE4			CACNA1C CACNA1G	CACNA1G HCN4	CACNA1G KCNE4	ANK2 CACNA1C HCN4 KCNJ3 SCN1B	CACNA1C CACNA1G KCNH2			HCN4 KCNH2 SCN1B SCN3B
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION		CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B	CACNA1G KCNE4			CACNA1C CACNA1G		CACNA1G KCNE4	ANK2 CACNA1C KCNJ3 SCN1B	CACNA1C CACNA1G KCNH2			KCNH2 SCN1B SCN3B
GO_CATION_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B	GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B TRPM3 UNC80	CACNA1E CACNA1G CHRNA5 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 UNC80		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 CACNA1A CACNA1C CHRNA5 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CNGA3 KCNH2 KCNJ6 KCNK3 P2RX6			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_CATION_CHANNEL_COMPLEX	KCNB2 KCNJ2 SNAP25 STX1A	CACNA1G KCNAB2 KCNMB2 SCN1B	GRIN2C KCNB2 KCNJ2	CACNA1C CNIH2 KCNIP3 KCNJ11 SNAP25	CACNA1C CACNA1E CACNA2D2 CACNB2 KCNB2 KCNC1 KCNJ2 KCNJ3 SCN1B SCN3B UNC80	CACNA1E CACNA1G KCNE4	KCNC1 KCNE4 STX1A UNC80		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 CACNA1A CACNA1C CNIH2 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNJ3 KCNMA1 KCNMB2 SCN1B SNAP25 STX1A UNC80	CACNA1C CACNA1G KCNH2 KCNJ6			CNIH2 CPT1C GRIN1 HCN4 KCNH2 KCNJ11 SCN1B SCN3B
