	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_9PLUS0_NON_MOTILE_CILIUM								CERKL MAP1B SSTR3 TTLL6 USH2A																					CERKL KIAA1549 USH2A		KIAA1549 USH2A							CERKL MAP1B TTLL6 USH2A VCAN											
GO_ACETYLCHOLINE_BINDING											CHRNA3 CHRNB2																																						
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY											CHRNA3 CHRNA5 CHRNB2																																						
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX											CHRNA3 CHRNA5 CHRNB2																																						
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY								CHRM4 CHRNA5			CHRNA3 CHRNA5 CHRNB2																																						
GO_ACIDIC_AMINO_ACID_TRANSPORT		SNAP25 STX1A																													ADORA2A NTRK2 SNAP25											ADORA2A NTRK2							
GO_ACID_SECRETION								SLC26A7 SV2A																														CES1 SV2A				GHRL SCT		CES1 SCT					
GO_ACROSOMAL_VESICLE		ICA1L SV2B			KCNJ11 TMEM190		ICA1L SV2B														ICA1L SV2B					KCNJ11 TMEM190																							
GO_ACTININ_BINDING																																										ADORA2A CACNA1C							
GO_ACTIN_BASED_CELL_PROJECTION																									EPHA4 SRCIN1													JAM3 MAP2 MYO3A NFASC SRCIN1 USH2A											
GO_ACTIN_BINDING								CACNB2 CCDC88A LIMCH1 MAP1A MAP1B MTSS1 MYO3A NCALD SAMD14 TMOD2			ABLIM2 EVL LIMCH1 NCALD TMOD1 TMOD2																							LIMCH1 NCALD				ABLIM2 CCDC88A CDK5R2 KCNMA1 MAP1A MAP1B MYO3A SAMD14 SPTBN4 TMOD1				AIF1 CDK5R2 MYO3A SYN1 TMOD1				AIF1 EVL NCALD	AIF1 CDK5R2 MYO3A SPTBN4		
