	ASCL2	E2F7	ETV1	FEV	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX6	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
GO_CELLULAR_COMPONENT_MORPHOGENESIS	9	10	16	13	10	13	16	15	12	0	16	8	19	11	10	9	15	22	15	16	6	9
GO_CELL_CELL_SIGNALING	19	20	36	33	28	31	33	33	29	16	37	19	28	28	27	21	31	39	28	39	21	26
GO_EXTRACELLULAR_MATRIX	6	9	9	11	8	11	15	16	13	6	12	9	13	9	9	14	8	15	11	19	6	10
GO_MULTIVESICULAR_BODY_LUMEN	0	0	0	0	0	0	2	0	3	3	3	0	0	0	0	0	0	2	0	2	0	0
GO_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	12	8	12	13	14	13	21	15	15	6	13	12	11	14	11	7	14	18	15	18	7	0
GO_NEUROGENESIS	19	23	30	25	17	24	31	30	29	13	31	21	31	19	24	18	28	39	23	36	13	17
GO_NEURONAL_DENSE_CORE_VESICLE	0	0	2	0	2	2	4	4	3	0	2	0	0	0	3	2	0	2	2	3	0	0
GO_NEURON_DEVELOPMENT	12	19	22	18	14	21	22	21	21	7	22	14	23	12	16	14	18	30	16	25	9	12
GO_NEURON_DIFFERENTIATION	19	23	30	24	17	24	31	30	28	11	29	21	31	18	24	18	28	38	23	34	13	16
GO_NEURON_PROJECTION	14	17	26	20	21	24	26	28	20	8	24	13	24	22	26	15	23	30	18	26	15	13
GO_REGULATION_OF_CELL_DEVELOPMENT	12	12	19	16	11	17	18	16	21	8	21	9	22	17	13	11	15	25	14	22	6	13
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	10	14	20	15	12	18	18	17	19	7	20	10	22	16	14	12	16	25	15	23	7	15
GO_REGULATION_OF_NEURON_DIFFERENTIATION	9	11	18	13	8	15	15	15	17	5	16	8	18	12	13	8	14	19	11	18	5	11
GO_SYNAPSE	13	16	23	22	21	28	23	25	20	12	27	13	24	16	25	18	22	33	17	33	11	15
GO_SYNAPTIC_SIGNALING	8	7	17	13	15	19	17	16	13	11	21	6	16	12	15	12	11	20	14	20	7	11
