	ASCL2	E2F7	ETV1	FEV	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX6	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.003782596081872369	0.005177757456023557	0.0002981256519507536	0.00383415423568223	0.006956719491877261	0.0015528355966476504	0.0005107310620759975	0.0005308942407244999	0.00619763244270255	1	0.00010702584361221845	0.01657007728610349	9.587108645847664e-07	0.007311852996985557	0.017073965884534026	0.01819750801869935	0.00012184388985447825	6.969569244064111e-06	4.387612767264848e-05	0.00261462239562249	0.037625618309034436	0.021802538286162854
GO_CELL_CELL_SIGNALING	4.605308892879911e-05	0.0003322340843037175	2.75094699242473e-08	1.8024979897557358e-07	4.119978735950269e-08	1.6252283252526922e-07	2.7661278062529604e-06	2.614549994284232e-07	4.252822807249146e-06	0.0001419140996643531	5.628695287640539e-10	9.86187286292628e-05	1.0698055349256386e-05	1.3151739121086692e-06	2.9608688234539216e-06	0.0001856213374004101	1.0796541605184728e-07	7.286866129385672e-07	5.992849970715142e-07	2.508495348108042e-07	5.133543823365727e-08	9.470686689327934e-07
GO_EXTRACELLULAR_MATRIX	0.023152790770872844	0.001680600970675683	0.02590295896576844	0.0020711890847446845	0.007888873186525203	0.0009050206238568892	3.806623199353876e-05	2.611078677716705e-06	8.97420977686858e-05	0.009706698229306365	0.0005014911928432619	0.0005167851151028913	8.266383799382382e-05	0.0062334807781759816	0.005553800680113019	8.238838715701746e-07	0.02459210806830736	0.00033351694817307376	0.0003730879779149099	1.0610903126151428e-06	0.008302395695022668	0.0006767559862073114
GO_MULTIVESICULAR_BODY_LUMEN	1	1	1	1	1	1	0.001231273081650608	1	9.36391750916421e-06	1.0989700274244285e-06	1.0524900430297635e-05	1	1	1	1	1	1	0.0018047471725602948	1	0.0016702485882910123	1	1
GO_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	4.7802442332378625e-05	0.036006919964098105	0.014175289289663828	0.0033032731176263486	3.784986927191092e-05	0.0013265020285033735	7.914601583003389e-07	0.0004419322978795881	0.00019153036156427383	0.040150502160393065	0.0027107026280939195	8.073641482808647e-05	0.01328492051320751	0.0002035697911454415	0.005635947528376595	0.09708364090370114	0.00035062063901292184	0.000478620653669215	3.5862322103841215e-05	0.00029707489571062506	0.010784822940927197	1
GO_NEUROGENESIS	1.563430633855223e-05	3.226732675942756e-06	4.515065562538112e-06	0.0002020718610110661	0.003941426344771126	0.00010074847891194949	4.376239652104097e-06	1.5177362423512974e-06	8.965230159363458e-07	0.0022387352773084457	1.9718465493756554e-07	2.4692282772909024e-06	6.292036980326543e-08	0.003859041592989776	2.3340112868419638e-05	0.0014079547379766133	8.564297738766768e-07	9.884777707469539e-08	5.139425209244042e-05	8.602072095742486e-07	0.0016379928335714666	0.004884089330821517
GO_NEURONAL_DENSE_CORE_VESICLE	1	1	0.003435418395989931	1	0.0016006837225972514	0.0024752846965498954	1.6612222819567535e-06	1.1231388438170953e-06	5.7465779386922655e-05	1	0.0028931546256121266	1	1	1	3.936735232490385e-05	0.0015682220735647734	1	0.005498577827269813	0.002015165609934755	0.0001523583910590931	1	1
GO_NEURON_DEVELOPMENT	0.0014530146992681736	1.8178002069157984e-06	3.595083492002882e-05	0.0009558715076660729	0.0017023914173029953	8.214921452642798e-06	7.530294186963715e-05	5.075667754372848e-05	1.5658984332422854e-05	0.07324206070130834	8.738624956428076e-06	0.0002039911624197588	1.087265619093003e-06	0.03566246773466297	0.00083599906844678	0.0015388191215622848	0.0002223198788120495	3.304231332990071e-07	0.0006830883475532623	3.9391760905616025e-05	0.008460787517628354	0.014075517306592733
GO_NEURON_DIFFERENTIATION	1.2270906487588107e-06	1.5381415130466536e-07	1.1677892763906073e-07	3.510690331753885e-05	0.000603301278087498	5.890197764646388e-06	1.0353266588492005e-07	3.5540724252491884e-08	8.523728556308896e-08	0.004817959820422213	5.504026934222139e-08	1.4082270294313304e-07	1.0416859597128791e-09	0.0013464890910440674	1.1870793283907943e-06	0.0001772009116211004	2.2930645049434872e-08	2.8315719768912118e-09	3.064260784890749e-06	1.2405722615849157e-07	0.0003185795065786534	0.0020863557935595356
GO_NEURON_PROJECTION	0.0007090982395877576	0.00025914107153368615	7.688704710462346e-06	0.0012061067599643538	3.3843417740486714e-06	3.5951866510508523e-06	1.8581982530130325e-05	2.557157438021207e-07	0.0005463370345244467	0.07034494963057036	1.487618341988739e-05	0.003513692984230543	6.487586317494021e-06	1.2335651295769523e-05	4.4860573700233886e-08	0.0030086659621541	8.950233817528463e-06	1.2272447289518595e-05	0.00062757023127058	0.00026124903323543336	1.3483143605386161e-05	0.02242234148965261
