Cluster	FCgroup	bindgroup	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0042391	regulation of membrane potential	22/203	434/18670	2.24687822879133e-09	5.97220233212735e-06	5.26952073026008e-06	ADORA2A/CELF4/NTRK2/P2RX6/CACNG4/KCNJ3/SCN3B/KCNE4/KCNK3/KCNC1/MPP2/KCNH7/CACNA2D1/KCNMB2/SEZ6/KCNMA1/CACNA1B/GABRB3/CACNA1A/FGF14/TAC1/GHRL	22
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050804	modulation of chemical synaptic transmission	19/203	436/18670	3.13126604509055e-07	0.000287297603730788	0.000253494539270601	ADORA2A/RAB26/NCS1/CELF4/CPLX1/NTRK2/EPHA4/CACNG4/BAIAP3/DGKB/MPP2/CACNA1B/CAMK2B/CACNA1A/CPLX2/FGF14/TAC1/SCGN/GHRL	19
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0099177	regulation of trans-synaptic signaling	19/203	437/18670	3.24263661095698e-07	0.000287297603730788	0.000253494539270601	ADORA2A/RAB26/NCS1/CELF4/CPLX1/NTRK2/EPHA4/CACNG4/BAIAP3/DGKB/MPP2/CACNA1B/CAMK2B/CACNA1A/CPLX2/FGF14/TAC1/SCGN/GHRL	19
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0035637	multicellular organismal signaling	12/203	204/18670	2.48352909429894e-06	0.00128037599724655	0.00112972861346691	NTRK2/CACNG4/KCNJ3/SCN3B/KCNE4/KCNK3/KCNIP3/CACNA2D1/KCNMB2/CARTPT/SPTBN4/GHRL	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0009914	hormone transport	15/203	322/18670	2.5577119946036e-06	0.00128037599724655	0.00112972861346691	ADORA2A/CPLX1/PTPRN2/TTR/ADCY5/BAIAP3/CARTPT/CACNA1A/TAC1/ISL1/RFX6/PTPRN/GHRL/ABCC8/NEUROD1	15
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030073	insulin secretion	12/203	207/18670	2.8902392714369e-06	0.00128037599724655	0.00112972861346691	CPLX1/PTPRN2/ADCY5/BAIAP3/CARTPT/CACNA1A/ISL1/RFX6/PTPRN/GHRL/ABCC8/NEUROD1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0071804	cellular potassium ion transport	12/203	217/18670	4.70245109987476e-06	0.00156238937793339	0.00137856066454223	KCNJ3/KCNN3/KCNE4/KCNK3/KCNC1/KCNIP3/KCNH7/KCNMB2/DPP10/KCNMA1/KCNJ6/ABCC8	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0071805	potassium ion transmembrane transport	12/203	217/18670	4.70245109987476e-06	0.00156238937793339	0.00137856066454223	KCNJ3/KCNN3/KCNE4/KCNK3/KCNC1/KCNIP3/KCNH7/KCNMB2/DPP10/KCNMA1/KCNJ6/ABCC8	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0046879	hormone secretion	14/203	312/18670	8.53569601686272e-06	0.00252087555698012	0.00222427259948189	ADORA2A/CPLX1/PTPRN2/ADCY5/BAIAP3/CARTPT/CACNA1A/TAC1/ISL1/RFX6/PTPRN/GHRL/ABCC8/NEUROD1	14
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0023061	signal release	17/203	462/18670	1.27407820021248e-05	0.00315579039171982	0.00278448417597392	ADORA2A/NCS1/CPLX1/PTPRN2/ADCY5/BAIAP3/CARTPT/CACNA1B/CACNA1A/CPLX2/TAC1/ISL1/RFX6/PTPRN/GHRL/ABCC8/NEUROD1	17
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0006813	potassium ion transport	12/203	240/18670	1.30600806278849e-05	0.00315579039171982	0.00278448417597392	KCNJ3/KCNN3/KCNE4/KCNK3/KCNC1/KCNIP3/KCNH7/KCNMB2/DPP10/KCNMA1/KCNJ6/ABCC8	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	10/203	168/18670	1.56720396936451e-05	0.00347135679214239	0.00306292144188081	CELSR2/SDK1/PTPRT/CDHR3/DSCAML1/FAT3/CADM3/CDH22/PCDH20/SDK2	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030072	peptide hormone secretion	12/203	250/18670	1.96135646054772e-05	0.00401021959395064	0.00353838234340107	CPLX1/PTPRN2/ADCY5/BAIAP3/CARTPT/CACNA1A/ISL1/RFX6/PTPRN/GHRL/ABCC8/NEUROD1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:1903522	regulation of blood circulation	13/203	297/18670	2.33819830923739e-05	0.00443923650425213	0.00391692167893301	CACNG4/KCNJ3/SCN3B/KCNE4/KCNK3/KCNIP3/CACNA2D1/KCNMB2/SPTBN4/AVPR1B/CACNA1B/TAC1/GHRL	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030534	adult behavior	9/203	144/18670	2.85409965034111e-05	0.00505746458040445	0.00446240983927017	SDK1/EPHA4/CARTPT/SEZ6/CXCL12/SPTBN4/CHL1/NR4A3/GHRL	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007411	axon guidance	12/203	276/18670	5.15938101474962e-05	0.00835285437241517	0.00737006833065661	EVL/EPHA4/CDK5R1/DSCAML1/ETV1/CXCL12/SPTBN4/NCAM1/CHL1/NR4A3/LMX1A/ISL1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0097485	neuron projection guidance	12/203	277/18670	5.3423071606869e-05	0.00835285437241517	0.00737006833065661	EVL/EPHA4/CDK5R1/DSCAML1/ETV1/CXCL12/SPTBN4/NCAM1/CHL1/NR4A3/LMX1A/ISL1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007626	locomotory behavior	10/203	198/18670	6.37896437061815e-05	0.00941960405394614	0.00831130562440774	ADORA2A/PAK6/EPHA4/ADCY5/SEZ6/CXCL12/SPTBN4/CHL1/CACNA1B/LMX1A	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0035773	insulin secretion involved in cellular response to glucose stimulus	6/203	64/18670	6.80839969539518e-05	0.00952459283703178	0.00840394156306951	PTPRN2/ADCY5/BAIAP3/RFX6/PTPRN/GHRL	6
