Cluster	FCgroup	bindgroup	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0021562	vestibulocochlear nerve development	1/2	10/18670	0.00107097906663289	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0002093	auditory receptor cell morphogenesis	1/2	13/18670	0.00139216089457173	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0031223	auditory behavior	1/2	13/18670	0.00139216089457173	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0007638	mechanosensory behavior	1/2	15/18670	0.00160625342292842	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060117	auditory receptor cell development	1/2	18/18670	0.00192734918005966	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060004	reflex	1/2	19/18670	0.00203436962299519	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:2000291	regulation of myoblast proliferation	1/2	23/18670	0.00246239401420001	0.0157654177993229	NA	MALAT1	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0010996	response to auditory stimulus	1/2	26/18670	0.00278335205803759	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0001964	startle response	1/2	27/18670	0.00289032659654254	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0051450	myoblast proliferation	1/2	27/18670	0.00289032659654254	0.0157654177993229	NA	MALAT1	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060384	innervation	1/2	27/18670	0.00289032659654254	0.0157654177993229	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0042491	inner ear auditory receptor cell differentiation	1/2	32/18670	0.00342511321825867	0.0171255660912933	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0035315	hair cell differentiation	1/2	40/18670	0.00428047343420179	0.0188030041712246	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060119	inner ear receptor cell development	1/2	41/18670	0.0043873676399524	0.0188030041712246	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0021545	cranial nerve development	1/2	51/18670	0.00545599410449382	0.0192533512314712	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0090102	cochlea development	1/2	51/18670	0.00545599410449382	0.0192533512314712	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060563	neuroepithelial cell differentiation	1/2	53/18670	0.00566965054075563	0.0192533512314712	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0060113	inner ear receptor cell differentiation	1/2	56/18670	0.00599009215974389	0.0192533512314712	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0002066	columnar/cuboidal epithelial cell development	1/2	57/18670	0.00609689455663254	0.0192533512314712	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0042490	mechanoreceptor differentiation	1/2	61/18670	0.00652404676364715	0.0195721402909415	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0051965	positive regulation of synapse assembly	1/2	68/18670	0.00727134221084846	0.020775263459567	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0008344	adult locomotory behavior	1/2	77/18670	0.00823173750308526	0.0213794149554858	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0021675	nerve development	1/2	79/18670	0.00844509556054529	0.0213794149554858	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0002088	lens development in camera-type eye	1/2	80/18670	0.00855176598219431	0.0213794149554858	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0042472	inner ear morphogenesis	1/2	98/18670	0.0104708523646651	0.0251300456751961	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0051963	regulation of synapse assembly	1/2	106/18670	0.0113231828881593	0.0253993297385636	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0050905	neuromuscular process	1/2	107/18670	0.0114296983823536	0.0253993297385636	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0002065	columnar/cuboidal epithelial cell differentiation	1/2	112/18670	0.0119621897825171	0.0256332638196794	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0042471	ear morphogenesis	1/2	118/18670	0.0126009901069353	0.0260710140143488	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0030534	adult behavior	1/2	144/18670	0.0153667378156659	0.0292112380760726	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0007605	sensory perception of sound	1/2	145/18670	0.0154730352638129	0.0292112380760726	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0035264	multicellular organism growth	1/2	146/18670	0.0155793269739054	0.0292112380760726	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0050954	sensory perception of mechanical stimulus	1/2	165/18670	0.0175977792354348	0.0319959622462451	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0007416	synapse assembly	1/2	177/18670	0.0188715239120626	0.0322265325526632	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0048839	inner ear development	1/2	192/18670	0.0204625428019372	0.0322265325526632	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0007626	locomotory behavior	1/2	198/18670	0.0210985888604922	0.0322265325526632	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0002064	epithelial cell development	1/2	207/18670	0.0220522706296882	0.0322265325526632	NA	SLITRK6	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0071456	cellular response to hypoxia	1/2	207/18670	0.0220522706296882	0.0322265325526632	NA	MALAT1	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0009612	response to mechanical stimulus	1/2	210/18670	0.0223700612677833	0.0322265325526632	NA	SLITRK6	1
