Cluster	FCgroup	bindgroup	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
downregulated.NEUROG3 unbound	downregulated	NEUROG3 unbound	GO:0060965	negative regulation of gene silencing by miRNA	3/64	16/18670	2.08397795958252e-05	0.0106792073366332	0.0103620653369273	HIF1A-AS2/POU5F1/NEAT1	3
downregulated.NEUROG3 unbound	downregulated	NEUROG3 unbound	GO:0060149	negative regulation of posttranscriptional gene silencing	3/64	19/18670	3.57962257093852e-05	0.0106792073366332	0.0103620653369273	HIF1A-AS2/POU5F1/NEAT1	3
downregulated.NEUROG3 unbound	downregulated	NEUROG3 unbound	GO:0060967	negative regulation of gene silencing by RNA	3/64	19/18670	3.57962257093852e-05	0.0106792073366332	0.0103620653369273	HIF1A-AS2/POU5F1/NEAT1	3
downregulated.NEUROG3 unbound	downregulated	NEUROG3 unbound	GO:0016266	O-glycan processing	4/64	61/18670	5.65886911989134e-05	0.0126617196557569	0.0122857026945009	MUC5B/MUC5AC/MUC17/MUC3A	4
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0042391	regulation of membrane potential	18/173	434/18670	1.22345435303713e-07	0.000283229682728095	0.000251001319375722	KCNJ3/ADORA2A/P2RX6/CACNG4/SCN3B/MPP2/KCNK3/CACNA2D1/KCNMB2/GABRB3/SEZ6/CACNA1B/KCNMA1/KCNH7/CACNA1A/TAC1/FGF14/GHRL	18
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050804	modulation of chemical synaptic transmission	16/173	436/18670	3.13588801486866e-06	0.00249179177626241	0.00220825380103919	NCS1/EPHA4/CPLX1/ADORA2A/RAB26/CACNG4/BAIAP3/MPP2/CACNA1B/CAMK2B/CACNA1A/TAC1/CPLX2/SCGN/FGF14/GHRL	16
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0099177	regulation of trans-synaptic signaling	16/173	437/18670	3.22910381373099e-06	0.00249179177626241	0.00220825380103919	NCS1/EPHA4/CPLX1/ADORA2A/RAB26/CACNG4/BAIAP3/MPP2/CACNA1B/CAMK2B/CACNA1A/TAC1/CPLX2/SCGN/FGF14/GHRL	16
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0009914	hormone transport	13/173	322/18670	9.96671652052929e-06	0.00576823718625633	0.00511187644697673	TTR/CPLX1/ADORA2A/BAIAP3/CARTPT/CACNA1A/TAC1/ABCC8/ISL1/RFX6/GHRL/PTPRN/NEUROD1	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0035637	multicellular organismal signaling	10/173	204/18670	2.10857828448119e-05	0.00789178129441383	0.00699378503708653	CACNG6/KCNJ3/CACNG4/SCN3B/KCNK3/CACNA2D1/KCNMB2/SPTBN4/CARTPT/GHRL	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:1903522	regulation of blood circulation	12/173	297/18670	2.19052107435753e-05	0.00789178129441383	0.00699378503708653	CACNG6/KCNJ3/CACNG4/SCN3B/KCNK3/CACNA2D1/KCNMB2/AVPR1B/SPTBN4/CACNA1B/TAC1/GHRL	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030073	insulin secretion	10/173	207/18670	2.39051521603581e-05	0.00789178129441383	0.00699378503708653	CPLX1/BAIAP3/CARTPT/CACNA1A/ABCC8/ISL1/RFX6/GHRL/PTPRN/NEUROD1	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0023061	signal release	15/173	462/18670	2.72718144083415e-05	0.00789178129441383	0.00699378503708653	NCS1/CPLX1/ADORA2A/BAIAP3/CACNA1B/CARTPT/CACNA1A/TAC1/CPLX2/ABCC8/ISL1/RFX6/GHRL/PTPRN/NEUROD1	15
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0046879	hormone secretion	12/173	312/18670	3.54897096833166e-05	0.00912874199076421	0.00808999347050105	CPLX1/ADORA2A/BAIAP3/CARTPT/CACNA1A/TAC1/ABCC8/ISL1/RFX6/GHRL/PTPRN/NEUROD1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0035883	enteroendocrine cell differentiation	4/173	27/18670	0.000105792991610345	0.0244910775577949	0.0217042674366908	RFX6/NKX2-2/INSM1/NEUROD1	4
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030072	peptide hormone secretion	10/173	250/18670	0.000116661731495311	0.024551991673786	0.0217582502090299	CPLX1/BAIAP3/CARTPT/CACNA1A/ABCC8/ISL1/RFX6/GHRL/PTPRN/NEUROD1	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0046883	regulation of hormone secretion	10/173	266/18670	0.000193275431323327	0.0301046511026465	0.0266790792311279	ADORA2A/BAIAP3/CARTPT/CACNA1A/TAC1/ABCC8/ISL1/RFX6/GHRL/NEUROD1	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0071804	cellular potassium ion transport	9/173	217/18670	0.00019592588077343	0.0301046511026465	0.0266790792311279	KCNJ3/KCNN3/KCNK3/KCNMB2/KCNMA1/KCNH7/KCNJ6/DPP10/ABCC8	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0071805	potassium ion transmembrane transport	9/173	217/18670	0.00019592588077343	0.0301046511026465	0.0266790792311279	KCNJ3/KCNN3/KCNK3/KCNMB2/KCNMA1/KCNH7/KCNJ6/DPP10/ABCC8	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0051899	membrane depolarization	6/173	91/18670	0.00020173913958451	0.0301046511026465	0.0266790792311279	ADORA2A/CACNG4/SCN3B/CACNA2D1/CACNA1B/CACNA1A	6
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0006816	calcium ion transport	13/173	434/18670	0.000210297980327177	0.0301046511026465	0.0266790792311279	CACNG6/NCS1/ANXA6/ADORA2A/CACNG4/CACNA2D1/CACNA1B/TRPM2/RGS9/TRPC7/CAMK2B/CACNA1A/FGF14	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0046887	positive regulation of hormone secretion	7/173	131/18670	0.000221070872028074	0.0301046511026465	0.0266790792311279	ADORA2A/BAIAP3/CARTPT/TAC1/ISL1/RFX6/GHRL	7
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050796	regulation of insulin secretion	8/173	176/18670	0.000240003096922273	0.0308670649652812	0.0273547389416088	BAIAP3/CARTPT/CACNA1A/ABCC8/ISL1/RFX6/GHRL/NEUROD1	8
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007411	axon guidance	10/173	276/18670	0.000259913663200897	0.0309659712677063	0.0274423908153959	EPHA4/SEMA6B/CSF1R/DSCAML1/ETV1/SPTBN4/NCAM1/LMX1A/GAP43/ISL1	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0097485	neuron projection guidance	10/173	277/18670	0.000267524589785799	0.0309659712677063	0.0274423908153959	EPHA4/SEMA6B/CSF1R/DSCAML1/ETV1/SPTBN4/NCAM1/LMX1A/GAP43/ISL1	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0060078	regulation of postsynaptic membrane potential	7/173	140/18670	0.000331869753373996	0.0365846894790858	0.0324217618709734	ADORA2A/P2RX6/MPP2/GABRB3/SEZ6/FGF14/GHRL	7
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0021542	dentate gyrus development	3/173	16/18670	0.000400680690951569	0.0412605502013997	0.0365655620518485	MDK/LMX1A/NEUROD1	3
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0006813	potassium ion transport	9/173	240/18670	0.000411539727707479	0.0412605502013997	0.0365655620518485	KCNJ3/KCNN3/KCNK3/KCNMB2/KCNMA1/KCNH7/KCNJ6/DPP10/ABCC8	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0061337	cardiac conduction	7/173	146/18670	0.000427755164074986	0.0412605502013997	0.0365655620518485	CACNG6/KCNJ3/CACNG4/SCN3B/KCNK3/CACNA2D1/SPTBN4	7
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0048713	regulation of oligodendrocyte differentiation	4/173	39/18670	0.000454700296363622	0.0421052474432714	0.0373141422152716	MDK/TP73/ID4/NKX2-2	4
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0099565	chemical synaptic transmission, postsynaptic	6/173	108/18670	0.00050888723971149	0.0434786270476733	0.0385312466140345	ADORA2A/P2RX6/MPP2/GABRB3/SEZ6/GHRL	6
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0019226	transmission of nerve impulse	5/173	72/18670	0.000546389259288466	0.0434786270476733	0.0385312466140345	CACNG4/KCNMB2/SPTBN4/CARTPT/GHRL	5
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0008016	regulation of heart contraction	9/173	251/18670	0.000568828926721461	0.0434786270476733	0.0385312466140345	CACNG6/KCNJ3/CACNG4/SCN3B/KCNK3/CACNA2D1/SPTBN4/CACNA1B/TAC1	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0034765	regulation of ion transmembrane transport	13/173	483/18670	0.000582092399856216	0.0434786270476733	0.0385312466140345	CACNG6/KCNJ3/CACNG4/SCN3B/CACNA2D1/CACNA1B/RGS9/KCNMA1/KCNH7/KCNJ6/DPP10/CACNA1A/FGF14	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0070838	divalent metal ion transport	13/173	483/18670	0.000582092399856216	0.0434786270476733	0.0385312466140345	CACNG6/NCS1/ANXA6/ADORA2A/CACNG4/CACNA2D1/CACNA1B/TRPM2/RGS9/TRPC7/CAMK2B/CACNA1A/FGF14	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0045685	regulation of glial cell differentiation	5/173	73/18670	0.00058221919588677	0.0434786270476733	0.0385312466140345	MDK/EPHA4/TP73/ID4/NKX2-2	5
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0072511	divalent inorganic cation transport	13/173	489/18670	0.00065280447254387	0.0472263235605956	0.0418524972693422	CACNG6/NCS1/ANXA6/ADORA2A/CACNG4/CACNA2D1/CACNA1B/TRPM2/RGS9/TRPC7/CAMK2B/CACNA1A/FGF14	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0090276	regulation of peptide hormone secretion	8/173	208/18670	0.000729813749713403	0.0497825996334245	0.0441178977767622	BAIAP3/CARTPT/CACNA1A/ABCC8/ISL1/RFX6/GHRL/NEUROD1	8
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0070588	calcium ion transmembrane transport	10/173	315/18670	0.000731148331549215	0.0497825996334245	0.0441178977767622	CACNG6/NCS1/ANXA6/CACNG4/CACNA2D1/CACNA1B/TRPM2/TRPC7/CACNA1A/FGF14	10
upregulated.NEUROG3 unbound	upregulated	NEUROG3 unbound	GO:0023061	signal release	44/363	462/18670	2.26430768152571e-18	8.37340980628206e-15	7.22910020849207e-15	IL11/ADCY1/SCG5/STX1A/BRSK1/SPP1/SSTR5/RAPGEF4/PRKCG/NRXN2/AGT/CHRNA5/BRSK2/CACNB2/SCT/CADPS/CACNA1C/KCNJ11/SFRP1/SNAP25/UNC13A/CPE/CHRNB2/GRIK5/SYN1/SV2A/LIN7A/SLC30A8/NKX6-1/CHRNA3/FFAR1/VGF/SYP/FFAR3/FFAR2/GPR119/GAD2/STXBP5L/SYT4/GCK/SYT5/UCN3/GIP/CHGA	44
upregulated.NEUROG3 unbound	upregulated	NEUROG3 unbound	GO:0097479	synaptic vesicle localization	25/363	163/18670	1.18717413675588e-15	2.19508497886162e-12	1.8951048193582e-12	ADCY1/STX1A/BRSK1/PRKCG/CHRNA5/BRSK2/CACNB2/MAP2/CADPS/SNAP25/UNC13A/KIF5A/AP3B2/CHRNB2/GRIK5/SYN1/SV2A/LIN7A/PCDH17/KIF5C/SYP/CNIH2/STXBP5L/SYT4/SYT5	25
upregulated.NEUROG3 unbound	upregulated	NEUROG3 unbound	GO:0099177	regulation of trans-synaptic signaling	37/363	437/18670	5.55303153348913e-14	6.84503687028094e-11	5.90959461090265e-11	MAP1B/ADCY1/RGS14/STX1A/BRSK1/GRIN1/PRKCG/FABP5/AGT/CHRNA5/TUBB2B/ARC/NPTXR/CACNB2/SCT/MAPK8IP2/SNAP25/UNC13A/EFNB3/CHRNB2/GRIK5/SYN1/MAP1A/KIT/JPH4/PCDH17/CACNG7/NPTX2/CHRNA3/SYP/GRIK3/CNIH2/RGS4/STXBP5L/LZTS1/SYT4/GIP	37
