TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
RFX6	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	80	4	6.2307314863119245e-09	0.00103752894564	INSM1 NEUROD1 NKX2-2 PAX4
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	102	4	1.6710113071027877e-08	0.00278251789825	INSM1 NEUROD1 NKX2-2 PAX4
NEUROD2	REACTOME	REACTOME_SURFACTANT_METABOLISM	30	0	48	4	3.936919117708548e-06	0.655560023804	PGA3 PGA4 PGA5 SFTPA2
RFX6	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	0	80	9	3.947023182737652e-06	0.657238565274	CACNG4 CAMK2B CHRNA1 CHRNA3 GABBR2 GNG4 TUBA1A TUBB3 TUBB4A
RFX6	REACTOME	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	42	0	80	5	5.145884559021319e-06	0.856861821461	INSM1 MAFA NEUROD1 NKX2-2 PAX4
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	80	12	6.132447265549956e-06	1	CACNG4 CAMK2B CHRNA1 CHRNA3 GABBR2 GNG4 KCNF1 KCNH6 KCNJ11 TUBA1A TUBB3 TUBB4A
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	94	7	8.427114316922335e-06	1	ABCC8 GABBR2 GNG4 KCNF1 KCNH6 KCNJ11 KCNK3
ATOH8	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	15	2	1.203314335074257e-05	1	NEUROG3 PAX4
DACH1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	15	2	1.203314335074257e-05	1	NKX2-2 PAX4
INSM1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	15	2	1.203314335074257e-05	1	NKX2-2 PAX4
