	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	0.00332115087507	0.818102577596	1	1	1	1	1	1	1	1	1	1	1	1	0.939526343361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.0345772283089	0.392478604084	1	1	1	1	1	1	1	1	1	0.160958377125	0.847672028621	1	1	1	1	1	1	0.000305710224045	0.232494259291	1	0.000916452143157	1	1	1	1	1	1	1	0.296159587414	1	0.00204272641376	1	1	0.205863406329	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.223034648926	1	1	1	1	1	1	1
GO_AXON	0.063917300993	0.0	1	0.0819149289088	0.0	0.0	0.0	0.0	0.019527870165	1	0.0	1	1	1	1	0.0555195614899	0.0	0.000169285218309	0.0	0.0	1	0.256558523425	0.129419393613	0.0	1	1	0.0	0.00795161347516	0.216231815698	0.0070645256368	0.000786158270936	1	1	1	0.0	1	0.14904005153	0.0	0.0	0.0	1.16167270501e-05	1	0.0	1	1	0.00426696089913	0.32085439703
GO_AXON_DEVELOPMENT	1	0.00472341391876	1	1	1	0.000152621311178	0.0140483949091	1	1	1	0.888531839615	1	1	1	1	1	1	1	0.942941815661	1	1	1	1	0.000187716000985	1	1	0.0115461503352	1	1	1	1	1	1	1	1	1	1	1	1	0.00179115784146	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	0.0057207449452	1	0.0302210152125	0.296049309433	1	1	0.207198362711	1	1	1	1	1	0.034197052475	1	0.000523284500403	4.56824597412e-05	1	1	1	1	1	1	3.15841462243e-05	0.034117397548	0.91678096307	0.000409362494878	1	1	1	1	1	1	1	0.000917991716582	0.56947813822	0.000107284935101	0.050169389685	1	9.55613508491e-05	1	1	1	0.0805999405697
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.449080626847	1	1	1	0.373123867666	1	1	1	0.0153084304355	1	1	1	1	1	1	1	1	1	0.0450636808557	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.144469026515	1	1	1	1	1	1	1	1	0.654441730962	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.483634268052	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	0.349415956272	1	1	0.809094633285	1	1	1	1	1	1	1	1	1	1	1	1	1	0.121875624429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.988685630093	0.0559744659623	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	0.293375087166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.16601092952	1	1	1	1	1	1	1	1	1	0.00573992613092	1	1	1	1	1	1	1	1	1
