	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY														PDE2A PDE8B														PDE2A PDE8B							PDE2A PDE8B																															
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS			SULT1A4 SULT2A1												SULT1A4 SULT2A1 TPST2																	SULT1A4 SULT2A1	SULT1A4 SULT2A1						SULT1A4 SULT2A1					SULT1A4 SULT2A1		SULT2A1 TPST2	SULT2A1 TPST2						SULT1A4 TPST2		SULT2A1 TPST2			SULT2A1 TPST2								
GO_4_IRON_4_SULFUR_CLUSTER_BINDING				RSAD2 RTEL1																																																														
GO_9PLUS0_NON_MOTILE_CILIUM			FAM161A MAP1B SSTR3 USH1G VCAN													FAM161A IMPG1 KIAA1549 RD3 USH2A VCAN		CDHR1 KIAA1549 RD3 SSTR3 TTLL6 USH2A												CEP290 TTLL6 USH2A		CERKL FAM161A KIAA1549 USH1G USH2A VCAN	CERKL FAM161A TTLL6 USH1G USH2A VCAN				IMPG1 PDE6B SSTR3 USH2A	CDHR1 SSTR3 USH2A	CDHR1 FAM161A PDE6B RD3 USH2A VCAN			CDHR1 CERKL KIAA1549 MAP1B PDE6B TTLL6 USH1G USH2A	CDHR1 TTLL6 USH1G USH2A				CDHR1 CERKL TTLL6 USH2A			CEP290 CERKL FAM161A KIAA1549 MAP1B RD3 TTLL6														CEP290 CERKL FAM161A KIAA1549 TTLL6		
GO_9PLUS2_MOTILE_CILIUM		PMFBP1 TACR3 TSSK4 TTC25												CCDC181 CD52 DNAH11 PMFBP1 TACR3 TCTEX1D4		DEFB1 DNAH11 DNAJB13 PMFBP1 TTC25	DEFB1 DNAH11 DRD2		CCDC181 DEFB1 DNAJB13 TACR3 TTC25					CD52 DNAH11								CCDC181 DNAH11 DNAJB13 PMFBP1 TTC25	CCDC181 CCR6 DNAH11 DNAJB13 DRD2 TTC25		CCDC181 DNAH11 DNAJB13 PMFBP1 TCTEX1D4 TTC25							CCDC181 CCR6 DNAJB13 PMFBP1 TCTEX1D4 TSSK4		DEFB1 DNAJB13 TCTEX1D4				CCDC181 DEFB1 DNAH11 TACR3		CCDC181 DEFB1 DNAH11 PMFBP1 TCTEX1D4 TTC25				CCDC181 DNAH11 DNAJB13 PMFBP1 TSSK4 TTC25			PMFBP1 TACR3					CCDC181 DEFB1 PMFBP1		CCDC181 CCR6 DNAH11 TCTEX1D4 TSSK4		
GO_ACETATE_ESTER_TRANSPORT										ADORA2A CHRNA3																																																								
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2									CHRNA1 CHRNA3 CHRNB2 CHRNB4	CHRNA1 CHRNB2		CHRNB2 CHRNB4																	CHRNA1 CHRNB2 CHRNB4			CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA1 CHRNB4			CHRNA3 CHRNB2 CHRNB4											CHRNA1 CHRNB4	CHRNA1 CHRNB2 CHRNB4				CHRNB2 CHRNB4								
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4	CHRNA1 CHRNB2		CHRNB2 CHRNB4																	CHRNA1 CHRNA5 CHRNB2 CHRNB4			CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA1 CHRNB4			CHRNA3 CHRNB2 CHRNB4											CHRNA1 CHRNB4	CHRNA1 CHRNB2 CHRNB4				CHRNB2 CHRNB4	CHRNA3 CHRNA5					CHRNA1 CHRNA5		
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4	CHRNA1 CHRNB2		CHRNB2 CHRNB4																	CHRNA1 CHRNA5 CHRNB2 CHRNB4			CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA1 CHRNB4			CHRNA3 CHRNB2 CHRNB4											CHRNA1 CHRNB4	CHRNA1 CHRNB2 CHRNB4				CHRNB2 CHRNB4	CHRNA3 CHRNA5					CHRNA1 CHRNA5		
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRM4 CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4	CHRNA1 CHRNB2 HRH3		CHRNB2 CHRNB4															CHRM4 CHRNB4	CHRNA1 HRH3	CHRM4 CHRNA1 CHRNA5 CHRNB2 CHRNB4			CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA1 CHRNB4			CHRM4 CHRNA3 CHRNB2 CHRNB4				CHRM4 CHRNA3							CHRNA1 CHRNB4	CHRM4 CHRNA1 CHRNB2 CHRNB4				CHRM4 CHRNB2 CHRNB4	CHRNA3 CHRNA5			CHRNB4 HRH3		CHRM4 CHRNA1 CHRNA5		
GO_ACETYLCHOLINE_RECEPTOR_BINDING																																LY6H RIC3			LY6H RIC3	LY6H RIC3									LY6H RIC3							LY6H RIC3														
