	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HES4	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	0.01059349448060165	0.0018937604360508287	0.02000967421358446	0.0006007168696168241	1	4.6999181435580795e-08	0.00928568007746422	0.0007297075959943333	0.00012753330636428029	0.00185634214273811	1	1	0.0010058710028639783	0.0018074363586479958	0.07949357552010161	3.455055179324429e-05	3.919640634286736e-07	0.07082752893417932	0.0012276213399105007	0.0007172878782999437	1.4556129337428558e-05	0.03989312699483316	0.0068224891535315635	0.0005302095420549602	2.3210192265255003e-05	1	0.00016124637594416846	1	0.0002942614069415539	0.047163162787574486	0.003536889044826297	0.003094831222127392	0.00024290408051452772	4.3457724021478406e-05	0.0008789794301086173	0.002673484522251579	1	1	0.0918551568984376
GO_ADULT_BEHAVIOR	5.707139628619018e-05	0.05304447401556822	0.001808891396367196	0.0036846010943776264	0.0005752140615223889	8.085599793838938e-05	6.811240464532631e-06	0.0005585865404958978	0.00015052144564320358	0.0008485924888521623	2.395124784837499e-06	0.0864798763509057	1	0.0055965652906035945	1.9535214320964833e-05	0.07760687477363559	6.811240464532631e-06	1.880007309384979e-06	0.0009311367435934637	0.0011768484960763548	0.021836049483982434	1.3520208671069511e-05	0.039008907435204354	0.0066872741435648475	4.21951362739037e-10	0.004206040049609783	0.0015842238848944312	1.3788559183325333e-10	0.00017944390074697836	0.06087953013977443	5.9391688337573356e-05	0.02413877415380905	9.22747101173016e-07	0.0009994447110085458	0.0386467852379383	0.0008345487603551582	0.00015923567545206296	0.0001892932220026733	2.4904425056093693e-05	0.027673571646965933
GO_ALCOHOL_BINDING	1	0.016195941177089113	0.013068432583523304	1	0.06024483676926917	0.05739468607338649	0.018770540620397735	0.058588426661302484	0.003976152255963816	0.005124986558689426	0.0027243043288035507	6.325648190808053e-07	1	0.005604792138109049	0.02865910007179162	0.0005592330973540616	0.059507058186230144	0.021140184043783816	1	1	1	0.001328573475200101	0.008455941075512174	1	0.00036266682193564215	1	0.0011207055580091385	1	0.0015843170935575523	1	0.0002204763102905405	1	0.06511013460330739	0.005111685161605317	3.4785871253495415e-06	2.378746754738703e-05	8.360503238391548e-05	0.09615726417157688	0.0008852020884189127	0.0904645825474053
GO_AXON	0.01252761214681719	1.0006785131078111e-05	0.0	6.402130720228882e-06	9.799254401254842e-07	0.0003188931015314367	0.0	0.0	1.16200820410306e-07	2.3544895610960737e-07	0.0	0.0020451171109264754	0.00011192781108615435	2.3912360583078218e-05	0.0	2.5299051742422307e-09	0.0	0.0	0.0009088500898373209	1.6199775587644183e-07	1.0143068217671747e-05	0.0	0.007154626749483084	0.033600012263800605	0.0	2.026824246215142e-07	1.6672889314728323e-06	7.272029645122302e-10	7.010509248861485e-05	0.02532629201046399	0.0	1.04814405887943e-06	0.0	0.0	4.8283961239903306e-05	0.0	3.7204523906098075e-08	0.00014419421859246384	0.0038237301083479114	5.209035815800789e-06
GO_AXON_DEVELOPMENT	0.021389215799897054	1	4.7872406372384546e-08	0.04567081661484784	0.00044048043024846883	0.020006076737370315	9.80883041457048e-10	4.476666994546186e-06	0.012371394098001254	0.0037780263240422274	1.6368775601627306e-07	1	0.055447884825047145	0.00013034467063988142	3.023214078523573e-06	2.740136051337938e-05	0.0006446504379512552	3.2395058068290794e-05	0.006491403858495226	5.671985694333248e-05	1	2.0352208807139505e-10	0.0595567706912451	0.06085860686146549	4.483002118194079e-06	0.015116596874385269	0.0011342705145416243	7.70560804430609e-06	1.0857689694554473e-05	0.05930970945329839	3.2972847020529272e-06	0.01005864956756708	2.5385105639763594e-07	2.0572361486559387e-06	0.0007104249836339394	3.446968152454044e-05	9.076497018090102e-06	1	0.08817059874630928	1
GO_BEHAVIOR	7.608284148952205e-05	1	0.000395767848727302	0.00585446958183744	0.004441387725831358	1.031612507529367e-06	9.497223202692417e-05	1.5371810030861965e-05	0.00018025749133132596	0.0012479121472729338	1.7155350029440797e-08	0.021216020975216576	0.036520512231755786	0.02892140636542362	1.6235365274397395e-09	0.024563078206596534	1.3388723574259132e-08	0.0	0.00011395794954294214	0.00029932440205970856	0.00026138730073144156	2.3252112170135675e-06	0.05677983815752774	0.026959376823575076	5.4952375982963986e-11	3.943596803335225e-06	2.7490611419489497e-06	0.0	0.0014516370491460817	0.018065323235078257	1.3479562591234284e-05	0.001638245880998812	3.4232107148923774e-08	8.473973265421542e-06	0.050396812777115496	5.224717381846489e-06	3.930967425636034e-05	0.0038425708877648512	1.975960811673172e-05	6.678484741118318e-06
GO_BIOLOGICAL_ADHESION	0.03187051869628743	1	0.0001442559710195246	0.01436315046462222	0.0014573118277600994	0.008516247790092968	0.00013519058293276487	0.0023522875086203765	0.00010051847378966805	0.05145515517610366	0.00013417920284786167	0.0372740020807123	1.2720426977308463e-06	0.00019460834781903635	5.371149329080893e-06	0.0014900227269130095	7.426415554701027e-05	3.5727593747925113e-06	0.09395551793189216	0.00012248175263052108	0.0010091428681592296	1.4777571721857896e-07	0.010375925033728639	0.05275471773656304	4.0103128509771935e-05	3.895452072022465e-09	0.00038974143175218856	0.0038160482029996334	0.0016193460645100854	0.03201379846682717	0.0010541382850268732	0.06909239090333263	2.81830705299857e-05	4.55570128304883e-05	2.9214196321847297e-05	1.1074054477533402e-05	1.4770247028894623e-05	7.3917676392532e-05	0.029953133645518104	1
GO_CALCIUM_CHANNEL_COMPLEX	1	5.8630725035313525e-05	0.023498007740039295	0.08952136587473891	0.03246284580731584	0.030842314153132322	0.00022073791487631222	0.027032301760490096	2.1354460288058874e-05	0.0020803479521103174	0.00010302930037897617	1	0.04653194508177405	0.017952709758247365	6.939359775803844e-06	0.005027914382389254	0.08125827600464608	8.069395398546675e-07	1	0.007924284534432169	0.00180143030150004	0.009262552815595626	1	0.01516125531466761	0.0004151520195571079	9.657647299488037e-05	0.0032242697976014867	0.0026349327678047985	0.07376980148292034	0.009637220975279304	0.00026561168816474634	0.0034542184101220563	2.5233981275629702e-06	3.0957139664167244e-05	0.007298758938778405	0.00019501193977011777	0.01356300376142161	1	0.020099903655884988	0.050021007355803615
GO_CALCIUM_ION_BINDING	0.06013282820861898	2.8865777353614952e-05	0.00022411886634621236	0.002412816913660243	4.637652478411969e-05	0.00010804959589039154	4.583586192929978e-06	0.0004330866548271084	0.006441418902381035	0.058259662885774	0.0054679968868061035	0.0008777576188571112	0.003314619703563837	0.0021153371192459414	1.350598014127069e-05	0.00029910355672979616	0.0023684352067315784	8.590552132869966e-06	0.0066314320737309584	0.0016745786067131618	0.003250464231314809	3.1931256416761755e-08	0.014456775543982836	0.0007161727206735913	0.0026172870137307624	0.00011171180269053949	1	0.0011711859753328335	4.6074125988893044e-06	0.04148726230474464	4.5062996716360715e-06	0.039787314401243945	7.825999632671277e-06	9.413818132797402e-07	7.021440118215594e-08	7.695611445390771e-05	0.000228156359668108	0.02761592598891205	0.0011503634151311948	0.054792254826608655
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.06761451647076455	0.044291009897528655	0.031875249167880426	0.08500550679294616	0.044613685488588684	0.001383675694860309	0.0018303876587711931	0.00030514971561990123	0.04845643659864107	0.040579254237499196	0.0005983304944542356	1	0.07706577588857189	0.0449872854442912	0.004126130673912098	0.006021414605701159	0.02181886625672913	0.000366632115759824	1	1	0.0029915463597881553	0.00012036674816362503	0.07138788155246356	1	0.0006977787335711305	4.1310263565463856e-07	0.024084083910414944	0.00016094318099013627	0.03924201649681902	0.00446021688204179	8.302986910457832e-06	0.01351466164460391	3.8430051807480936e-08	7.286694684927042e-05	0.05859636974928817	0.00017662081964653353	0.015756656903382682	1	0.0015662793131155928	1
