	AEBP1	ARX	ASCL1	ASCL2	EBF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.170853193532	1	1	1	1	1	1	1
REACTOME_CA2_ACTIVATED_K_CHANNELS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.724112304169	1	1	1	0.88103968498	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	0.528713428674	0.181675820529	1	1	1	1	1	1	1	1	0.485163361272	1	0.264645923841	0.0608949740984	1	1	1	1	1	1	1	0.563418153386	1	0.343448289425	1	1	1	1	1
REACTOME_CHYLOMICRON_ASSEMBLY	1	1	1	1	1	1	1	1	1	1	0.493600849467	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CHYLOMICRON_REMODELING	1	1	1	1	1	1	1	1	1	1	0.493600849467	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.536924238557	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0095763948314	1	1	1	1	1	1	1	1	0.726347117034	1	0.115577099419	1	1
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	0.8270883296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	0.19457818042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	1	1	1	1	1	0.0246164580523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	1	1	0.452738521825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.936049044903	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.603806852178	0.77386530974	1	1	1	1	1	1	1	0.988318596354	1	0.564372948957	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	1	8.26112824145e-05	0.000150448283945	0.0748442105797	1	3.06948516937e-06	2.16418764853e-06	0.181435808542	0.0517715120003	0.00269831036381	1	0.0513265850614	1.09045574106e-05	0.0108867016783	4.53048880411e-05	6.95576273912e-06	0.0806878714418	1	0.0290890191019	1	0.000130487070852	0.51744863441	0.278729319781	0.0129750413116	0.118682736408	0.288485504772	3.66903675242e-06	0.000632044786796	2.91440962541e-05	2.79193985087e-06	0.000338202361265	3.45454486961e-05	0.271502155222	1
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	1	1	1	1	1	1	0.163027318768	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.230955584839	1	1	1	1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.175803275961	1	1	0.640017302111	1	1	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.916034627354	1	1	1	0.254646252495	0.259388061213	0.00749196532189	1	1	0.00382835197587	1	1	1.30874350757e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0171143973148	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	0.240643453143	0.377666266321	1	1	1	1	1	1	1	1	1	1	1	0.014143222647	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
