	AEBP1	ARX	ASCL1	ASCL2	EBF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0	2	2	0	2	2	2	0	2	0	0	0	2	0	3	3	4	0	2	0	0	2	2	0	0	0	6	2	0	0	2	3	0	0
REACTOME_CA2_ACTIVATED_K_CHANNELS	0	2	0	0	0	3	0	2	0	2	0	0	4	2	3	3	0	0	4	2	0	0	4	2	2	0	0	3	0	4	0	0	0	0
REACTOME_CARDIAC_CONDUCTION	0	7	7	8	0	13	14	6	0	6	0	4	6	7	10	13	6	8	12	6	7	6	9	4	4	4	11	9	11	10	9	10	0	9
REACTOME_CHYLOMICRON_ASSEMBLY	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	3	3	2	0	0
REACTOME_CHYLOMICRON_REMODELING	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	3	3	2	0	0
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0	5	4	2	0	5	6	4	3	3	0	5	4	4	6	6	2	2	4	0	4	3	5	4	3	3	3	0	4	7	7	6	0	2
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0	15	10	10	4	20	22	13	7	10	5	0	14	18	18	18	10	8	14	9	23	7	12	14	0	0	15	15	10	25	17	24	5	12
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	4	0	0	0	3	13	13	8	0	13	3	0	12	0	9	11	5	0	8	0	8	5	6	9	0	0	7	8	0	14	8	10	0	0
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	2	4	0	0	3	5	5	0	2	3	0	0	6	2	4	0	0	0	3	0	2	0	2	3	0	0	2	0	0	5	4	4	0	0
REACTOME_INSULIN_PROCESSING	0	5	0	0	0	5	6	4	0	5	0	2	7	4	3	4	2	0	3	0	3	0	3	0	0	2	0	3	3	5	3	4	0	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0	8	5	3	2	5	12	4	3	8	0	6	10	7	9	10	4	0	6	0	6	5	4	6	0	3	8	6	5	12	7	6	0	4
REACTOME_MUSCLE_CONTRACTION	0	10	8	9	0	15	15	7	0	7	0	4	7	9	12	15	7	9	13	7	8	6	9	5	5	4	13	10	13	13	10	12	0	12
REACTOME_NEURONAL_SYSTEM	4	26	19	16	7	33	34	20	14	22	0	16	28	23	30	32	15	9	21	11	26	14	20	20	13	13	27	25	25	38	25	30	12	16
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0	4	0	2	0	3	5	3	2	2	0	2	3	4	3	4	0	0	3	2	4	0	2	0	0	0	0	4	0	5	2	3	0	0
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0	12	7	6	0	15	15	8	8	8	0	9	11	9	14	11	5	0	7	4	13	8	8	10	4	5	14	8	12	17	12	15	6	6
REACTOME_PEPTIDE_HORMONE_METABOLISM	5	9	3	3	6	11	13	7	3	11	0	0	15	7	9	9	3	0	6	0	7	0	6	4	0	0	0	6	5	13	8	10	0	0
REACTOME_PHASE_0_RAPID_DEPOLARISATION	0	4	4	3	0	8	8	3	0	4	0	3	4	4	4	5	0	4	8	2	4	4	6	0	3	2	6	5	6	6	6	5	0	5
REACTOME_POTASSIUM_CHANNELS	0	11	11	8	3	18	13	8	4	9	0	7	11	9	14	18	10	6	12	7	7	5	10	9	8	7	10	9	11	17	10	11	4	9
