	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	3	2	0	3	3	0	0	0	0	0	0	4	3	4	0	0	2	2	3	2	0	0	7	3	0	0	0	4	2	3
KEGG_TYPE_II_DIABETES_MELLITUS	3	6	5	7	6	5	0	8	3	7	0	5	7	6	5	6	3	5	5	5	3	2	5	7	9	7	4	5	3	4
NABA_MATRISOME	46	22	25	52	52	48	24	38	28	41	45	60	59	29	41	44	21	24	37	28	19	0	0	45	0	64	46	50	0	33
REACTOME_CARDIAC_CONDUCTION	12	9	10	17	19	10	0	9	0	9	10	14	17	8	15	11	8	8	13	6	5	6	12	13	16	16	15	15	8	12
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	19	12	12	26	31	17	0	15	11	20	24	27	24	12	19	30	11	12	18	17	0	8	17	22	16	31	23	33	12	20
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	6	3	3	6	10	5	3	6	5	5	6	8	5	0	3	6	4	4	4	7	0	4	5	5	5	6	4	8	0	4
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	0	2	5	3	2	3	0	2	2	0	4	0	3	2	4	0	0	2	0	0	0	2	0	2	4	2	2	0	2
REACTOME_INSULIN_PROCESSING	5	0	0	5	6	4	0	5	2	7	4	3	4	2	3	3	0	0	3	0	0	2	0	3	3	5	3	4	0	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	10	7	6	7	17	7	4	11	8	14	9	13	13	6	7	11	10	9	6	8	3	5	9	12	10	15	9	9	4	6
REACTOME_ION_CHANNEL_TRANSPORT	15	9	11	17	19	13	5	17	0	10	14	14	18	5	10	11	9	0	14	10	6	0	10	12	12	17	16	11	8	7
REACTOME_MUSCLE_CONTRACTION	16	11	12	22	23	12	5	11	0	11	13	17	19	9	16	13	10	8	15	8	6	6	15	15	20	21	18	19	10	16
REACTOME_NEURONAL_SYSTEM	34	27	26	46	48	31	20	30	23	40	31	41	41	21	32	35	19	20	27	26	17	17	34	39	40	49	37	40	18	24
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	16	11	11	20	21	13	9	12	12	18	13	19	13	7	13	17	7	10	11	13	5	6	17	16	19	21	17	21	7	10
REACTOME_PEPTIDE_HORMONE_METABOLISM	9	0	0	11	13	7	3	11	0	15	7	9	9	0	6	7	0	0	6	0	0	0	0	6	5	13	8	10	0	0
REACTOME_PHASE_0_RAPID_DEPOLARISATION	6	4	4	10	9	5	2	4	3	6	4	5	6	0	9	5	5	5	7	0	4	3	6	6	7	8	8	6	3	5
REACTOME_PHASE_2_PLATEAU_PHASE	4	0	2	4	7	4	3	4	2	5	4	6	6	0	5	0	5	4	4	0	3	3	4	7	5	6	5	5	2	0
REACTOME_POTASSIUM_CHANNELS	11	14	10	21	16	10	6	10	8	12	10	15	20	11	15	8	5	6	12	9	8	8	12	10	14	20	13	13	7	12
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	2	2	2	4	5	4	2	3	0	5	2	3	5	0	2	3	4	3	2	2	3	2	5	6	4	4	4	3	2	0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	0	0	2	2	0	4	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	9	6	5	7	14	6	4	9	6	12	7	11	11	5	7	9	8	8	6	8	0	3	9	10	10	13	8	7	4	6
REACTOME_STIMULI_SENSING_CHANNELS	9	4	6	10	14	7	5	12	0	8	8	9	10	0	6	0	8	4	7	5	5	0	6	8	6	11	11	0	4	0
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	4	0	0	5	5	0	2	3	0	6	2	4	0	0	3	2	0	0	2	3	0	0	2	0	0	5	4	4	0	0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	25	14	15	25	29	20	12	18	15	28	20	25	22	11	18	25	13	14	15	19	9	9	23	26	27	28	24	26	10	11
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	16	9	7	18	21	10	6	12	8	14	16	16	13	0	13	16	10	6	8	12	5	6	13	16	13	18	13	18	5	12
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	3	2	3	5	4	4	3	3	5	4	3	6	0	3	3	7	3	2	4	4	0	2	3	0	2	7	0	4	0	0
