	ARNT2	ARX	ASCL1	ASCL2	CCDC17	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HES4	HEY1	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0030355283722032222	1	1	1	1	0.008350050885167715	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06331870943446738	1	1	1	1	1	1	1	1	1	0.0009117166601064763
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.041777428966947694	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	1	1	1	1	1	0.005601026534521325	0.0006071997024967857	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016080818129006635	1	1	1	1	1	1	0.032018934708126445	1	1	1	1	1	1	1	1	0.08755551652237437	1
GO_9PLUS2_MOTILE_CILIUM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06370939927035035	0.07060196784632466	1	1	0.03989698032323208	1	1	1	1	1	0.0401976719472964	0.004355141801773432	1	1	0.06410256262598746	1	1	1	0.014110795052223124	1	1	0.05129910732172582	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	1	1	1	1	1	1	0.000878954114236441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0035582540003621377	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	2.0796653705246193e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005400076590089675	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	2.0796653705246193e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005400076590089675	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	1	1	1	1	0.03555545073926658	1	5.6356330480622496e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012073853138758528	1	1	1	0.012388734056562822	1	1	0.010116086547102388	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	0.05923186016484072	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01575203396958802	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004902972637707004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011319376079367727	1	0.04981086082937081	1	1	1	1	1	1	1	1	1	1
GO_ACID_SECRETION	1	1	1	1	1	1	1	1	1	0.009524957881154705	1	1	1	1	1	1	1	1	1	0.010663760993426585	1	1	1	1	1	1	1	1	1	1	1	1	0.04254964962659602	1	1	1	1	1	0.006220026399338496	1	1	1	0.07017837936532656	1	0.0021693055602285405	1	1	1	1
GO_ACROSOMAL_VESICLE	1	1	1	1	1	0.06772763338323806	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06556134096022248	1	1	0.03586549535943995	1	1	1	1	1	0.003497648623074001	1	1	1	0.011684731051411545	1	1	1	0.0020026972297292334	1	1	0.046223744902910036	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	1	0.08577318123874145	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021422935821463374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05123845331162591	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	0.03428671805872896	1	1	1	0.03427831151864169	1	1	0.010649003065646534	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0384373172444642	1	1	1	1	1	0.03329201884716304	0.08981172048442976	1	1	1	1	1	1	1	0.0001170781520848374	0.018880289386050575	1	1	0.024688695175913322	0.07296100967197994	0.04855346378870662	1	1	0.04435306383553139	0.03270383218726847
GO_ACTIN_BINDING	1	1	0.06259660572047665	1	1	0.0669112164293576	1	0.007308150366355015	0.0009950922217768499	1	0.003784692948531787	1	1	1	1	1	1	1	1	1	1	1	0.020392077461167446	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05811934026072185	0.03954774115643289	1	1	1	0.07684821335313496	1	1	1	1	0.004718689241053786	0.025204606570616406
GO_ACTIN_CROSSLINK_FORMATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0009602213971586782	1	1
GO_ACTIN_CYTOSKELETON	1	1	0.036429948790110744	1	1	1	1	1	0.08315997260319719	1	0.02884330658391221	1	1	1	1	0.04641920417057577	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04187249065041265	1	1	1	1	1	1	1	1	1	1	0.03407288756976756	1
GO_ACTIN_FILAMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.029276616242387532	1	1	1	1	1	1	1	0.05135919559278468	1	1	0.007113792016813392	0.031120787169626962	1	1	1	0.06588583117524949	0.0008222919306544174	0.01479066052885214
GO_ACTIN_FILAMENT_BASED_MOVEMENT	1	1	0.006696725843389872	1	1	1	1	0.0011589945242238553	0.0002508875548106193	0.0966747181115053	0.001877256493323265	1	1	1	1	1	1	1	0.0966747181115053	1	1	1	0.0718523531389974	1	1	0.02657040955798118	1	1	1	0.05235820591329132	1	1	1	1	1	1	1	9.213401838981117e-05	0.016674476349681555	0.022144755880869282	1	1	0.019797721012219327	1	1	1	1	1	0.00150008562723436
GO_ACTIN_FILAMENT_BASED_PROCESS	1	1	1	1	1	1	1	0.05475504554975452	0.01404446231952794	1	0.005992392124167134	1	1	1	1	1	1	1	0.056739624525690036	1	1	1	0.03000215741394463	1	1	1	1	1	1	1	1	0.011774296319906674	1	1	1	1	1	0.08950250585170516	1	1	1	1	0.065234771348051	1	1	1	1	1	0.029136062916270022
GO_ACTIN_FILAMENT_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.075801128551517	1	1	1	1	1	0.0650760102613771	1	1	1	0.0376716974528839	0.025620916111524616
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	1	1	1	0.07167901245390151	1	1	1	1	1	1	1	1	1	1	1	0.06934041862281681	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0938009779373643	0.019724307372454897	1	1
