	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.0525825431926	1	1	1	1	1	1	1	1	1	0.43840553352	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000472247121275	1	1	0.000154329000202	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	0.70746175879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	0.0	1	1	1	0.0	0.0	0.263365667938	0.0	1	1	1	0.0	0.00283113339362	0.0	0.0	1	0.181215063663	1	0.0	1	0.0	0.226719141405	1	0.000813852106546	1	0.0	1	0.0	0.0	1	0.0	0.0416252398457	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.053559361015	1	1	1	0.00109774152348	1	1	0.183105216074	1	1	1	1	1	1	1	1	1	1	0.000227788637198	1	1	1	1	1	1	1	1	0.283946876091	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	0.0191951554586	1	1	1	0.001816906222	1	0.0149809909141	0.0	1	1	1	1	1	6.15081944377e-05	1	1	0.0	1	1	1	0.0383000453699	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.165308123861	1	1	0.00435915889577	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.902444869094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.547433177778	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0357260946544	1	1	1	1	1	1	1	1	1	1	0.0785517996073	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.462044144209	1	1	1	1	1	0.042996118413	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0351207981253	1	1	1	1	1	0.0161781967765	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.148855915626	1	1	1	1	1	1	0.000184037607762	1	1	1	1	1	1	1	1	0.225280442653	1	1	1	1	0.113632529227	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.687034765362	7.25626104103e-05	1	1	0.0	0.000694560772864	1	0.0	1	1	1	0.000903559754322	1	0.0	0.0	1	0.00313214201133	0.370737194412	0.0	1	0.0273213313642	0.0	1	0.0	1	0.00025124727264	1	4.24798211447e-05	0.0	1	0.000107437381656	0.225275922756	1	0.234838099374	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	0.00133857240931	1	1	0.00123154717757	0.0513017204384	1	0.0	1	1	1	3.89248505686e-05	1	1	0.0	1	0.407352231043	1	0.000365954268182	1	0.753658760366	0.00378853767771	1	3.56744553398e-06	1	1	1	0.000451794251877	0.00103769311211	1	4.13440205266e-05	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.845584878463	1	1	0.00603706365504	0.190105205617	1	0.00569435846451	1	1	1	1	1	0.672961987663	0.0	1	1	1	0.0101041335299	1	0.0202964297746	0.000238386491448	1	0.0	1	0.0524353531979	1	0.0200827661176	0.0738420641073	1	0.0359642835896	1	1	0.201179091351	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.305566578901	1	1	0.00192565231616	0.519101536492	1	0.0158597228473	1	1	1	1	1	0.0538607257615	0.0	1	1	1	0.000650854262065	1	1	0.0104874325419	1	0.00063272365427	1	1	1	0.112174193164	0.00926720776576	1	0.561323345596	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	0.187236825837	1	1	0.00180247709023	0.00632322573611	1	0.0108762729422	1	1	1	1	1	1	2.20970092002e-06	1	1	1	0.019957219942	1	0.0213708283455	0.00262271851569	1	0.000153474337952	1	0.490336769679	1	0.0556890436259	0.231373215144	1	0.0150180483111	1	1	0.321325118043	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	0.0377390043539	1	1	1	3.59625192313e-05	0.987962908543	1	0.109018699138	1	1	1	1	0.55728743864	1	1	1	1	1	0.0124116001486	1	0.0024203806497	1	1	1	1	1	1	0.0957600927031	0.00114854375918	1	1	1	1	1	1
GO_CELL_BODY	1	1	0.153689150342	1	1	1	0.000227185682993	1	1	0.00296116349382	1	1	1	0.126501181471	1	0.0728480797004	0.0	1	0.592725441823	1	0.00126096307399	1	2.32173518431e-05	1	1	0.00200967266866	1	0.000205471798744	1	0.00621192022093	0.0055156554467	1	0.0103397475552	1	1	1	1
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0919158343706	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	0.899400599075	1	1.51378151383e-05	1	0.0	7.91168795811e-07	1	0.0	1	1	1	0.0	0.0106265829606	0.0	0.0	1	0.0599966601808	0.299783509148	0.0	1	0.0	1	1	0.0	1	0.000319352503472	1	0.0	0.0	0.332933311932	0.000216283889205	0.00080740094369	1	1	1
GO_CELL_JUNCTION_ASSEMBLY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0256438385117	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	1	0.0573482125655	1	1	1	1	1	1	0.00439618626743	1	0.157628267543	0.00187929951203	1	1	1	1	1	0.000774982455378	0.00154753162061	1	1	1	0.000900793259524	1	1	0.482931803397	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	0.004210546983	1	1	0.390247561495	1	1	1	1	1	1	1	1	1	1	0.00230956118447	1	0.0161425786741	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	0.814400605784	1	1	1	0.0128575703261	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000643770006449	1	0.0118332405645	1	1	1	1	1	1	1	1	1	1	1	1	1	1
