	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	0.0012615126936695864	0.0026073611811863184	0.002531982614484063	1	0.0002465502994795088	2.515133721181506e-06	0.006154539449032104	0.00614158958337907	0.011562969220386354	0.004003933482977895	1	1	1	1	0.0018037787586389076	1	0.04070196358186351	0.0005636226234222441	0.0021045203771036247	0.000275805407312979	1.226408312293703e-05	1	0.0015817021995679914	0.003726796235539953	0.0012332982116327607	1	0.03418792013177907	1	9.489794943773333e-05	0.00046475956567026966	0.051556970986070705	0.00012620111280847723	0.01255071746497849	0.054591672047321294	1	0.02619914586510963	0.025323142170044055	1	1	3.251891872446677e-07	8.847709294435013e-06	0.00019347829272031714	1	0.00020038193784932545	1	0.048160333453798554	0.007557922788319793	0.00029098922555137463	0.014652613080917254
GO_ACTION_POTENTIAL	1	4.88513171950089e-05	0.002436344596927764	1.2004256627617949e-06	1.0872294419428385e-05	1	9.47870744116841e-08	1.4312285691042703e-06	0.0005350482964987524	0.00017088709339874164	1	0.0002950338745649761	1	1	1	1	0.0029757004975844437	1	0.01059349448060165	0.0002522591696670906	0.004001209794989635	4.742447512362524e-06	1.7049751721565087e-07	1	0.0003777406236190606	7.83705016380587e-05	1.4925531870102482e-05	0.07905091172076562	0.008345739257234808	0.021934861075958656	4.235332981283868e-05	1.526314423472286e-05	0.0025311074056451055	9.511041880738702e-07	0.0009443670603846988	0.0008436073119075793	0.0004965398946585875	0.005802583110877446	0.010947163498928103	0.013336343689199004	0.000978574401299337	7.581610395490657e-06	9.929541496811467e-07	1.213245755660175e-05	0.018206476180925524	1.802024867547658e-05	1	0.0071788088158688534	0.05620830535115218	0.01433009318720646	0.018206476180925524
GO_ADULT_BEHAVIOR	1.0282474589895507e-05	0.0004803193020904706	0.009856089684930569	0.08871982001094414	0.02089866599314838	9.178496316430973e-06	3.7629246844028685e-06	2.0631996699993493e-07	2.3027705019496025e-06	1.7167921849914336e-05	5.605199712488407e-05	7.107188147004173e-06	0.04069128498474073	1	0.09957206545217945	1	0.0028839344460880323	1	0.001610367231339338	0.00023891082379778883	0.0038445869810525	0.00013004950549744265	3.3806784014212e-05	0.0005074690313028318	0.002534793404303737	1	8.599715044510514e-05	0.01112971714480393	0.044735552947979484	0.0014980756627545055	1.7708709498798214e-08	1.4475256442936235e-05	0.0003488269709291947	1.2019608419677752e-08	3.369258540941722e-06	0.06598629301617742	0.02710976478975391	1	2.4819496459160817e-06	0.01307939023184701	3.430256030478862e-05	4.728508308049495e-05	9.089517590821217e-07	0.0004026212875622992	1	6.118160467138978e-08	0.0023193575635575003	0.05831901076895862	2.5281158000822757e-05	8.989295708305978e-05	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.011104594911907961	0.048982077549940994	0.0031663920813480573	1	1	0.006567937087302966	0.008823314494126211	0.0024133306550238043	0.01793369442264603	0.009989721817656227	0.01634746387560715	0.00030743592983217827	1	1	1	1	0.09835710774760764	1	0.011219686575835275	0.0009458987829887855	0.004636575928996245	0.009384679595644707	0.002150327194994195	1	0.0935409508111622	1	0.0004647726203714786	0.026532475737403916	0.0695237143543963	1	1.5579793533060382e-05	0.0003355687824903031	0.014515226845728035	2.965149519251753e-07	0.0015408689321200209	1	0.048982077549940994	1	6.644416383116969e-05	1	0.0008038683248038359	0.0022271294162943267	2.258460922965888e-05	0.07241034433301863	1	3.1745082708534156e-05	1	1	0.001273361027663844	0.00012507749184509365	1
GO_AMINE_TRANSPORT	1	0.07969807078487623	0.010173622466874477	0.04078420065345678	0.006982930471837401	0.07543765118582657	0.0014623891176651638	0.00044455943761412264	0.04351608658845807	1	0.005459826630359488	0.03301189478636957	0.02239931022741848	1	0.0067916194452948275	1	1	1	0.0033108179965475326	0.00012785137454629503	1	0.09099077916251219	6.6799321606692e-05	0.002419919819840355	0.004789502397319567	0.09199815366520592	0.010013953047066537	1	0.019549588681514574	1	0.00011622671038591381	0.04499776065763683	1	0.007047433746393272	0.00012522103906131843	1	0.07969807078487623	1	1	0.00043817024308445696	0.0006296979055402385	1	5.979618296736433e-06	0.0017651305363108882	0.00043578021073542583	6.966847070355442e-07	1	0.002840964684516667	1	1	1
GO_AXON	0.0022378379949005156	0.00021958618423045806	0.0	5.089490958676279e-07	2.028946440413293e-06	0.0	0.0	0.0	0.0	0.00011056980291401786	1.3672005421239142e-05	0.0	1.7662251067251944e-06	0.002063855519468749	3.677423329284668e-05	0.00028821692465663684	0.0006337334855402998	0.07092698171148448	8.230922587948442e-08	0.0	2.9837676773780686e-10	0.0	0.0	0.0003020129502226965	8.159557918219207e-08	2.4909475742296294e-05	1.9797551376044e-09	5.4394522554956914e-05	8.398826647493252e-07	0.08981301005795683	0.0	3.972504347693473e-06	1.340865962706772e-08	1.0721965537641154e-09	3.711661755723128e-09	3.406204676092983e-06	0.0008999051384126489	0.0005017578002145529	0.0	3.8896566600943316e-07	0.0	0.0	0.0	2.2604806915182962e-11	0.00033175908687110844	0.0	5.335307971443548e-05	1.1991781003306556e-05	4.95546936818414e-10	1.2862521492351675e-08	0.07110146710491394
GO_AXON_DEVELOPMENT	0.025648284001086097	0.03945414418381654	4.2644979991735e-08	0.021320879041720087	0.007525712700339859	0.00026937523634795735	1.2148293482283634e-10	3.0504239134643285e-09	0.00028591065159122575	1	0.00040692466896807833	9.379384353547238e-05	1	0.0010112603086399607	0.0554856522189493	0.021565624382705595	9.832445642277143e-05	1	0.0004442492165420697	1.9798901770506916e-05	9.777927644627482e-05	4.865394411257551e-05	0.0030821182751542553	0.013856829955509742	0.003551517004539706	1	2.2557550098945e-06	6.818794819629659e-05	0.033597242928998794	0.056900050919795664	4.160368218819599e-07	0.026723087612745	0.0033627981283217423	8.408724141661938e-05	0.00033020317383858355	1	1	0.001740052143484605	3.106810312125674e-06	0.04118623866251958	1.0749970669188258e-06	8.428561353635011e-06	1.7222413717377094e-08	0.00018460086656457708	0.04449746173174629	2.4818490016564887e-05	1	0.003889530754470183	1	0.009185322266834217	1
GO_BEHAVIOR	4.027197033185104e-06	0.007872277606951972	0.00047529388629419245	0.007156892482112931	0.0023773328695962936	3.7017319209908806e-08	0.000684356659182539	1.7019348153013425e-09	6.209457482642122e-07	0.00024906435069271815	0.00010747030003410707	1.125513773292397e-07	0.0027039119652748633	0.015133257516056986	0.009190673665766536	0.0033472916736174696	0.0038112517211371655	0.015615584636996416	2.251175799716787e-05	1.7855315016745976e-05	0.003293828889117112	7.199283920122923e-07	1.404554891282217e-07	0.0002022827924131887	0.0009451661937843747	0.000278842492068887	5.6853912852927735e-05	0.00421233229563045	0.02386694138931278	0.0030103633352892567	9.145469603843992e-09	3.872537487348282e-07	1.606861399727766e-05	2.3643630608916055e-08	4.917000596238452e-06	0.01034982295226683	0.024511980264359745	0.038251910488063756	8.066669631934253e-06	0.0014094215518835052	8.597756040451543e-08	1.125513773292397e-07	4.1112985904590005e-08	0.00011924841847510415	0.06172451907866494	1.0328515820390294e-10	0.036011952781201284	4.939670517045691e-05	0.00043274168586238115	1.3227020952966129e-06	1
GO_CALCIUM_ION_BINDING	0.061596496349325625	0.001772381875816409	7.639354445698743e-07	0.0030663543451174835	0.0003214867063328075	0.000660257167764633	1.2406961648059323e-06	5.445527886505097e-06	0.0005148550133011742	0.057399011712690795	0.0004957928327617989	0.05030392393233374	0.00019800866716190857	0.022506344426340252	0.019539990677127972	0.008112364407960926	1	0.006973384625406309	1	2.641490670829416e-05	0.0002507244765638239	3.534042473707366e-05	2.4639598481090985e-05	0.040627742348942286	0.022985723694354365	0.07036307005187203	6.181001792160412e-05	1	1	1	0.018672669350790816	0.0005290083711938509	1	0.02448459741249187	0.0010045292159573949	1	1	0.0035656040633460506	0.00022303947926616274	0.03995365314298738	0.0007157596846022463	1.8170347776180762e-05	9.934693324109567e-06	0.0008161558502109978	1	0.0002719604233184514	0.023710821055847653	0.014748970809340456	0.004793129463863344	0.002689535835888379	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.028468838257717177	1	0.00888107736904642	0.09288772237719733	0.0908829371176364	0.001139438421613459	0.0009163625037392764	1.2116419343399798e-06	0.024564185325360977	0.010636686711774201	1	0.0051100533082156785	1	1	1	1	0.07035498940946328	1	0.012951942033450736	0.008087867680310667	0.01587629387377676	0.00010625681689302446	0.0004886650732577325	1	1	0.022407459007239505	0.002966841896383632	1	0.00939777502621264	1	0.0008535692431371755	8.075273586483078e-06	0.0013333911316737446	0.0015145710105946009	0.02476583615762129	0.015256688292547116	0.016152131264684733	0.07930662816149758	0.00032566162493885553	1	1.863291526627009e-07	0.00012577250572165521	0.0007772384079960393	0.0002139461410042287	1	0.0057363314288350065	1	1	0.003570148719165167	0.016016044321028877	0.011241301093184553
