	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HES4	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.0617536814628	1	1	1	1	1	1	1	1	1	1	0.514886345504	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000554588398005	1	1	0.000181237097677	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	0.830887806289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	0.0	1	1	1	0.0	0.0	0.152664986458	0.309307880947	0.0	1	1	1	0.0	0.00332482414914	0.0	0.0	1	0.212825361771	1	0.0	1	1	0.0	0.266267752191	1	0.000955761401852	1	1	0.0	1	1	0.0	0.0	1	0.0	0.0488851074136	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.0629008951601	1	1	1	0.00128915398284	1	1	1	0.21504528053	1	1	1	1	1	1	1	1	1	1	0.000267505362119	1	1	1	1	1	1	1	1	1	1	1	0.333479817322	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.022542833308	1	1	1	0.00213372638704	1	0.0175936798211	0.0	1	1	1	1	1	1	7.22320407061e-05	1	1	0.0	1	1	1	1	1	0.0449799618305	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.19414330401	1	1	1	0.00511932520401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.642937028736	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0419570323065	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0922529463532	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54264914358	1	1	1	1	1	1	1	0.0504951281424	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.041246161391	1	1	1	1	1	1	1	0.0189996800547	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	1	0.174821097023	1	1	1	1	1	1	0.000216125819976	1	1	1	1	1	1	1	1	1	0.264578053451	1	1	1	1	1	1	0.133453149736	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.80689651821	8.5213887824e-05	1	1	0.0	0.00081566803063	0.0342034686797	1	0.0	1	1	1	0.00106111226731	1	0.0	0.0	1	0.00367832484693	0.435412217118	0.0	1	1	0.0320863485018	0.0	1	0.0	1	1	0.000295054389254	1	1	4.98859648128e-05	0.0	1	0.000126169420294	0.264572709979	1	0.275803191029	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	0.0015719808928	1	1	0.00144629239115	0.0602494411356	0.000474651242277	1	0.0	1	1	1	4.57111362628e-05	1	1	0.0	1	0.478415264183	1	0.000429761848401	1	1	0.885145660597	0.00444918985545	1	4.18936494384e-06	1	1	1	1	1	0.000530569284279	0.00121863416152	1	4.85521172972e-05	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.993111169263	1	1	0.0070898482889	0.22326641416	1	1	0.00668737360109	1	1	1	1	1	0.790368149649	0.0	1	1	1	0.0118662404836	1	1	0.0238361976255	0.000279951146297	1	0.0	1	1	0.0615808112796	1	1	0.023585264024	0.0867215806194	1	0.0422367746496	1	1	0.236272236186	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.358871527986	1	1	0.00226143641057	0.609661828056	1	1	0.0186256659732	1	1	1	1	1	0.0632548559027	0.0	1	1	1	0.000764340217858	1	1	1	0.0123163897009	1	0.000743047879226	1	1	1	1	1	0.131740405003	0.0108833391132	1	0.659250966542	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	0.21989776522	1	1	0.00211678091726	0.00742591722123	1	1	0.0127730487537	1	1	1	1	1	1	2.59492046739e-06	1	1	1	0.0234378190876	1	1	0.0250979883634	0.00308006155754	1	0.000180233396524	1	1	0.575878420963	1	1	0.0654021123138	0.27173382121	1	0.0176372047199	1	1	0.377379486368	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	0.0443210460378	1	1	1	4.22323143895e-05	1	1	1	0.128034490514	1	1	1	1	0.654510874442	1	1	1	1	1	0.014576157587	1	1	0.00284243826177	1	1	1	1	1	1	1	1	0.112463088386	0.00134881510745	1	1	1	1	1	1
GO_CELL_BODY	1	1	0.1804973353	1	1	1	0.000266797242755	1	1	1	0.00347752971607	1	1	1	0.148566669073	1	0.0855542143143	0.0	1	0.696131634619	1	0.00148083833124	1	1	2.7265038654e-05	1	1	0.00236010868478	1	1	0.00024129733639	1	0.514070269806	0.0072952004482	0.00647750473968	1	0.0121429475603	1	1	1	1
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.107948178979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	1.77768940262e-05	1	0.0	9.29093859847e-07	1	1	0.0	1	1	1	0.0	0.0124798089311	0.0	0.0	1	0.070461086679	0.352079389534	0.0	1	1	0.0	1	1	0.0	1	1	0.000375034613057	1	1	0.0	0.0	0.391013220083	0.000253994696389	0.000948185114757	1	1	1
GO_CELL_JUNCTION_ASSEMBLY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0301162580534	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	1	0.0673507028771	1	1	1	1	1	1	1	0.00516281023124	1	0.185123680389	0.00220700028737	1	1	1	1	1	1	0.000910113425277	0.00181737687853	1	1	1	1	0.00105786324214	1	1	1	0.56718124541	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	0.00494479451358	1	1	1	0.458326301509	1	1	1	1	1	1	1	1	1	1	0.00271229412134	1	1	0.0189578620535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	0.956484886082	1	1	1	0.0150999160665	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000756020518111	1	1	0.0138969203754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	1	0.274902890438	1	1	1	0.00158715930101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00068295251068	1	1	0.0117344469673	1	1	1	1	1	0.216870859819	1	1	1	0.122227179662	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	0.0690003342027	1	1	1	7.16786257349e-05	1	1	1	0.0639120647255	1	1	1	1	1	1	1	1	1	1	0.00423538477607	1	1	0.00679892978319	1	1	1	1	1	0.267255112827	1	1	0.146463760418	0.0145936777886	1	1	1	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	0.0874744871653	0.00582444506957	0.153778580104	1	1	0.011395720618	1	1	1	0.292397956704	4.57810050641e-05	1	0.0430509697087	1	1	1	0.000845236956422	1	1	0.00404801019955	1	1	1	0.482045065194	1	0.0	1	1	1	0.0889402060591	1	1	0.494370192462	1	1	1
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	1	1	0.791397117574	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CHEMICAL_HOMEOSTASIS	1	1	1	1	1	1	1	1	1	1	0.212270226401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.313077201906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0	1	1	1	1	1	1	1	0.602626230558	1	0.0208592607441	1	1	1	1	1	0.549400333089	0.00085410328206	1	1	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	1	1	0.00983670785494	1	1	1	1	1	1	1	1	0.167774217541	0.383521686734	0.00146305120754	1	1	1	1	1	1	1	1	1	1	1	1	0.000592265975123	1	1	1	1	1	1	1	1	1	0.0634994077376
GO_DENDRITIC_TREE	1	1	1	1	1	1	3.43877519859e-06	1	1	1	0.374019383815	1	1	1	0.010912465278	0.180697309155	0.0	0.0	1	1	1	1	1	1	2.29096431961e-05	0.117477084355	1	0.300368004148	1	1	0.0	1	1	1	2.81070724705e-05	1	0.00246908479403	1	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	0.0631038763581	0.00448936798858	1	1	0.222170860962	1	1	1	0.374348824598	1	1	0.0	1	1	1	0.0454472006416	1	1	0.00143412289755	1	1	1	1	1	0.0	1	1	0.832292094882	7.20339259586e-06	1	0.271525741072	1	1	1	1
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.335737975418	1	1	1	1	1	1	1	0.242533066944	1	1	1	1	1	1	1
GO_EXTRACELLULAR_MATRIX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.078058051512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_GATED_CHANNEL_ACTIVITY	0.902869999476	1	0.2169070126	0.000107212130764	0.649039996252	1	1.41821496227e-05	0.000215999319728	0.000370579993219	1	6.23798738153e-06	1	1	1	3.92805631622e-05	1	1.43285194758e-05	3.94024200778e-06	1	0.000726941619742	0.0740732453631	1.00552520983e-05	1	1	0.00204736160968	0.0	1	1.70206488659e-05	1	0.430516881789	0.000390584810943	1	0.0483216325378	7.93952558709e-06	1.79283681059e-05	0.0767062752954	6.96296427103e-05	0.311841571226	1	0.309358384255	1
GO_GLUTAMATERGIC_SYNAPSE	1	1	0.161315506834	1	1	1	1	1	1	1	0.641289022772	1	1	1	1	1	1	1	1	1	1	0.000107718865019	1	1	0.00207313750425	1	1	0.33319405712	1	1	0.141952143858	1	1	0.636120794593	0.0889408201632	1	1	1	1	1	1
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	0.188598627149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000643401466366	1	1	1	1	1	1	1	1	1	0.0134807806245	1	1	1	1	1	1	0.00204268977145	1	1	1	1	1	1
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000762312094509	1	1	1	1	1	0.211797902158	1	1	1	1	1	1	1	1	1
GO_HORMONE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.552505241589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.103255250491	1	1	1	1	1	1	1	1
GO_HORMONE_TRANSPORT	1	1	1	1	1	1	0.152846319555	0.221943938077	1	1	4.24622790365e-05	1	1	1	6.31936227626e-05	1	0.0398842503274	0.00107986018238	1	1	1	1	1	1	1	1	1	0.0106309542647	1	1	1	1	1	1	1	1	0.00647564957029	1	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	0.00302373235167	1	1	1	0.103373648852	1	1	1	1	1	1	0.0	1	1	1	0.138240262058	1	1	0.654255390612	0.00264524676772	1	0.00312686297757	1	1	1	1	1	0.10480096198	0.963728130113	1	0.180507501822	1	1	1	1
GO_INSULIN_SECRETION	1	1	1	1	1	1	0.396152488962	0.191874654904	1	1	0.0165113563122	1	1	1	0.00247435796965	1	0.0869500237867	0.00111475599478	1	1	1	1	1	1	1	1	1	0.0928940737922	1	1	0.865961701413	1	1	1	0.118486752218	1	0.0142954864339	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1	1	0.105308462504	1	1	1	0.000206162826111	0.0910656414628	1	1	2.22574506259e-05	1	1	1	1	1	0.10678429046	1.88414830373e-05	1	1	1	0.000821731129962	1	1	0.0102933293534	0.00704606178723	1	0.0349153003909	1	1	1	1	1	0.146332516505	0.153364276423	1	0.134860827004	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.188169539297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.911144709077	0.0093995480104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_GATED_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.775823166564	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	6.52275552973e-05	0.287013199484	1	1	0.00314602255747	1	1	1	0.143057901601	1	0.119458120504	3.06402862762e-05	1	1	1	0.276648439563	1	1	0.00662546421094	0.000661555705113	1	8.36434956275e-05	1	1	1	1	1	0.0172122214178	0.19589273111	1	0.0334978179588	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	0.00415701250599	1	1	1	0.382594579158	1	1	1	1	1	1	0.000166463091769	1	1	1	0.482320250395	1	1	1	0.0128918948162	1	0.445245295075	1	1	1	1	1	1	1	1	0.635047843523	1	1	1	1
GO_ION_TRANSPORT	1	1	1	1	1	1	0.000808763662934	1	1	1	0.112436664406	1	1	1	1	1	1	2.99484327546e-05	1	1	1	0.342153144463	1	1	0.0551673392491	0.0919752814036	1	0.00649042491426	1	1	1	1	1	0.16597182968	0.168652256808	1	0.00453693976602	1	1	1	1
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	0.0107976455118	1	1	0.503115577052	0.0484148858796	1	1	1	1	1	1	1	1	0.503115577052	1	1	1	1	1	1	1	1	1	1	6.7077510125e-05	1	1	1	1	1	1	0.126124721676	1	1	1	1	1	1
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	1	1	1	0.121726413867	1	1	0.0112031461017	0.0194315970039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00176897849736	1	1	1	1	1	1	0.385431155671	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.172192847331	1	1	0.00484632725888	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MAIN_AXON	1	1	1	1	0.0444039843582	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.46251335371	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	1	1	0.0561234475536	1	1	1	1	1	1	1	1	1	1	0.00114127871032	1	1	1	1	1	1	1	0.0850455898383	1	1	1	1	1	1	1	1	1	1	0.918335110406	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	1	1	0.255911611046	1	1	1	1	1	1	1	1	1	1	0.322025300829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.0290717312863	1	1	0.00853030912475	0.116742143082	1	1	0.000514537730832	1	1	1	1	1	1	0.0	1	1	1	0.000312226323635	1	1	1	0.00313644992427	1	0.000674587528208	1	1	0.0660475513626	1	1	0.0149353739467	0.00235688120401	1	0.00562033610865	1	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	0.0198160489019	1	1	0.0969208385172	1	1	1	0.00381567942826	1	1	1	1	1	1	7.13422121752e-05	1	1	1	0.0630461096667	1	1	0.0445432938697	0.000122571858397	1	6.93785435774e-05	1	1	1	1	1	1	0.421345856043	1	0.0754065282408	1	1	1	1
GO_MICROTUBULE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.282400712289	1	1	1	1	1	1	1	1	1	1
GO_MICROTUBULE_BASED_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.151525661398	1	1	1	1	1	1	1	1	1	1
GO_MICROTUBULE_BINDING	1	1	1	1	1	1	0.21643493609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0470533421154	1	1	1	1	1	1	1	1	1	1
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0400514709586	1	1	1	1	1	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.231261496102	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00349586353683	1	1	1	1	1	1	1	1	1	0.781801014142	1	1	1	1	1	1	1	1	1	1	1	1	1
