	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	0.005308198523103047	1	0.0027197947584955973	5.605199712488407e-05	1	6.528439451258805e-07	1	1	1.8464000328677344e-09	0.0004947388933217445	1	0.0008485924888521623
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	0.09957206545268138	1	2.5501474176903294e-05	1	1	5.34771305016335e-09	0.0009791449827570853	1	0.003139539593276619
GO_AXON	1.4993070673874342e-08	0.09420747715196331	2.46298514916532e-09	0.04765504802314524	6.179717337850832e-08	7.164322204378237e-07	0.0038803441193280275	0.01509931506808071	0.036882305833716655	4.2022636659311274e-07	0.0	2.426281473955072e-06	6.3407828987394055e-09	0.014964465017476947
GO_AXON_DEVELOPMENT	0.02827495828678206	1	0.00416327754686685	0.055447884825047145	0.000986491510393317	0.00040692466896807833	0.056900050919795664	1	0.0009501620866568805	1	5.320940678066322e-07	0.09027403077569707	0.011673106943995926	0.010723946605282197
GO_BEHAVIOR	0.051878498086207814	1	0.0014023907272138203	0.09185888658723163	0.0006615380953940431	0.0003899454142712866	1	0.0024061790745447675	0.08328055124713285	0.008936593969181672	0.0	2.33489423129285e-07	0.021216020975216576	0.003673935009642859
GO_CATION_CHANNEL_ACTIVITY	0.0026160199546569896	0.0012422008188137657	0.0016991904978509442	1.1624696749645835e-06	0.0	0.009971409803257503	1.0213082540788676e-06	1	5.192870042192155e-06	0.022840349146685535	1.387591153090284e-10	0.0006176103460550086	0.006890366233013978	8.43983370865109e-05
GO_CATION_CHANNEL_COMPLEX	0.007822334284587673	0.004549587484928397	8.486003101459971e-05	2.0599210923677447e-06	3.810803476111957e-07	0.07303307454925112	2.962194496147763e-05	1	0.00020531347094421282	1.1605384913959682e-05	2.546769461986287e-10	0.0018902427877973693	1	7.688052181042959e-05
GO_CATION_TRANSMEMBRANE_TRANSPORT	0.0004046285856791343	0.0114029471126611	0.00011783708059731612	2.638158747458874e-06	3.5415037569208607e-10	0.004422909833968758	0.0005335367333336727	1	0.0005567216990381985	1	2.7403407099058086e-08	0.0017675153162934887	0.09853852638856853	0.0002959062562727377
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0008039855989889766	0.012356061597011414	0.015011034500716725	8.234982589172546e-07	4.758375682367699e-08	0.005690572276033423	6.929155549229016e-06	1	0.0007070591265133652	0.08655532918789266	1.8936681922543386e-07	0.05853146049152702	0.025955098162197765	0.0018888428354602027
GO_CATION_TRANSPORT	0.00026472987781800406	0.02857004689663889	0.0006110123061632278	2.869449265352486e-05	8.398110939999981e-08	0.009738160813184238	0.0005434884721410294	1	0.000508253306461981	0.058181626164475864	2.5677715690397562e-06	0.001962358769351469	0.05941117893472503	0.0030192386726070053
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.0004868095790684368	0.04147647660036324	0.0022960425912023075	0.021802538286162854	9.944206930401212e-05	5.3840516429537466e-05	1	0.03473009480973188	0.00022530737546300195	0.015046613933581976	1.475385091875836e-08	0.0032164973822778054	0.024013867254814913	0.005233189538210059
GO_CELL_BODY	0.00569673055442621	1	0.0003540141725578705	1	5.79804776412729e-07	0.001071333305506239	0.07410236876902665	1	0.07710756472833913	0.0005669381443238475	1.1198315053029262e-08	0.0028803892804332154	4.6049776764034434e-05	0.0030463127663739042
GO_CELL_CELL_SIGNALING	4.34673751953385e-05	0.00013555832049172434	0.00012734956748905457	0.0046443762745354	2.384765307450465e-08	6.262645175214576e-05	1	0.049864030561734385	3.7664101657619575e-05	0.00011532991750040633	0.0	3.2733625809910905e-09	4.762486834586355e-05	0.00010008709026410045
GO_CELL_MORPHOGENESIS	0.0018379186453155727	1	0.0020752246907536076	0.04109574161304297	0.00045740561012574954	0.00014441648705965093	0.09179803708222112	1	0.00014950471735752924	0.004242643208814845	6.275102027997193e-07	0.009414401872784306	0.0319646511312609	0.02067248289737522
GO_CELL_PART_MORPHOGENESIS	0.0005397041119793444	0.021768828927635764	0.0006574916910692119	0.010329100785439471	0.00010122406642520954	4.1750074381896596e-05	1	1	0.00034863855239464225	0.0069517109547717615	5.71201719257175e-09	0.005486247314933745	0.01287997485537884	0.004606786184203737
GO_CELL_PROJECTION_ORGANIZATION	0.001107655341238356	0.001608445860980745	0.004882097436155974	0.0004103763514694547	5.018099736919801e-05	4.76232649220254e-05	1	1	0.039213920548661796	0.019755291721838875	4.1618677726340536e-07	0.00013188173968270434	0.00041092077344151434	0.029908925675138365
GO_DENDRITIC_TREE	1.5247080198399487e-06	0.010332473956723986	2.820667083902606e-06	1	1.1609864835060435e-06	0.03162916743937283	0.0032073816803011024	0.012657270875296445	0.08738512855850922	0.009715988509041096	0.0	5.5712242906902354e-05	0.0015470862429218801	0.00045433542001982463
GO_DISTAL_AXON	8.630627764349974e-06	0.017668486690274987	0.00022765393310486548	1	0.00033158434213276244	2.1672110825932123e-06	0.0928084494044904	1	0.031053854699755745	1.8397516998946983e-05	4.3492812895618016e-07	0.03812808049007088	1.4251830326217352e-05	1
