	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_9PLUS0_NON_MOTILE_CILIUM	0	0	6	0	0	0	0	0	0	0	10	10	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	0	7	0	0	8	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	0	5	0
GO_9PLUS2_MOTILE_CILIUM	0	5	0	0	0	0	0	0	0	0	7	0	4	0	6	0	0	0	0	2	0	0	0	0	4	0	7	7	0	0	7	0	0	0	0	3	5	10	0	0	6	0	4	0	6	0	8	0	8	6	0	2	8	0	0	0	4	0	5
GO_ACETATE_ESTER_TRANSPORT	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_ACETYLCHOLINE_BINDING	0	0	0	0	2	0	0	0	0	0	4	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	3	2	2	0	0	3	0	0	2	0	0	0	2	0	0	2	3	2	0	0	2	0	0	0	0	0	0
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	0	0	0	0	2	0	0	0	2	0	5	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	2	2	0	0	4	0	0	2	0	0	0	2	0	0	2	4	2	0	0	2	2	0	0	0	0	2
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	0	0	0	0	2	0	0	0	2	0	5	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	2	2	0	0	4	0	0	2	0	0	0	2	0	0	2	4	2	0	0	2	2	0	0	0	0	2
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	0	0	2	0	2	0	0	0	2	0	6	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	3	2	2	0	0	5	0	0	3	2	0	0	2	0	3	2	5	3	0	0	3	2	0	0	2	0	3
