	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3	0	15	8	10	14	24	28	9	0	15	0	6	0	10	17	18	21	21	0	0	11	18	5	8	18	18	14	19	11	7	19	0	28	19	25	22	0	20	0	0	7	11	12
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	4	9	6	7	8	16	19	5	0	11	0	3	2	8	11	10	15	16	2	4	9	12	4	5	10	13	11	11	6	5	13	0	18	13	14	14	0	14	0	0	5	9	8
GO_CARDIAC_CONDUCTION	0	5	9	8	11	11	17	22	4	0	14	0	0	0	8	11	12	16	21	0	8	8	13	0	7	15	10	10	16	9	5	13	0	14	18	21	14	0	18	0	0	5	11	12
GO_CATECHOLAMINE_SECRETION	0	2	4	0	3	3	4	8	3	3	4	3	0	2	3	6	4	7	10	2	3	0	4	0	0	7	3	0	5	3	0	0	0	8	4	9	8	3	11	0	2	0	4	0
GO_CATION_CHANNEL_ACTIVITY	7	8	27	25	21	24	50	50	14	12	33	7	8	7	17	33	26	40	43	8	21	21	36	6	15	28	24	19	33	16	13	30	0	34	34	46	37	3	35	8	4	11	20	26
GO_CATION_CHANNEL_COMPLEX	4	9	20	19	15	15	33	33	11	9	24	5	8	4	11	29	21	25	33	4	15	12	27	5	8	20	17	17	28	14	9	16	0	25	24	34	27	3	26	0	0	9	11	21
GO_CATION_TRANSMEMBRANE_TRANSPORT	8	0	44	32	33	44	69	76	19	18	46	11	16	8	24	50	50	57	67	8	25	23	50	14	22	51	37	26	54	32	20	44	0	56	49	70	58	0	57	13	0	17	31	43
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	10	35	27	26	29	58	58	15	13	37	8	8	8	17	38	34	49	54	8	22	24	43	9	15	37	29	21	39	25	14	34	0	40	42	57	44	5	40	10	0	13	25	32
GO_CATION_TRANSPORT	10	0	51	38	40	48	82	89	23	24	54	0	19	11	27	59	58	67	77	10	32	27	58	17	25	61	41	29	60	39	21	51	0	65	56	80	69	0	67	17	0	20	37	49
GO_CELLULAR_COMPONENT_MORPHOGENESIS	6	17	49	20	26	31	62	59	22	25	39	10	13	7	15	44	43	52	51	11	25	0	44	16	23	53	24	29	38	39	20	41	0	46	51	67	41	0	50	12	14	18	18	29
GO_CELL_BODY	6	15	38	21	21	30	48	51	17	22	36	9	14	6	17	39	27	45	54	11	25	19	40	12	22	47	22	19	38	34	11	38	0	41	40	53	39	5	45	13	10	16	26	27
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	3	8	11	9	12	0	16	13	8	11	18	0	7	0	0	16	13	19	22	4	9	11	18	7	0	14	17	9	10	10	10	0	6	18	14	19	17	0	22	5	5	7	0	0
GO_CELL_CELL_SIGNALING	16	35	81	54	61	68	120	126	41	41	83	25	26	20	33	94	90	117	120	17	49	37	87	23	45	106	51	54	92	72	31	81	6	99	104	137	94	16	124	29	20	26	52	76
GO_CELL_JUNCTION_ASSEMBLY	6	15	17	16	16	15	27	27	14	12	21	0	9	5	11	24	19	34	33	0	11	8	20	10	9	33	20	13	21	15	13	19	4	25	22	33	24	0	35	9	6	0	0	15
GO_CELL_JUNCTION_ORGANIZATION	7	21	40	27	28	30	49	47	21	19	35	0	12	6	17	46	39	52	55	8	18	12	37	15	17	46	32	23	30	29	18	42	7	37	41	56	37	0	53	14	8	0	19	28
GO_CELL_MORPHOGENESIS	0	19	52	25	29	35	68	66	20	27	45	12	15	0	17	47	48	60	60	11	28	17	54	19	25	60	28	34	43	43	23	44	0	47	53	74	50	6	59	17	18	20	20	32
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	6	13	43	17	21	28	54	54	15	23	35	11	12	6	15	36	37	45	47	9	25	14	45	14	20	50	22	29	31	35	17	37	0	37	40	57	38	5	44	13	15	14	18	27
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	6	13	38	15	20	27	49	50	15	22	30	11	12	6	13	33	33	40	39	9	21	11	40	14	17	44	20	25	28	31	15	36	3	35	36	50	32	4	39	11	11	13	16	23
GO_CELL_PART_MORPHOGENESIS	6	17	45	20	25	30	58	54	18	22	36	10	12	7	14	40	40	46	46	11	22	0	42	16	22	49	20	27	36	36	18	39	0	42	45	62	37	4	47	12	14	15	17	27
GO_CELL_PROJECTION_ORGANIZATION	0	33	68	38	43	63	96	97	35	36	65	24	27	14	30	72	85	88	92	14	36	26	71	28	42	87	40	45	59	63	32	78	0	69	74	107	69	0	96	30	21	27	38	51
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0	20	42	25	29	40	50	52	24	24	41	12	0	0	27	46	48	58	56	8	31	18	44	14	28	42	28	27	43	41	15	44	5	40	47	65	48	5	64	0	16	0	32	37
GO_CHANNEL_INHIBITOR_ACTIVITY	0	0	0	3	3	0	6	7	2	4	8	0	3	0	3	5	5	5	7	0	0	2	4	0	2	8	5	2	4	0	2	0	0	4	6	8	4	0	8	3	0	2	2	4
GO_CHANNEL_REGULATOR_ACTIVITY	0	6	9	7	6	10	14	17	5	7	14	3	6	0	8	12	12	15	18	0	5	5	12	0	0	15	7	0	13	0	5	8	0	12	11	18	15	0	17	6	0	0	0	12
GO_CHEMICAL_HOMEOSTASIS	9	0	38	26	30	0	63	70	0	0	51	0	0	8	0	43	42	60	63	0	0	19	38	0	23	57	37	31	46	37	0	40	0	41	45	63	58	6	65	15	12	17	28	38
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	2	0	9	0	4	5	14	12	5	5	10	5	0	0	0	10	7	9	7	2	4	4	13	0	0	12	4	4	12	7	0	8	0	7	9	13	10	0	12	4	0	0	0	8
GO_CHONDROITIN_SULFATE_BINDING	0	0	2	2	0	3	4	0	0	0	0	0	0	0	0	2	4	0	2	0	3	0	5	0	0	3	2	0	2	0	0	0	0	2	0	4	2	0	4	2	0	2	3	3
GO_CIRCULATORY_SYSTEM_PROCESS	7	12	0	16	20	24	37	37	13	0	28	0	0	5	16	26	21	41	48	7	20	12	31	0	16	34	23	20	38	27	11	23	0	37	40	48	32	5	41	0	8	14	21	26
GO_CYTOSKELETAL_PROTEIN_BINDING	0	18	44	25	30	48	66	70	27	27	40	15	18	9	30	46	51	62	64	0	19	0	37	15	22	49	34	24	39	43	19	52	0	47	45	73	47	0	61	17	0	19	24	50
GO_CYTOSKELETON_ORGANIZATION	0	20	44	0	28	44	60	66	24	28	43	16	0	0	28	47	48	63	63	0	0	0	0	0	27	47	28	26	38	37	18	56	0	45	48	75	50	0	69	20	0	19	29	45
GO_DENDRITE_DEVELOPMENT	0	0	14	9	11	14	20	16	8	8	0	4	5	3	0	11	15	14	16	5	9	0	15	8	9	15	0	9	0	12	0	19	0	0	15	16	0	0	17	7	5	0	7	17
GO_DENDRITIC_TREE	6	16	42	18	18	33	50	52	18	12	35	0	12	7	16	43	40	54	58	7	22	17	32	11	17	47	29	20	32	32	15	46	0	37	45	55	42	0	49	10	0	11	19	36
GO_DENSE_CORE_GRANULE	0	2	4	2	2	0	4	4	2	3	0	3	0	0	3	3	4	8	7	3	3	2	4	0	0	4	0	2	4	4	0	5	0	4	3	4	4	2	6	0	0	0	4	0
GO_DEVELOPMENTAL_MATURATION	3	7	23	13	15	12	20	23	0	0	12	0	0	6	14	15	20	22	24	5	15	10	14	0	10	19	11	11	15	12	9	18	0	15	14	26	20	0	21	0	0	0	15	13
GO_DISTAL_AXON	4	12	28	12	12	17	29	36	14	12	22	6	7	5	9	26	23	28	38	4	8	11	26	6	11	30	14	13	17	21	9	30	0	24	29	36	26	3	24	7	5	10	13	21
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	4	11	6	7	8	18	21	5	0	11	0	0	0	8	13	12	16	17	2	0	9	12	4	5	12	13	11	11	7	5	13	0	18	13	14	16	0	15	0	0	5	9	8
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	5	0	21	12	15	17	32	37	11	0	21	0	8	0	12	26	24	26	28	0	11	13	21	0	11	28	21	15	25	16	0	21	0	31	22	30	30	0	29	0	0	8	14	17
GO_EXOCYTIC_VESICLE	0	5	19	7	10	11	19	19	10	0	15	4	0	4	9	19	18	21	22	3	6	0	13	0	10	20	10	10	13	15	0	17	0	18	14	28	16	2	21	6	0	5	7	12
GO_EXTRACELLULAR_MATRIX	0	0	28	13	19	22	35	31	17	13	33	0	10	0	18	29	34	40	37	0	17	16	36	0	19	34	18	16	25	25	0	22	0	32	22	42	33	4	39	11	10	13	12	23
GO_GATED_CHANNEL_ACTIVITY	9	9	28	26	22	23	51	52	17	12	37	7	12	8	18	36	27	42	46	8	22	21	38	7	17	30	25	19	32	19	15	30	0	38	36	52	39	4	35	9	5	11	20	26
GO_GLUTAMATERGIC_SYNAPSE	0	9	26	16	16	18	26	30	11	8	25	8	0	0	11	19	22	26	31	7	12	12	30	7	13	30	13	11	23	18	7	27	0	29	28	31	25	0	34	6	0	7	11	20
GO_HEAD_DEVELOPMENT	0	16	34	19	23	32	40	45	23	20	32	10	0	0	24	35	41	48	46	8	23	16	38	10	20	32	25	23	37	32	13	34	4	33	38	50	38	0	55	0	12	0	27	32
GO_HEART_PROCESS	3	7	14	10	13	18	24	26	7	0	17	0	0	0	11	18	16	25	29	0	11	9	19	0	9	23	13	12	26	14	7	17	0	22	28	31	20	0	23	0	5	8	12	15
GO_HINDBRAIN_DEVELOPMENT	2	0	13	6	7	8	13	16	0	5	10	4	0	0	7	12	13	16	15	2	8	6	10	0	8	9	0	5	11	6	5	12	0	0	10	19	12	0	19	0	3	0	12	13
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	3	6	10	8	10	7	13	10	8	10	15	4	7	0	0	13	11	15	18	4	8	7	15	7	0	11	15	6	7	8	9	0	6	15	13	15	13	0	20	4	3	6	0	7
GO_HORMONE_ACTIVITY	4	4	6	0	4	10	14	13	5	5	9	0	5	2	5	13	9	15	17	0	6	0	0	6	5	12	7	6	9	0	0	0	2	9	6	14	12	2	15	0	5	0	4	11
GO_HORMONE_TRANSPORT	5	0	25	12	15	16	27	35	11	11	28	5	0	4	10	33	22	33	32	0	14	0	18	0	11	23	15	17	24	19	7	20	0	26	24	34	28	6	30	0	7	10	11	20
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	9	0	43	31	30	35	69	72	21	17	44	0	18	9	24	49	47	52	63	8	23	22	49	12	21	46	34	24	48	32	21	39	0	53	45	68	55	0	47	12	0	16	27	33
GO_INSULIN_SECRETION	4	5	21	10	12	12	20	29	8	9	19	5	0	3	8	25	20	26	25	0	12	0	17	0	8	18	10	16	19	15	0	17	0	18	19	24	20	4	24	0	3	5	10	17
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	14	23	75	53	51	46	100	106	41	40	80	18	26	15	29	81	75	97	106	17	45	38	81	21	35	81	55	42	70	62	30	59	6	83	78	110	82	11	92	28	0	25	28	53
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	0	0	9	4	5	4	9	10	6	4	7	0	0	0	5	8	6	11	14	0	0	4	10	0	3	9	6	0	8	6	0	6	0	8	9	11	10	0	9	4	0	0	0	6
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	3	4	12	7	6	8	15	18	8	5	12	5	0	0	6	14	11	19	21	0	0	7	15	6	0	15	8	0	13	10	0	13	0	16	14	19	15	2	17	5	0	0	0	14
GO_ION_CHANNEL_REGULATOR_ACTIVITY	0	6	8	7	6	10	13	16	5	6	13	3	6	2	7	10	11	15	17	0	5	5	11	3	4	14	6	0	11	5	5	7	0	12	11	16	14	0	16	5	0	0	0	11
GO_ION_TRANSMEMBRANE_TRANSPORT	12	0	55	38	38	49	85	91	29	25	58	0	22	9	28	63	60	71	80	11	33	30	57	20	26	62	43	31	63	42	23	49	0	65	58	87	70	6	68	17	0	18	35	48
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	0	41	31	28	31	67	66	21	16	45	0	13	9	21	48	42	57	63	9	25	27	47	13	18	42	34	24	43	30	17	35	0	45	46	66	53	6	47	12	0	13	26	35
GO_ION_TRANSPORT	16	21	63	45	46	53	101	107	31	32	69	0	26	14	33	75	71	86	99	13	42	35	71	25	29	81	48	37	71	52	27	56	0	80	73	104	88	8	86	22	14	26	42	53
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	5	3	11	11	9	11	17	19	0	6	12	5	3	0	6	11	9	15	12	4	8	5	12	0	6	10	6	7	16	0	0	12	0	9	13	17	14	0	14	4	0	3	6	14
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	6	0	12	13	10	12	21	22	5	6	15	5	7	2	7	14	12	16	15	4	9	7	15	4	7	12	9	8	17	0	0	13	0	13	14	22	16	2	17	4	3	4	8	15
GO_LOCOMOTORY_BEHAVIOR	3	0	15	5	8	12	15	16	8	7	12	0	0	0	6	17	12	17	17	3	9	8	14	0	6	19	12	9	19	11	0	13	0	15	16	20	13	0	19	0	5	0	9	13
GO_MAIN_AXON	0	3	9	5	10	7	10	12	4	7	8	0	0	0	4	7	5	8	12	0	8	8	7	0	5	7	6	3	7	5	3	9	0	6	8	13	11	2	9	0	3	0	4	8
GO_MEMBRANE_DEPOLARIZATION	2	4	8	8	7	4	17	16	4	0	10	0	0	2	5	12	8	12	17	3	5	7	9	0	5	13	10	7	11	9	3	10	0	10	12	16	13	0	14	0	2	4	6	6
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0	3	5	5	5	0	11	10	2	0	4	0	0	0	2	5	4	7	9	0	4	6	7	0	4	7	6	4	7	4	2	6	0	4	7	9	7	0	7	0	2	4	3	5
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0	2	4	4	4	2	8	9	2	0	4	0	0	0	0	4	4	6	7	0	2	5	4	0	2	6	5	3	6	4	2	4	0	4	7	7	5	0	6	0	0	3	3	4
GO_MEMBRANE_PROTEIN_COMPLEX	0	17	37	33	30	31	70	67	24	23	41	0	15	0	0	47	0	61	68	0	32	20	48	0	0	46	30	25	54	35	18	35	0	46	51	70	56	9	53	0	0	20	22	37
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6	7	30	24	21	20	46	48	12	0	30	0	7	8	16	30	26	35	45	7	18	21	36	0	14	27	24	18	30	21	12	28	0	34	34	45	36	5	31	7	0	12	21	23
GO_METAL_ION_TRANSPORT	8	0	42	33	32	38	67	71	18	0	46	0	16	10	24	49	46	52	62	7	27	23	49	0	21	52	37	25	51	32	19	39	0	52	47	66	56	0	51	13	0	17	30	38
GO_METENCEPHALON_DEVELOPMENT	0	3	11	6	7	7	12	14	4	5	9	4	0	0	5	11	12	13	14	0	7	5	9	0	7	9	0	5	11	5	5	11	0	7	9	18	10	0	16	0	0	0	12	10
GO_MICROTUBULE	0	9	18	9	12	17	25	23	9	11	19	0	0	0	11	18	18	23	26	0	9	0	0	8	0	17	0	12	0	15	11	27	0	16	17	29	20	0	27	9	0	11	12	23
GO_MICROTUBULE_BASED_PROCESS	0	19	29	17	18	31	41	48	15	17	31	11	0	0	19	28	33	43	42	6	17	0	0	12	18	33	0	20	25	28	17	40	0	31	33	49	40	0	49	12	0	15	20	31
GO_MICROTUBULE_BINDING	0	9	17	8	10	18	24	23	7	9	18	6	9	4	12	16	18	22	23	3	8	6	13	8	8	16	10	9	14	16	7	22	0	16	15	29	17	0	26	7	0	8	9	20
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0	15	21	0	15	25	29	36	0	12	21	10	0	0	17	0	23	34	31	0	12	0	0	9	15	24	13	14	19	18	0	33	0	0	26	38	31	0	37	10	0	0	15	25
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	0	23	21	18	13	33	30	0	0	23	0	0	7	9	21	18	26	35	5	16	14	27	0	11	19	14	9	23	18	8	18	0	19	24	38	23	4	17	7	0	8	15	17
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	0	0	28	26	25	23	45	43	0	12	30	0	8	7	15	32	30	34	43	5	19	13	34	0	15	30	20	12	32	23	14	26	0	29	27	47	33	0	28	9	0	11	20	24
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	7	14	11	12	13	26	27	10	6	16	0	0	0	11	18	16	24	29	0	12	11	21	5	8	18	14	12	21	10	7	18	0	19	23	29	20	2	24	0	0	8	11	14
GO_MUSCLE_CONTRACTION	0	0	15	11	13	12	29	25	12	0	13	0	0	4	8	15	14	23	22	0	16	12	20	0	10	20	12	0	18	11	0	15	0	14	19	27	21	0	23	0	0	7	8	17
GO_NERVOUS_SYSTEM_PROCESS	0	20	45	30	32	45	63	75	28	30	47	17	16	0	23	53	48	69	73	9	27	21	56	0	0	63	35	32	54	41	0	49	5	58	48	81	58	7	79	19	17	0	33	44
GO_NEURAL_NUCLEUS_DEVELOPMENT	0	4	4	6	7	7	7	11	6	7	5	0	0	0	5	9	6	7	10	3	0	0	5	3	3	6	6	6	10	6	0	4	0	8	7	12	4	0	9	3	2	0	3	5
GO_NEUROGENESIS	0	36	76	40	46	71	106	110	36	39	69	22	24	14	39	75	86	105	104	16	50	35	85	28	43	94	42	52	65	76	33	86	0	77	91	119	82	0	106	24	26	26	45	55
GO_NEURONAL_DENSE_CORE_VESICLE	0	0	3	2	0	0	3	2	0	2	0	3	0	0	2	3	3	6	5	3	3	0	2	0	0	2	0	2	3	4	0	4	0	3	0	3	3	2	4	0	0	0	2	0
GO_NEURON_DEVELOPMENT	7	25	63	30	32	52	84	85	25	32	54	16	20	12	29	63	70	77	78	15	36	22	65	22	31	74	34	38	47	55	24	64	0	58	65	87	62	0	76	20	19	20	30	41
GO_NEURON_DIFFERENTIATION	0	29	72	36	41	62	97	97	28	36	61	19	22	14	33	71	77	93	93	15	47	30	76	23	41	86	36	48	57	66	26	76	0	69	82	103	74	0	91	20	23	23	38	47
GO_NEURON_PROJECTION	11	39	88	50	51	69	116	120	47	42	89	27	32	17	40	98	89	113	130	16	50	40	87	25	41	105	59	50	86	80	30	97	5	92	98	131	85	9	111	27	20	31	56	70
GO_NEURON_PROJECTION_GUIDANCE	3	6	18	0	9	13	29	25	0	11	20	0	6	4	9	20	15	19	17	4	8	0	22	6	8	22	9	12	12	17	8	17	0	16	20	29	17	0	20	0	4	9	9	0
GO_NEURON_PROJECTION_TERMINUS	3	6	18	7	7	7	16	18	7	5	10	4	4	3	8	16	13	13	20	5	7	8	15	4	6	16	9	7	13	13	5	14	0	15	16	19	15	2	18	4	3	5	7	12
GO_NEURON_SPINE	0	5	15	8	10	11	16	17	11	0	13	0	8	0	0	19	18	19	20	0	0	8	14	4	7	17	13	8	16	16	4	20	0	14	15	23	17	0	15	4	3	4	8	16
GO_NEURON_TO_NEURON_SYNAPSE	4	12	30	15	16	29	28	36	15	11	24	8	8	0	10	32	32	33	36	4	9	7	28	11	10	36	19	20	21	26	0	33	0	30	33	41	25	0	39	14	0	9	14	28
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	5	4	6	4	5	0	0	8	0	0	9	0	5	2	6	13	0	8	13	4	4	0	5	3	5	7	4	0	9	6	0	0	0	11	8	13	8	3	12	3	0	5	8	5
GO_NEUROTRANSMITTER_SECRETION	0	9	17	10	12	13	19	23	7	10	13	8	0	6	6	14	17	23	20	4	6	5	12	0	7	23	7	7	14	14	0	17	0	18	19	22	19	4	24	7	0	7	12	9
GO_NEUROTRANSMITTER_TRANSPORT	0	9	23	12	15	15	24	27	9	11	15	8	0	6	8	18	20	26	25	4	9	7	16	5	9	26	9	9	17	17	0	19	0	22	22	27	22	5	27	7	0	9	13	9
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	9	32	27	24	26	57	58	19	15	43	7	12	8	19	41	32	46	51	10	23	22	40	9	17	32	29	22	36	19	16	31	0	40	36	55	44	4	40	11	0	11	22	27
GO_PEPTIDE_HORMONE_SECRETION	4	5	23	11	14	14	23	32	10	10	22	5	0	4	8	29	21	29	29	0	12	0	18	0	10	19	13	17	22	17	6	18	0	22	22	28	24	5	26	0	4	7	11	18
GO_PEPTIDE_SECRETION	0	0	28	16	19	22	30	41	15	15	30	7	0	5	12	38	32	37	38	0	18	0	24	0	17	26	21	22	31	23	9	25	0	29	29	38	32	6	38	0	6	9	14	22
GO_PERIKARYON	0	5	17	9	8	10	18	19	7	10	13	3	4	0	6	14	10	17	19	0	6	5	18	4	8	18	7	0	14	9	5	12	0	14	12	19	16	0	16	4	3	7	11	10
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	5	12	28	27	23	25	49	47	17	17	29	0	10	0	14	35	25	42	49	7	24	16	36	0	0	33	19	20	38	24	14	27	0	32	38	51	42	5	39	0	0	17	0	28
GO_PLASMA_MEMBRANE_REGION	9	24	47	27	27	44	59	69	32	29	54	19	23	10	21	57	58	69	78	0	0	26	53	18	22	66	39	32	52	50	19	49	0	56	54	80	58	0	68	21	0	20	29	48
GO_POSITIVE_REGULATION_OF_ION_TRANSPORT	3	0	14	10	14	15	19	22	7	0	12	0	5	0	7	14	14	19	20	0	11	9	12	0	10	24	10	7	20	0	0	12	0	16	15	19	16	0	23	0	6	0	10	19
GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	2	0	5	0	0	0	0	7	0	0	8	0	0	0	0	5	0	8	7	0	4	0	6	0	0	8	0	4	0	0	0	6	0	5	0	8	7	2	8	0	8	0	4	5
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	2	0	5	0	0	0	5	6	0	0	8	0	2	0	0	5	0	8	7	0	4	0	5	0	3	8	0	4	0	0	0	6	0	5	0	8	7	2	8	0	8	0	3	5
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0	6	13	6	10	10	15	15	8	6	10	4	0	0	5	11	14	17	18	0	5	5	13	4	5	18	9	9	12	10	0	11	0	17	11	17	13	0	19	0	4	0	7	11
GO_POSITIVE_REGULATION_OF_TRANSPORT	8	0	38	24	32	33	48	51	17	18	36	0	13	0	0	36	37	50	55	6	23	17	32	0	24	46	18	24	38	0	0	36	0	34	39	53	45	8	59	0	16	0	24	37
GO_POSTSYNAPSE	7	20	47	25	23	37	51	65	30	21	44	11	20	7	17	54	51	55	63	8	17	15	44	17	20	58	32	25	39	43	15	50	0	52	51	68	45	5	58	14	0	13	20	39
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	3	3	7	6	5	11	10	14	6	0	10	4	0	0	4	9	7	13	14	0	0	0	9	5	5	13	7	7	9	8	0	12	0	14	14	14	8	0	16	5	0	3	5	13
GO_POSTSYNAPTIC_MEMBRANE	6	9	19	14	11	21	29	36	21	12	27	7	15	4	10	29	26	34	37	4	8	10	25	12	12	34	21	16	25	24	8	26	0	33	29	41	27	3	34	7	0	8	9	24
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	3	4	8	7	6	13	13	17	8	4	12	5	3	0	4	12	9	16	15	0	4	3	11	6	5	15	7	7	11	9	0	14	0	16	15	17	10	2	19	5	0	0	6	15
GO_POTASSIUM_CHANNEL_ACTIVITY	2	3	13	14	10	7	21	20	6	4	14	3	4	4	6	14	11	16	21	3	13	7	16	0	7	10	7	6	13	9	7	11	0	11	15	22	14	2	13	5	0	5	8	12
GO_POTASSIUM_CHANNEL_COMPLEX	0	4	13	12	9	6	15	17	5	6	12	3	4	2	5	13	10	11	17	2	10	4	16	0	4	9	7	4	13	7	4	6	0	8	11	20	13	2	12	4	0	4	5	11
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2	0	13	14	11	9	21	21	6	0	15	3	4	5	6	14	12	17	23	3	13	7	17	0	7	12	7	7	15	11	7	13	0	12	17	24	14	2	14	6	0	6	10	13
GO_POTASSIUM_ION_TRANSPORT	0	0	17	17	16	13	28	27	9	7	21	0	6	5	8	20	18	23	27	3	15	7	21	0	9	15	11	7	18	14	10	16	0	18	18	29	19	0	18	6	0	7	11	16
GO_PRESYNAPSE	6	20	43	20	22	30	46	54	21	14	33	9	14	10	20	43	40	48	57	7	16	16	35	9	18	45	26	21	30	32	11	42	3	41	40	57	42	5	45	12	7	12	17	28
GO_PRESYNAPTIC_MEMBRANE	3	5	15	7	7	10	13	18	9	5	16	3	7	4	6	14	12	16	21	3	0	6	15	0	7	19	10	0	13	11	0	13	0	13	12	20	14	3	14	5	3	0	0	10
