	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.04735035096664664	0.050232533747388564	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05115616666565481	1	1	1	1	1	1	0.03704264527694201	1	1	1	1	1	1	1	1	0.035691337318559335	1	1	1	1	1	1	1	1	1	1	1	1
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	1	0.0954789614182806	1	1	1	1	1	0.07085744193992771	1	1	0.03567043148357263	1	1	1	1	1	1	1	1	1	1	1	1	0.025924321119151106	1	1	1	1	1	1	1	1	1	0.09203836190961967	1	1	1	1	0.038060892819436254	1	0.010761014576692762	1	1	1	1	1	1	0.051034348307362754	1	1	1	0.03769075754851314	1	1	1	1	1	0.012388716569749048
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	1	1	1	0.09478805150173075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	0.08165561967303159	1	1	1	1	1	1	1	0.007976814047330305	0.009908068303305928	0.07457100899485203	0.0019015240802106037	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020428015499246	1	1	1	1	0.08867566404843907	1	0.02862845697769212	1	1	0.027022602335237123	1	1	1	1	1	1	0.023449329669462893	1	1	1	0.009786030454060346	1	1	1	1	1	1	1	1	0.027123100760333085	1
GO_9PLUS2_MOTILE_CILIUM	1	0.004679705429737613	1	1	1	1	1	1	1	1	0.06554958507262143	1	0.0494530037666463	1	0.04281682516984997	1	1	1	1	0.021093316881345636	1	1	1	1	0.037601361760448704	1	0.023529705160580394	0.028279723553636504	1	1	0.07835398750351974	1	1	1	1	0.06619198773672452	0.014582036422075229	0.0011124490389500252	1	1	0.04807334975307542	1	0.025710141872278713	1	0.03677862453979752	1	0.011355447846123967	1	0.06217586839745837	0.07955857138182654	1	0.08880932608257286	0.034550480541958084	1	1	1	0.030552195241013602	1	0.09908863888546249
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	5.351557261645823e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005320457523667277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.012166631707796749	1	1	1	1	1	0.00043724720007887186	0.05819171983243365	0.00039059884181147364	0.011353486371396881	1	1	1	1	1	1	1	1	1	1	1	1	0.036366784748140146	1	1	0.006548632020680123	1	1	0.00046745197538811123	0.006389622017083596	0.03028659376674403	1	1	0.004040824826375133	1	1	0.03165998453023433	1	1	1	0.028009880390480246	1	1	0.03534634652772395	0.009593766916970003	0.040258008028036585	1	1	0.06049307858832198	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.018240736845305805	1	1	1	0.03388079248066411	1	7.402839479098144e-05	0.01181187885450874	0.0007456217303489776	0.0009931353947475463	1	1	1	1	1	1	1	1	1	1	1	1	0.053426069931431064	1	1	0.0011938843276888544	1	1	0.0008908768852876614	0.009650342019522196	0.044686259798842665	1	1	0.0006256570917730908	1	1	0.04666567488390283	1	1	1	0.041397880230817696	1	1	0.05196341138705174	0.0019905946329069613	0.058988873864176616	1	1	0.08756966014470036	0.007249146745055057	1	1	1	1	0.04120750264283468
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.018240736845305805	1	1	1	0.03388079248066411	1	7.402839479098144e-05	0.01181187885450874	0.0007456217303489776	0.0009931353947475463	1	1	1	1	1	1	1	1	1	1	1	1	0.053426069931431064	1	1	0.0011938843276888544	1	1	0.0008908768852876614	0.009650342019522196	0.044686259798842665	1	1	0.0006256570917730908	1	1	0.04666567488390283	1	1	1	0.041397880230817696	1	1	0.05196341138705174	0.0019905946329069613	0.058988873864176616	1	1	0.08756966014470036	0.007249146745055057	1	1	1	1	0.04120750264283468
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	0.08218221470109066	1	0.0333545621052066	1	1	1	0.06072426012783705	1	3.243115035811428e-05	0.0004478098532579855	0.0019491134047440184	0.0025823641113521534	1	1	1	1	1	1	1	1	1	1	1	1	0.014331345308009169	0.01589656863336497	1	0.00045834526340648996	1	1	0.0023212938917840376	0.017905662667188293	0.07917462862087676	1	1	0.00020640537644134316	1	1	0.011702777407648801	0.06689580724095079	1	1	0.07359539693238104	1	0.017366658225142162	0.09141720605004322	0.0008601742071678853	0.016622311048476446	1	1	0.030017379272418765	0.013519078503051674	1	1	0.019421222394389703	1	0.009713004333909536
