	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.00268366857502	0.660923254949	1	1	1	1	1	1	1	1	1	1	0.759014032629	1	1	1	0.929857179485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	0.875476345199	1	1	0.317086374451	1	1	1	1	1	1	1	1	0.130045429536	0.684811235065	1	1	1	0.851835126936	1	1	0.000247045010743	0.187838213347	1	0.000740570007998	1	1	1	1	0.239272352906	1	0.0016506621466	1	1	0.16632371635	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.18019606105	1	1	1	1	1	1	1	1
GO_AXON	1	0.0516432844558	0.0	1	0.066184473503	0.0	0.0	0.0	0.0157786398874	1	0.0	1	1	1	0.0448584274987	0.0	0.000136801594627	0.0	0.0	1	0.207279323893	0.104564458807	0.0	1	1	0.0	0.00642514278789	0.174700135314	0.00570836505857	0.00063528282394	1	0.0	1	0.0	0.0	0.0	9.38814968876e-06	1	0.0	1	1	0.883639626008	0.00344790443231	0.259222819401
GO_AXON_DEVELOPMENT	1	1	0.00381673164982	1	1	1	0.000123335343663	0.0113513549129	1	1	0.717819673621	1	1	1	1	1	1	0.761773335779	1	1	1	1	0.00015169507768	1	1	0.00932955268122	1	1	1	1	1	1	1	1	1	0.00144738264485	1	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.0046225790833	1	0.0244183985046	1	1	0.167401951824	1	1	1	1	0.0276308935744	1	0.000422861460279	3.69172020912e-05	1	1	1	1	1	1	2.55242656593e-05	0.0275665418992	0.740639455618	0.000330804510053	1	1	1	1	0.00074181387697	0.460075057627	8.66986903812e-05	0.0405357807542	1	7.7224819249e-05	1	1	1	0.946170201149	0.0651220904025
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.362814025495	1	1	1	0.30145057328	1	1	1	0.0123694438542	1	1	1	1	1	1	0.0364105917297	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.116723379513	1	1	1	1	1	0.528711563432	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.390728212807	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	0.282297409263	1	0.653646808134	1	1	1	1	1	1	1	1	1	1	1	1	0.0984698109819	1	1	1	1	1	1	1	1	1	1	1	0.798725851917	0.0452259646629	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	0.23702276772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.134127483472	1	1	1	1	1	1	0.00463807673836	1	1	1	1	1	1	1	1	1	1
