	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY	1	1	1	1	1	1	1	1	0.0008879481144028478	1	1	1	0.0032209574294743692	1	1	1	1	1	1	1	1	1	1	1	0.0009766474646597523	0.011800186611486851	1	0.0012049768179094311	1	0.017160951681120418	1	1	1	1	1	1	0.005801993966305652	1	1	1	1	0.0032209574294743692	1	0.015168878741503633	1	1	1	1	1	1	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09409250547537873	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.046255999051365015	1	1	1	1	0.09357539817538785	1	1	1	1	1	1	1	1	1	0.09897183733875536	1	0.0639895897707301	1	0.05790141052262876	1	1	1	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	1	1	1	1	1	1	1	1	1	0.04105843869980086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CELL_CYCLE	1	1	1	0.0868976806646935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008619845061389908	1	1	1	1	1	1	1	1	1	1	1	1	0.0868976806646935	1	1	1	1	0.0926609168045942	1	1	1	1	1	1	1	1	0.05673781722031568	1	1	1	1	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02724280567347781	1	0.024770286346463832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ENDOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	0.07095743801463983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025022579995442218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008639387890271966	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.038223412665774004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05439718389304127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	1	1	0.04605297328351721	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08361242989664475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015538834359439813	1	1	1	1	1
KEGG_GAP_JUNCTION	1	0.06310050072175666	1	1	1	1	1	1	1	0.0948425930709147	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08858696820943157	1	1	1	1	1	1	1	1	1	1	0.001200497149750901	1	1	1	1	0.012080566672184267	1	1	1	1	1	0.024911528006762662	1	1	1	1	1	1
