	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY													CHRNA1 FLT1																	CHRNA1 PDE2A							
KEGG_AXON_GUIDANCE																						EPHB3 SEMA6B															
KEGG_CALCIUM_SIGNALING_PATHWAY																																ADORA2A P2RX6 PLCG2					CAMK2B P2RX6
KEGG_CELL_ADHESION_MOLECULES_CAMS																																CDH5 JAM3					
KEGG_CELL_CYCLE				CDKN1C MAD2L2																																	CDKN1C MAD2L2
KEGG_ENDOCYTOSIS				HSPA2 NTRK1																		CSF1R HSPA2															
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION																																JAM3 PLCG2					
KEGG_FOCAL_ADHESION			ACTN3 FLT1																																		
KEGG_GAP_JUNCTION																				DRD2 TUBB3									DRD2 TUBA1A							TUBA1A TUBB3	
KEGG_JAK_STAT_SIGNALING_PATHWAY																																CSH1 SOCS1			CSH1 SOCS1		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION										ACTN3 CDH5													ACTN3 CDH5 MMP2 PLCG2				MMP2 PLCG2					CDH5 JAM3 MMP2 PLCG2					
KEGG_MAPK_SIGNALING_PATHWAY				HSPA2 NTRK1																		CACNA1H HSPA2			GADD45G HSPA2												
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG																																NEUROD1 NEUROG3					
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION									CHRNA3 CHRNB2				CHRNA1 DRD2						GABBR2 SSTR1							CHRNA1 P2RX6				CHRNA1 DRD2		ADORA2A CSH1 P2RX6					
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY																NTRK1 TP73							PLCG2 TP73														
KEGG_NOTCH_SIGNALING_PATHWAY																							DLL1 DLL4														
KEGG_OOCYTE_MEIOSIS																																					CAMK2B MAD2L2
KEGG_P53_SIGNALING_PATHWAY																														GADD45G TP73							
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION																																				TUBA1A TUBB3	
KEGG_PATHWAYS_IN_CANCER																																				CSF1R MMP2 WNT9A	
KEGG_PURINE_METABOLISM																																					AK5 PDE2A
KEGG_TYPE_II_DIABETES_MELLITUS				KCNJ11 SOCS1																			MAFA SOCS1														KCNJ11 SOCS1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION																																ADORA2A PPP1R14A					
KEGG_WNT_SIGNALING_PATHWAY																NKD1 SFRP1 WNT9A														NKD1 WNT9A						NKD1 WNT9A	
NABA_CORE_MATRISOME			CRISPLD2 MATN2							CRISPLD2 MATN2 PRELP SPON2												COL16A1 PRELP	LTBP2 PRELP SMOC2 SPON2 VWCE	COL16A1 PRELP SMOC2			COL16A1 LTBP2 SPON2										
NABA_ECM_AFFILIATED			ELFN1 GPC2							MUC15 MUC5AC												SEMA6B SFTPA2															
NABA_ECM_GLYCOPROTEINS			CRISPLD2 MATN2							CRISPLD2 MATN2 SPON2													LTBP2 SMOC2 SPON2 VWCE				LTBP2 SPON2										
