	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.0005787904190999171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0006502853492860172	1	1	1	1	1	1	1
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020973893993176063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021318432853619118	1	1	1	1	0.08864416825632015
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07247541684034586	1	1	1	1	1
KEGG_CELL_CYCLE	1	1	1	0.024935058601287308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04778207675285984
KEGG_ENDOCYTOSIS	1	1	1	0.049019566164668515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03918794283573135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02152924390430544	1	1	1	1	1
KEGG_FOCAL_ADHESION	1	1	0.04651020999747779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GAP_JUNCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004557834494631985	1	1	1	1	1	1	1	1	0.027578006899316887	1	1	1	1	1	1	0.00806716646113148	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09418014154112753	1	1	0.016603012423676455	1	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	1	1	1	1	1	1	1	1	0.03973581374988333	1	1	1	1	1	1	1	1	1	1	1	1	0.0007550497646090504	1	1	1	0.02838360397595996	1	1	1	1	0.0005864111931862537	1	1	1	1	1
KEGG_MAPK_SIGNALING_PATHWAY	1	1	1	0.09650102895236934	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07810385641373097	1	1	0.01336414184569168	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0031037799780022635	1	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	1	0.020587269734329672	1	1	1	0.04695594302799977	1	1	1	1	1	0.008299483230288063	1	1	1	1	1	1	0.017073877016259398	1	1	1	0.05212332698986755	1	0.0617741297648885	1	1	1	1	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020069159725451424	1	1	1	1	1	1	0.07401781203400482	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_NOTCH_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012118356918537021	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_OOCYTE_MEIOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.039835276555860166
KEGG_P53_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0037944342659838037	1	1	1	1	1	1	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003199024489657032	1
KEGG_PATHWAYS_IN_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012361292043041261	1
KEGG_PURINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07302792105639888
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	0.003820282245573847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012118356918537021	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007636356333648453
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05617317622707341	1	1	1	1	1
KEGG_WNT_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0021980064163129587	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017645225013557253	1	1	1	1	1	0.021588606003167365	1
NABA_CORE_MATRISOME	1	1	0.08217841787442925	1	1	1	1	1	1	0.006430631093878425	1	1	1	1	1	1	1	1	1	1	1	0.08217841787442925	0.002841711842177852	0.0033812699839707028	1	1	0.023992873441498253	1	1	1	1	1	1	1	1	1	1
NABA_ECM_AFFILIATED	1	1	0.034957226929916874	1	1	1	1	1	1	0.07816127022185859	1	1	1	1	1	1	1	1	1	1	1	0.034957226929916874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NABA_ECM_GLYCOPROTEINS	1	1	0.0452565773537269	1	1	1	1	1	1	0.016071516029639632	1	1	1	1	1	1	1	1	1	1	1	1	0.005111048368978022	1	1	1	0.07277512269416753	1	1	1	1	1	1	1	1	1	1
NABA_ECM_REGULATORS	1	1	1	1	1	1	0.09014090325575208	1	1	0.026699049708985623	1	0.0014487769276440021	1	0.036859735529518045	1	1	1	0.010723612014252426	1	1	0.0038674796840807435	1	0.05256284573301484	1	1	1	0.01642266875420717	1	1	1	1	0.044630574143396995	1	1	1	1	1
NABA_MATRISOME	1	0.0310625720073453	0.029143004699863972	1	0.05154212607887998	0.07447515146541195	0.06191445559211406	1	1	0.0003024045310787704	1	0.0021325084092302937	1	0.03819102220371384	1	0.0013606551077854911	0.05154212607887998	0.027579345264807875	0.09758410502197079	1	1	0.029143004699863972	0.00018593065416061538	1	1	1	5.490291026888361e-05	1	1	1	1	0.05149266438569444	1	1	1	1	1
NABA_MATRISOME_ASSOCIATED	1	0.05904413033868372	1	1	0.028821046269007278	0.03419968185515376	0.019427420484037228	1	1	0.01500394045687825	1	0.004918587605337699	1	0.013656301461162701	1	0.0014571554028139921	0.028821046269007278	0.011903527063976349	0.05610616070444563	1	0.07916732878074961	1	0.016179395829054477	1	1	1	0.0012085354157269634	1	1	1	1	0.011412914869232016	1	1	1	1	1
