	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_AXON	1.51199963660531e-08	2.4412794008554783e-10	6.418950476705376e-07	6.5470577466086866e-06	2.405836817220841e-05	0.055555257839625005	0.029132139552597747	9.87431456056509e-06	0.0	1.0985468195112702e-06	1.464613541557469e-08	0.0009392021742147261
GO_AXON_DEVELOPMENT	0.02938476462840367	0.00233435695450801	2.0432263048153487e-07	6.108237863844401e-06	0.08074334781421622	4.654892472766292e-05	1	1	3.384783120452539e-09	0.020393162990840485	0.016598838780356395	0.018155018793872046
GO_BEHAVIOR	0.04778111512747074	0.005245148462813765	0.0012268323396363856	0.009190673665766536	0.028131461077191777	0.013055675141177003	1	0.002133781188961903	7.343257452108176e-07	1.49353604301794e-05	0.025709638051561456	0.0006169535212765531
GO_CATION_CHANNEL_COMPLEX	0.0007751984895060238	5.4763510261901516e-05	0.02034127935107355	1	1	1	1	0.013097955011453388	6.255140960753636e-09	0.028083989596522696	0.06391455890472586	0.00023773669747750859
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.004372970244148511	0.008610233670496403	3.505039250062403e-06	2.1379467621818193e-06	1	0.0002175876471623983	1	0.008245208495785694	2.8471609292424205e-08	0.008576271447489736	1	0.004136632426876452
GO_CELL_BODY	0.0001233522516478347	0.00027324679255302797	9.529077011904974e-07	0.0020885922946208835	1	1	0.021316072551790244	5.0726619188479205e-06	2.350855066168833e-10	0.00364636832089249	0.02384381445504624	0.0005217202601782711
GO_CELL_CELL_SIGNALING	2.9416616200705903e-06	0.005215092062551774	8.250217423677597e-07	0.0013820463299830665	0.019383674464001466	0.011637608373543551	0.0511075854805807	0.0001039156072479841	1.6263024260609882e-10	1.3173833273594227e-05	0.00031663632045852985	1.6025766662153274e-05
GO_CELL_MORPHOGENESIS	0.006458656461286849	0.016080552421942063	4.2105501753986196e-05	4.201760471045368e-05	1	0.0016771618942338362	0.060234526796838495	0.007692059281679264	1.4827785554949457e-07	0.019004156234943337	1	0.007558992635971595
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.003031100571153189	0.04836865517782152	1.4459943823430521e-06	3.1514787092734586e-05	0.05510616856123607	0.0006406596271509857	1	0.08604882326052776	1.336436096233129e-07	0.041939987430872794	0.050650756503255234	0.0027737370096562186
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	0.003468605207228137	0.017236363521197617	4.994926283696799e-08	3.4603164361657335e-06	0.027836199631567582	0.0006756486358961977	1	0.04498452663208563	3.846955098918414e-08	0.03768190934967541	1	0.0025725253049673213
GO_CELL_PART_MORPHOGENESIS	0.007960750769440472	0.0038456782718270244	9.839737334149667e-06	2.935464837983126e-06	1	0.00730043364240851	1	0.00450701750369209	8.871868795168325e-09	0.010994463737922788	1	0.001777747243086547
GO_CELL_PROJECTION_ORGANIZATION	0.004836894605745545	0.003761848265503853	1.6208650486237985e-06	0.00010072763553259367	0.07983636350194856	0.0004206518049456598	1	0.002156976118380838	3.211637530364797e-07	5.412948961158737e-05	0.002084691197677402	0.02102940195401637
GO_CIRCULATORY_SYSTEM_PROCESS	1	0.041793213437223864	0.0025928355354777333	0.007049406210950515	1	1	1	1	5.20932652303685e-06	0.0030443337266881088	0.021816562568238718	3.600444399287639e-07
GO_DENDRITIC_SHAFT	0.00025867422544134655	0.012188434136319759	0.02943638683407268	1	1	1	1	1	3.5768373296996e-05	0.016590354993572642	1	3.779835773265461e-07
GO_DENDRITIC_TREE	7.564109072433212e-08	7.995561138163243e-05	6.630981408406456e-08	0.009917670474444584	1	1	0.024645124078542024	0.04752486427306257	4.858891067271998e-12	0.0013358276872321717	1	0.00014565694595358725
GO_DISTAL_AXON	6.51881743255478e-05	6.572967501938809e-05	6.942718395530623e-05	3.0906257756369016e-06	1	0.01745008145977678	1	0.000598810958675422	8.741989532268235e-08	0.02244787874374199	2.099742271133298e-05	1
GO_EXOCYTIC_VESICLE	0.0008235879881249852	0.0004689691125002726	0.0010711561946593617	0.011344836117635926	0.06866547128329514	0.005849864971076313	1	0.0015359150432804336	4.072027535162448e-07	0.006245837143003752	1	1
GO_HEART_PROCESS	0.016154171120316252	0.010109710709649278	0.0012402718308756056	0.006019583324499478	1	1	1	1	3.0927039640360476e-07	0.01929525560091172	1	2.1982541256626575e-05
GO_MAIN_AXON	0.020853727785984377	0.00023129610054184457	0.00011850706946736622	1	1	1	1	0.00046839166655476827	3.7134577735020713e-07	0.005319093147950094	1	0.002455748762467569
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.006504499815798814	1	2.144428103978413e-07	1	1	1	1	1	0.0004871895031374196	0.015769899616555505	1	0.00041556806872933283
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.0025446139159118752	1	1.0099037162092372e-08	1	1	1	1	1	7.28325784188355e-05	1	1	0.0036785495538168567
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.00047999561340672514	0.002824786376430466	0.0009279380261607573	1	1	1	1	1	3.020261674091529e-07	0.07200739005991919	0.00805267923160724	0.006839779506577215
GO_NEUROGENESIS	0.0008459725245606453	8.675408383673755e-06	4.2256196763901244e-08	9.780689724792069e-07	0.09724488297412803	1.389447978894509e-07	0.00038658675838754153	0.0008687154823160403	1.7301186039375693e-09	1.524563808530388e-10	0.00015980592587061526	0.013284375710733265
GO_NEURON_DEVELOPMENT	6.81843518178793e-05	0.00012857078611461237	1.376317171342123e-09	1.3825655194033004e-06	1	2.3954016473703987e-06	0.08600097946509555	0.0007938455694862512	6.553806386477845e-10	1.4833259176505464e-08	0.001017280454801428	0.005016009850363101
GO_NEURON_DIFFERENTIATION	0.0005261953693993515	0.0003800328472645109	3.5540724252491884e-08	5.351962248045794e-06	1	4.567494360507851e-08	0.001117018304607087	0.003340499989926915	4.0650198762648415e-09	1.6021998172632834e-09	0.00018128429943464752	0.008637502241577666
GO_NEURON_PROJECTION	6.758582582477857e-11	5.35850142036054e-10	3.2189872989363266e-10	7.944556936756442e-07	0.00018348335680618	0.029815243623578125	0.010133976680592793	5.265814233212929e-06	3.414935001444519e-11	4.3380561365324866e-09	6.504510430271893e-08	1.8042542844431964e-05
GO_NEURON_TO_NEURON_SYNAPSE	2.6786578177784293e-08	6.381579470415844e-07	0.001219167707945168	1.2643139766788103e-05	0.033231030680348494	1	0.07693286216419304	0.00015603591018564789	5.319300777628655e-09	0.003059755919789464	1	0.0033056271264346737
GO_PERIKARYON	0.001696809334063576	0.000634308768959313	1.6479533582192119e-06	0.0003560862833852374	1	0.013878555688994987	0.06635069234657953	0.0003984195857971162	5.441779660220192e-08	0.001321402234865654	0.034257486855064245	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.0005669991736827473	0.0013490069721264764	1	0.063875222011324	0.012142603927798645	0.08448780296253533	1	1	0.0010120760881870972	0.03548059695583672	1	1.3079840721630376e-07
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0.024585149153396157	0.0008811184499629698	1	1	1	1	1	0.004001847381718826	9.8401968795514e-08	1	1	0.00563382202776419
GO_POSTSYNAPSE	1.7935053442386106e-10	0.00011376561522491446	1.1753368157063626e-05	1.0065739531883722e-06	0.033442048639587996	0.05465940651038659	0.028628123974627218	9.51098677315354e-06	5.625200638625927e-09	0.0017938510081731973	0.030603768047468005	0.0009088052443204653
GO_POTASSIUM_CHANNEL_ACTIVITY	0.0006408713911163488	0.0001895772665803097	0.01037170438256596	1	1	1	1	0.029395518947071264	3.417141508643695e-07	0.02458342294516025	0.021093316881345636	0.011893999390710563
GO_POTASSIUM_CHANNEL_COMPLEX	1.542768263063099e-05	6.60428260541579e-05	1	1	1	1	1	0.0012786660998054256	3.0095165248766875e-09	0.013666123791322038	0.013852632020081135	0.006471514232485931
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.001696809334063576	6.588314279187824e-05	0.024729457896825013	1	1	1	1	0.047342879083903666	5.441779660220192e-08	0.04761076931063757	0.0030521596470287626	0.023777721897243698
GO_POTASSIUM_ION_TRANSPORT	0.0011628537154444452	9.679552377472866e-05	0.0016696354334689856	0.06835665861880624	1	1	1	1	2.12463551196862e-08	1	0.07484591315524147	0.07053422946818122
GO_PRESYNAPSE	1.1532166110939102e-08	4.7189382923473744e-07	3.0880825230283904e-08	0.0042486201688711756	0.003094566204831062	0.006656263897930392	0.05251314463026502	0.00014530648001875868	1.382467118560271e-08	0.0016098383984352038	0.0003816497391352369	0.05587413231739791
GO_REGULATION_OF_BLOOD_CIRCULATION	0.017256304958306323	0.045025423406297116	0.0003045945867704569	0.03046734171700194	1	1	1	1	3.9913647997824597e-07	0.0010177816123601025	1	2.5362728538813606e-05
GO_REGULATION_OF_HEART_RATE	0.004791473420553305	0.0771427274879819	7.278834530666245e-07	1	1	1	1	1	9.731470443918866e-07	0.002108528728479331	1	0.0007614310741675956
GO_REGULATION_OF_HORMONE_LEVELS	0.0015303108504888252	0.00048473870930587637	0.00033193642984241656	1	0.07793155935273055	0.006536813436887834	1	1	1.2422158542912953e-06	5.014682247228563e-07	1	0.004479089580805451
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1.2997079662180333e-05	1	7.256375959008299e-05	0.007548094892641299	1	1	1	0.0757824161384344	1.990260611872685e-08	0.0004947371021917224	0.049218508863892785	0.0003512055417644877
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.0010109763103276492	0.0009713322452389317	0.00041506490796572315	0.0117442961522648	1	0.0008893811969661325	0.003865771585011002	0.0048981009472199855	2.9958204472713135e-07	7.973461282562155e-06	1	0.001267458459617954
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.01601426974147746	0.0057423257701431085	0.00015319023828774814	1	6.017391704915553e-07	1	1	0.0056209968512938024	0.00022386240538496693	0.010097574393028275	5.07707924146672e-07	1
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.024631293587881853	0.05241255304331438	0.0023718714533857987	0.006567937082558539	0.051869224217520715	1	1	0.0008522452551845694	6.409783936955904e-08	0.003192155851003964	0.005376560929317931	6.125491025521512e-08
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.0022851630928714117	0.048664696136450636	2.1623373563151027e-05	0.03883835084303522	4.2606876382578207e-07	1	1	0.013758792598180691	0.00014721998132338765	0.06486990789346558	3.69730522309375e-07	1
GO_REGULATION_OF_TRANSPORT	1.7541949271504542e-05	3.502120491938321e-06	1.2067521262926206e-05	0.01152954144533469	0.022292702725126623	1	1	0.019404799423140995	1.3112175123453085e-08	6.102962005782864e-05	0.0016348500822731538	0.005388525163529723
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1.6068910008826265e-05	0.0039537900667423465	2.0662815888194963e-05	1	0.00020909199835883463	1	1	0.003296886840311708	1.0840439657044953e-11	2.4066269684874797e-05	0.0014776663742565033	1.6167376186704274e-06
GO_SOMATODENDRITIC_COMPARTMENT	1.077578004604618e-08	1.6963879234666024e-07	3.341298082659705e-08	0.0001115621146057233	0.08102247144172614	0.019935545634028662	0.007932556675032454	9.557527285708467e-05	0.0	0.000491815746838653	0.02082492392672275	5.73596395125886e-06
GO_SYNAPSE	3.534150749828768e-11	2.480731065013231e-09	7.953659952875114e-11	2.86520434045201e-08	0.0036287097962643955	1.90764215471928e-05	0.0097260874466355	1.1064864591237011e-07	8.889000646661316e-12	3.3468070270714634e-07	0.0006848467305791139	6.401362754449025e-05
GO_SYNAPSE_ORGANIZATION	1.3012056486738643e-06	0.012227627084532733	0.03404864143802466	6.638780846279779e-06	1	0.05057383391203285	0.029153613522524324	0.07182881005095154	3.580144235515448e-07	0.007346994744444002	1	1
GO_SYNAPTIC_MEMBRANE	4.6952492382956734e-07	5.17925022126553e-05	0.001723224820567082	1.8842887173686762e-05	0.006262400639942878	1	0.08644112805304782	2.151992848897777e-05	0.00014123001943211477	1	0.000717868337769989	0.0008284384614019036
GO_SYNAPTIC_SIGNALING	1.3451374347717149e-08	0.0004503742414774248	6.876933267285779e-08	0.0024861650523485546	0.0004910218904211616	0.03325799551222186	1	4.528803777326118e-06	0.0	7.315445948119503e-06	0.0024574259431939804	3.518949631753365e-05
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.0006611702339032188	0.016409229490043975	2.411356461817782e-05	0.011735089237357443	1.0706803488247374e-07	1	1	0.0024794226509237127	2.8845254025022804e-05	1	2.8937248174321084e-06	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	3.5936462450369966e-05	1.283663175755123e-10	0.06131847400670909	1	1	1	1	0.007177438162165872	0.0024962028878902087	0.035351936221791336	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	0.0003729843689490586	0.0011579849631276895	9.509450926237228e-05	0.007776963474594223	0.016981819019141864	0.044215452300800706	1	1	7.155459447183432e-09	0.016909786388398684	1	0.06350886473036876
GO_TRANSPORTER_COMPLEX	0.004454687137276148	0.00010383152153137232	0.029733620578889286	1	1	1	1	0.03708441500698867	2.140795070104673e-07	0.028735854392152316	0.023402049395622515	0.0019237344307612148
GO_TRANSPORT_VESICLE	0.002181935548144609	8.065204817442329e-05	0.0006686895038643392	0.07569972455862706	0.007652860415930718	0.002009482229972215	1	0.012947488351354619	1.5579859624637038e-10	9.150667271029533e-06	1	0.00020865203393216625
GO_TRANSPORT_VESICLE_MEMBRANE	0.0006026099009289743	3.844014497933479e-05	0.00012000706524739613	0.04804757205135113	0.007443417345060377	0.02977094348151077	1	1	2.409565935668212e-08	0.0007733343183811137	0.05793989171095704	1.8485733726536502e-05
GO_UROGENITAL_SYSTEM_DEVELOPMENT	1	1	0.009021683835010896	0.0017972408528759143	1	0.021629883276847117	2.181538979462161e-07	1	1	0.028735854392152316	1	0.041407525316094596
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	5.724618832303463e-07	5.737181445364392e-06	3.714301702095746e-06	0.05443397706342834	3.5713437586126773e-06	1	0.02150988063962156	0.0001251213894535308	4.589231383800296e-08	0.027682581282783114	5.2286419094271785e-05	1
