	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_AXON	14	18	18	12	8	5	5	9	30	15	11	9
GO_AXON_DEVELOPMENT	5	8	17	11	3	9	0	0	23	7	4	6
GO_BEHAVIOR	5	8	12	7	4	6	0	6	21	13	4	9
GO_CATION_CHANNEL_COMPLEX	5	7	5	0	0	0	0	3	15	4	2	6
GO_CELLULAR_COMPONENT_MORPHOGENESIS	8	9	19	14	0	10	0	6	27	10	0	9
GO_CELL_BODY	9	10	17	8	0	0	5	9	26	9	4	9
GO_CELL_CELL_SIGNALING	19	16	32	16	8	12	9	13	48	24	11	20
GO_CELL_MORPHOGENESIS	9	10	20	14	0	10	6	7	30	11	0	10
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	8	7	19	12	4	9	0	4	25	8	4	9
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	7	7	19	12	4	8	0	4	23	7	0	8
GO_CELL_PART_MORPHOGENESIS	7	9	17	13	0	7	0	6	26	9	0	9
GO_CELL_PROJECTION_ORGANIZATION	12	15	29	17	6	14	0	10	38	21	9	12
GO_CIRCULATORY_SYSTEM_PROCESS	0	6	11	7	0	0	0	0	19	9	4	13
GO_DENDRITIC_SHAFT	3	2	2	0	0	0	0	0	5	2	0	5
GO_DENDRITIC_TREE	13	11	19	7	0	0	5	4	30	10	0	10
GO_DISTAL_AXON	7	8	10	9	0	4	0	5	16	5	6	0
GO_EXOCYTIC_VESICLE	5	6	7	4	2	4	0	4	13	5	0	0
GO_HEART_PROCESS	4	5	8	5	0	0	0	0	15	5	0	8
GO_MAIN_AXON	2	4	5	0	0	0	0	3	8	3	0	3
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2	0	6	0	0	0	0	0	4	2	0	3
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	0	6	0	0	0	0	0	4	0	0	2
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	7	10	0	0	0	0	0	18	5	4	6
GO_NEUROGENESIS	14	21	33	21	6	20	13	11	44	31	11	13
GO_NEURON_DEVELOPMENT	13	15	29	17	0	15	6	9	36	23	8	11
GO_NEURON_DIFFERENTIATION	13	16	30	18	0	19	11	9	39	27	10	12
GO_NEURON_PROJECTION	23	25	33	19	10	9	9	13	55	26	14	17
GO_NEURON_TO_NEURON_SYNAPSE	11	11	9	9	3	0	3	6	19	7	0	6
GO_PERIKARYON	4	5	9	5	0	3	2	4	12	5	2	0
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	9	10	0	6	5	5	0	0	17	8	0	15
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	6	10	0	0	0	0	0	6	24	0	0	8
GO_POSTSYNAPSE	16	11	16	13	4	5	5	9	25	10	4	9
GO_POTASSIUM_CHANNEL_ACTIVITY	4	5	4	0	0	0	0	2	10	3	2	3
GO_POTASSIUM_CHANNEL_COMPLEX	5	5	0	0	0	0	0	3	11	3	2	3
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4	6	4	0	0	0	0	2	12	3	3	3
GO_POTASSIUM_ION_TRANSPORT	5	7	7	3	0	0	0	0	15	0	2	3
GO_PRESYNAPSE	13	13	18	7	5	6	4	7	22	9	6	5
GO_REGULATION_OF_BLOOD_CIRCULATION	4	4	9	4	0	0	0	0	15	7	0	8
GO_REGULATION_OF_HEART_RATE	3	2	8	0	0	0	0	0	9	4	0	4
GO_REGULATION_OF_HORMONE_LEVELS	7	9	12	0	3	6	0	0	19	14	0	7
GO_REGULATION_OF_MEMBRANE_POTENTIAL	9	0	12	6	0	0	0	3	20	9	3	8
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	10	12	17	9	0	10	8	7	28	17	0	11
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	3	4	7	0	6	0	0	3	8	4	6	0
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	3	3	6	4	2	0	0	4	13	5	3	9
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	3	2	6	2	5	0	0	2	6	2	5	0
GO_REGULATION_OF_TRANSPORT	18	23	30	14	8	0	0	9	45	23	10	15
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	9	7	13	0	6	0	0	5	24	11	5	11
GO_SOMATODENDRITIC_COMPARTMENT	16	17	23	12	4	7	7	9	40	13	5	14
GO_SYNAPSE	24	24	34	21	8	15	9	15	50	23	9	16
GO_SYNAPSE_ORGANIZATION	10	6	7	10	0	4	4	3	18	7	0	0
GO_SYNAPTIC_MEMBRANE	10	9	9	9	4	0	3	7	13	0	5	7
GO_SYNAPTIC_SIGNALING	15	11	21	9	7	6	0	10	33	15	6	12
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	4	3	7	3	6	0	0	3	8	0	5	0
GO_SYNAPTIC_VESICLE_LOCALIZATION	4	8	2	0	0	0	0	2	4	2	0	0
GO_SYNAPTIC_VESICLE_MEMBRANE	4	4	6	3	2	2	0	0	11	3	0	2
GO_TRANSPORTER_COMPLEX	5	8	6	0	0	0	0	3	16	5	3	6
GO_TRANSPORT_VESICLE	6	9	10	4	4	6	0	4	22	11	0	8
GO_TRANSPORT_VESICLE_MEMBRANE	5	7	8	3	3	3	0	0	14	6	2	7
GO_UROGENITAL_SYSTEM_DEVELOPMENT	0	0	7	6	0	4	9	0	0	5	0	4
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	8	8	10	3	6	0	3	5	14	4	5	0
