	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY															PDE2A PDE8B													PDE2A PDE8B								PDE2A PDE8B																																					
GO_4_IRON_4_SULFUR_CLUSTER_BINDING				RSAD2 RTEL1																																								RSAD2 RTEL1													RSAD2 RTEL1	RSAD2 RTEL1	RSAD2 RTEL1			RSAD2 RTEL1											
GO_9PLUS0_NON_MOTILE_CILIUM			MAP1B SSTR3 USH1G VCAN																CDHR1 RD3 SSTR3 TTLL6														CERKL TTLL6 USH1G VCAN											CDHR1 CERKL MAP1B TTLL6 USH1G	CDHR1 TTLL6 USH1G					CDHR1 CERKL TTLL6									CDHR1 MAP1B TTLL6 USH1G														
GO_9PLUS2_MOTILE_CILIUM		PMFBP1 TACR3 TTC25													CCDC181 CD52 DNAH11 PMFBP1 TACR3		DNAH11 PMFBP1 TTC25	DNAH11 DRD2		CCDC181 TACR3 TTC25				CD52 DNAH11						CCDC181 PMFBP1		CCDC181 DNAH11 PMFBP1 TTC25	CCDC181 DNAH11 DRD2 TTC25			CCDC181 DNAH11 PMFBP1 TTC25															CCDC181 DNAH11 TACR3		CCDC181 DNAH11 PMFBP1 TTC25					CCDC181 DNAH11 PMFBP1 TTC25			PMFBP1 TACR3						CCDC181 PMFBP1						
GO_ACETATE_ESTER_TRANSPORT											ADORA2A CHRNA3																																																														
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2										CHRNA3 CHRNB2 CHRNB4			CHRNB2 CHRNB4																	CHRNB2 CHRNB4			CHRNA3 CHRNB4						CHRNA3 CHRNB2 CHRNB4														CHRNB2 CHRNB4				CHRNB2 CHRNB4											
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2										CHRNA3 CHRNB2 CHRNB4			CHRNB2 CHRNB4																	CHRNB2 CHRNB4			CHRNA3 CHRNB4						CHRNA3 CHRNB2 CHRNB4														CHRNB2 CHRNB4				CHRNB2 CHRNB4											
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2										CHRNA3 CHRNB2 CHRNB4			CHRNB2 CHRNB4																	CHRNB2 CHRNB4			CHRNA3 CHRNB4						CHRNA3 CHRNB2 CHRNB4														CHRNB2 CHRNB4				CHRNB2 CHRNB4											
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2										CHRM4 CHRNA3 CHRNB2 CHRNB4	CHRNB2 HRH3		CHRNB2 CHRNB4														CHRM4 CHRNB4			CHRM4 CHRNB2 CHRNB4	CHRM4 CHRNB4		CHRNA3 CHRNB4						CHRM4 CHRNA3 CHRNB2 CHRNB4				CHRM4 CHRNA3										CHRM4 CHRNB2 CHRNB4				CHRM4 CHRNB2 CHRNB4					CHRNB4 HRH3						
GO_ACIDIC_AMINO_ACID_TRANSPORT																HRH3 SNAP25 STX1A				ADORA2A SNAP25 STX1A								CPLX1 SNAP25					CPLX1 HRH3 SNAP25 STXBP1			ADORA2A CPLX1 SNAP25 STX1A		CPLX1 STXBP1		CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A													ADORA2A CPLX1 STXBP1		ADORA2A CPLX1 HRH3								CPLX1 HRH3 STXBP1						
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY																		TTLL6 TTLL7	TTLL6 TTLL7											TTLL6 TTLL7			TTLL6 TTLL7		TTLL6 TTLL7	TTLL6 TTLL7								TTLL6 TTLL7									TTLL6 TTLL7						TTLL6 TTLL7												TTLL6 TTLL7		
GO_ACID_SECRETION			DRD2 SLC26A7 TFF2												GHRL SLC26A7 SV2A TFF2					GHRL TFF2													DRD2 SLC26A7											SV2A TFF2						SLC26A7 TFF2	SLC26A7 SV2A					SV2A TFF2			SV2A TFF2			SV2A TFF2											
GO_ACID_THIOL_LIGASE_ACTIVITY															ACSL6 ACSS3																				ACSL6 ACSS3																							ACSL6 ACSS3													ACSL6 ACSS3		
GO_ACROSOMAL_VESICLE																		DRD2 STK31																		ICA1L KCNJ11 STK31 SV2B			KIT STK31																														ICA1L KCNJ11				
GO_ACROSOME_REACTION																																						CACNA1H STXBP1																																			
GO_ACTININ_BINDING																				ADORA2A CACNA1C																ADORA2A CACNA1C																					ADORA2A CACNA1C		ADORA2A CACNA1C														
