	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012095047147926197	1	1	1	1	1	1	1	1	1	1	1	1	0.001504263407585027	1	1	1	1	1	1	1	0.01134734863343878	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	1	1	1	0.02004896791585331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07532388649946853	1	1	1	1	1	1	1	1	1	1	1	1	0.07532388649946853	0.06436294599105474	0.07469995978222643	1	1	0.0765768269723186	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	0.041978725581464316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012179338092558889	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06436137806376219	1	1	1	1	1	1	1	1	1	1	0.017035790090976	0.069178056255358	1	1	1	1	0.012822436762222278	1	1	1	1	1	1	1	1	0.0617135660422623	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS2_MOTILE_CILIUM	1	0.0048771005374428356	1	1	1	1	1	1	1	1	1	1	1	1	0.028483516711260037	1	0.07936951782692392	0.0945175982315305	1	0.09359318716159726	1	1	1	0.005509228843655123	1	1	1	1	1	0.08693045057873694	1	0.0494530037666463	0.04236702203738851	1	1	0.08385655768049616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01978314587191865	1	0.07106109198374666	1	1	1	1	0.031064025833754116	1	1	0.020001805925229377	1	1	1	1	1	0.06541004863902633	1	1	1	1	1	1
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1	1	1	4.2450257436987826e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.002415804639602115	1	1	1	1	1	1	1	1	1	0.0007310753752058918	1	1	0.001385457092674236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011892776393647941	1	1	0.0036628829984486355	1	1	1	1	1	0.00032702222243286005	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00701866713080479	1	1	1	0.008513451515565484	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.003675340857749343	1	1	1	1	1	1	1	1	1	0.0013869947200949584	1	1	0.0021136743822426363	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017835613812269502	1	1	0.005557720549958622	1	1	1	1	1	0.0006252035863607563	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010590629520399464	1	1	1	0.012819880759227242	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.003675340857749343	1	1	1	1	1	1	1	1	1	0.0013869947200949584	1	1	0.0021136743822426363	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017835613812269502	1	1	0.005557720549958622	1	1	1	1	1	0.0006252035863607563	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010590629520399464	1	1	1	0.012819880759227242	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.006919040502526563	1	1	1	1	1	1	1	1	1	0.00023875402911643917	0.02240365149012513	1	0.0040012525652395325	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025998741331231257	1	1	0.0027661404531196254	0.03630149852040365	1	0.01040714537545151	1	1	1	1	1	8.2724768804332e-05	1	1	1	0.014692849134096186	1	1	1	1	1	1	1	1	1	0.0012644174851021983	1	1	1	0.001684741942465262	1	1	1	1	0.002628539249693529	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03950011485918292	1	1	1	0.02602463681624534	1	1	1	1	1	1	1	0.047055504926590275	1	1	1	1	0.007530635411082343	1	1	0.01653178079359563	1	0.08966385708609548	1	0.06980969549788918	1	1	1	0.04145321604503038	1	1	1	1	1	1	1	1	1	1	1	1	0.04145321604503038	1	0.04096041392301952	1	1	1	1	1	1	1	0.0019376548614729039	1	1	1	1	1	1
