	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	0.203543397346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00100722561203	1	1	0.0355710619483	1	1	1	1	1	1	1	0.900803274766	1	1	1	1	1	1
GO_AMINE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.839914708437	1	1	1	1	1	1
GO_AXON	0.0	1	1	0.000246917744146	0.0	0.0	0.000480507510431	1	1	0.0	1	0.611784755544	1	0.0174526791908	0.000613089125701	0.00404652326443	0.000462369187562	0.0	1	1	1	0.00263731983723	1	6.04880253663e-07	1	1	0.60607034695	0.000595818322067	1	1	0.0	0.313644926073	0.0	0.0	0.0	0.00224629465811	4.62711496713e-05	1	1	0.00472861223432	1
GO_AXON_DEVELOPMENT	7.63380516773e-05	1	1	1	0.000956830886544	0.00211494344269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0109569646168	1	1	1	1	1	1	1	1	0.727575214844	1	0.00748600977186	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	0.132776149572	1	0.176756567398	1	1	1	1	1	1	1	1	1	1	1	0.169364914087	1	1	1	1	1	0.00020699482272	1	1	0.197400310742	1	1	1	0.5218361947	1	0.0157891430595	1	0.0197667682406	1	0.00911221395428	1	1	1	0.124157554952
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.274351859765	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	0.0365034160912	1	1	1	1	1	1	1	1	1	1	1	0.059363189516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	0.00361575643423	4.6496720264e-06	0.0310168095839	1	1.36447377663e-06	1.63266733559e-05	0.0964327617131	1	1	0.000776771172741	1	1	1	1	0.0111579547133	1	0.00190469374645	4.80046047591e-06	1	0.0655395497071	0.000310602563216	3.26816177343e-06	1	0.0134845443695	0.0596711992565	1	0.000158315040308	1	0.00973462633413	1	0.000114148009251	1	0.358310230473	0.241622281289	0.000469796926589	1	0.254714851398	1	1	1	1
GO_CATION_CHANNEL_COMPLEX	0.0367137145492	0.000284384905005	1	1	0.000130918562126	0.00057461101827	0.0367137145492	1	1	0.0015724658776	1	1	1	1	6.28844311119e-05	0.053092524399	0.0940330386623	2.79469740305e-06	1	1	1	5.84845670826e-05	1	1	1	1	1.60872844219e-05	1	0.125960864808	1	1	1	0.0199288579205	0.752504828653	0.00142396526181	0.477107466586	0.666163182716	1	1	1	0.087828009339
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000231155278279	0.000375567859738	1	1	1	1	1	1	1	1	0.38724561783	1	1	0.0111333423445	1	1	1	0.0253268308731	1	1	0.142430486802	1	0.04359292823	1	1	1	0.00895979711211	1	1	1	0.303360855375	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0932497670794	0.051430271929	1	1	4.078557697e-05	0.0179058036093	1	1	1	1	1	1	1	1	1	1	1	0.00418049132441	1	1	0.0442651634866	0.00818994067049	1	1	1	1	0.479384778728	1	1	1	0.100901862973	1	1	1	0.546260575779	1	1	1	1	1	1
