	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
AADAT	0	0	0	0	0	0	0	0	0	0	0	0.72392	0	0.93036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3689	0	0	0	0.96353	0	0	-0.70781	0	0	0.27869	0	0	0	0	-0.42359	0	0	0	0	0	0	0	-0.47166	0	0	0	0	0.9278	0.75663	0	0
AB007962	0	-0.51937	0	0	0	0.060595	0	0	0	0	0	0	0	0	0	0.027303	0	0	0	0	0	0	0	0	0	0	0.27096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016605	0	0	0	0	0	0.23961	0	0	0	0	0	0.29533	0	0.0067328	0	0	0	0	0	0
AB073649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.38885	0	0	0	0	0	0	0	0	0	0	0.23961	0	0.68344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27869	0	0	0.90434	0	0
AB074188	0.16638	0	0.10777	0	0	0	0	0	0	0	0	0	0	0.1881	0.32805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69393	0.99942	0	0	0.15118	0.8071	0	0	0	0	0	0	0	0	0	0.016605	0	0	0	0	0.68988	0.29533	0	0	0	0	0	0	0	0	-0.70917	0	0	0	0	0
ABCA9	0	0	-0.34585	0.092482	0.36712	0	0	0	0	0	0	0	0	0	0	0.052045	-0.65271	-0.66171	0.98344	0	0	0	0	0	0	0	0	0.060595	0	0	0	0	0.54209	0	0.068278	0	0	0	0	0.46691	0	0.53812	0.20355	0	-0.96501	0.10029	0.4052	0	0	0	0	-0.71615	0.57811	0	0	0	0	0.58009	-0.76914	0	0	0.56543	0	0	0	0
ABCC4	0	0.73147	0	-0.6195	0	0	0	0	0	0	0	0.96353	0	0	0	0.24796	0.84337	0	0	0	0	0	0	0	0.96943	0	-0.44783	0.64663	0	0	0	0.0067328	-0.77204	-0.63589	0.56059	0	0	0.092482	0	0	0	0	0.49112	0	0.13057	0.15118	0	0.32805	0	0	0	0	-0.36592	0.12321	-0.44531	0	0	0.89488	0	0	0	0	0	0.68538	0	0
ABCC8	0	0	0.1881	0.17332	0.0067328	0	0	0	0	0	0	0	0.092482	0.84998	0.25535	0	0	0	0.91722	0	0	0	0	0	0	0	0	0	0	0	0	0.59071	0.22515	0	0	0	0.91722	0	0.99632	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43238	-0.96799	0	0	0	0	0.48455	0	0	0	0	0.27096	0	0
ABCC9	0	0	0	0	0	0	0.035399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15118	0	0	0.47162	0.438	0.71425	0.98996	0	0
ABLIM2	0	0.16638	0	0	0.73717	0	0	0	0	0	0	0	0	0	0	0.23296	0.48823	-0.72582	0.90434	0	0	0	0	0	0	0	-0.93222	-0.43238	0	0.25535	0	0.40677	0.63143	-0.61553	0	0	0	0	0.66093	0	0	0	0	0	0.49665	0	0.21727	0.44713	0	0.31941	0	0.92577	0	-0.38364	0	0	0	0	-0.45122	0	0	0	0.0067328	0	0	0
ACBD7	0	0.052045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52363	0	0	0	0	0	0	0	0	0	0	0	0.24796	0.084387	-0.60987	0	0	0	0	0.81219	0	0.035399	0	0	-0.60962	0.83317	-0.50905	0.56382	0	0.79971	0	0	0.17332	-0.64907	0	0	0	0	0	0	-0.68889	0.36568	0.57266	0	0	0
