TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	326	40	3.800404435594373e-12	7.96500162825e-07	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CACNB4 CAMK1 CHRNA1 CHRNB4 CPLX1 GABRA1 GABRB3 GAD2 GNG2 GRIA2 GRIK5 KCNAB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMA1 KCNMB2 KCNMB3 KCNN3 LIN7A LRFN2 LRRTM3 NCALD NEFL PPM1E SLITRK6 SNAP25 STX1A SYN1 TUBA1A TUBB2B
SOX4	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	485	49	6.956102360788918e-12	1.45787384498e-06	ABCC8 ADCY1 ADCY2 BEGAIN CACNA1A CACNA1E CACNA2D2 CACNB4 CHRNA1 CHRNA5 CHRNB2 CHRNB4 DLG2 GABBR2 GABRA1 GABRB3 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNAB2 KCNB2 KCNC1 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ3 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNMB3 KCNN3 LIN7A LRFN1 LRRTM3 NRXN2 PPM1E SLC1A2 SLITRK6 SNAP25 STX1A SYT2 TUBA1A TUBB2B TUBB3
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	277	34	1.2951528738369689e-11	2.71439434452e-06	CACNA1A CACNA1E CACNB2 CACNB4 CACNG4 CAMK2B CHRNA1 CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 HCN4 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3 LIN7A LRFN2 NCALD NEFL NRXN2 PPM1E PRKCG SNAP25 TUBA1A TUBB3 TUBB4A
ETV1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	408	46	1.8442469773560788e-11	3.86517281514e-06	ABCC8 BEGAIN CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK1 CAMK2B CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4 GABRB3 GABRG2 GJD2 GNG2 GNG4 GRIK5 GRIN2C HCN4 KCNAB2 KCNB2 KCNF1 KCNG1 KCNH2 KCNH3 KCNH6 KCNH7 KCNH8 KCNJ2 KCNJ3 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3 LIN7A LRFN2 NCALD PRKCG SLITRK6 SYN1 SYT2 TUBA1A
SIX2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	349	39	2.004940657940324e-11	4.2019345815e-06	ADCY1 ADCY5 BEGAIN CACNA1A CACNA1B CACNA1E CACNA2D2 CACNB4 CACNG4 CHRNA1 CPLX1 DLG2 GABBR2 GABRA1 GABRB3 GABRG2 GAD2 GRIA2 GRIN1 GRIN2C KCNB2 KCNC1 KCNH7 KCNH8 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNN3 NCALD NEFL NRXN2 PPM1E PRKCG SLC1A2 SLITRK6 STX1A STXBP1 SYT2
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	320	40	2.220135186803418e-11	4.6529149218e-06	ABCC8 ADCY5 BEGAIN CACNA1B CACNA1E CACNA2D2 CACNB4 CAMK1 CAMK2B CHRNA1 CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C HCN4 KCNC1 KCNF1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK16 KCNK3 KCNMB2 LIN7A LRFN2 NCALD NEFL PPM1E PRKCG SLC1A2 STXBP1 SYN1 SYT2 TSPAN7 TUBB3
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	185	27	2.606959093043315e-11	5.46358665843e-06	ABCC8 ADCY1 ADCY5 CACNA1A CACNB4 CAMK1 CAMK2B CHRNB2 GABBR2 GRIK3 GRIN2C HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNF1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2 LRRTM3 NRXN2 PPM1E STXBP1
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	416	48	2.959499312282787e-11	6.20240027871e-06	ABCC8 ADCY1 ADCY2 ADCY5 BEGAIN CACNA1A CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA1 CHRNA5 CHRNB2 DLG2 GABRG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C HCN4 KCNB2 KCNC1 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNMB3 LIN7A LRFN2 LRRTM3 NCALD NRXN2 PPM1E PRKCG SLITRK6 SNAP25 STX1A SYN1 SYT2 TUBA1A TUBB3
ETV1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	408	21	3.010625082566776e-11	6.30951751679e-06	ABCC8 GNG2 GNG4 HCN4 KCNAB2 KCNB2 KCNF1 KCNG1 KCNH2 KCNH3 KCNH6 KCNH7 KCNH8 KCNJ2 KCNJ3 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3
SPIB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	341	37	4.173850154387537e-11	8.74730472256e-06	ADCY1 BEGAIN CACNA1A CACNA1E CACNA2D2 CACNB4 CHRNA1 CHRNB4 CPLX1 DLG2 GABBR2 GABRG2 GAD2 GJD2 GNG2 GNG4 GRIK5 GRIN2C HCN4 KCNAB2 KCNB2 KCNC1 KCNG1 KCNH3 KCNJ2 KCNJ3 KCNJ6 KCNK17 LIN7A LRRTM3 NCALD NRXN2 SLITRK6 SYN1 SYT2 TUBB2B TUBB3
