	ASCL1	ASCL2	ETV1	FEV	GATA2	HES4	LMX1A	LTF	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	0.025427607032115662	1	1	1	0.09898832662614465	1	0.023900179042803615	0.026607471613691036	0.0002660169812976898	0.09545922541966956	1	0.05701451729275908	3.305909312967259e-07	0.010630728403101974	1	0.0834222324755649	1
KEGG_TYPE_II_DIABETES_MELLITUS	0.0008308592713154317	0.0018624899054109356	0.0012135631109770895	0.010761225008891206	1.4218322660797256e-05	1	5.709278421583974e-05	1	1	0.0013278755722764268	2.8037319557805418e-05	0.002886504321371164	0.0004907808435200556	0.03632915019250382	0.0020479708011260644	0.00021371017068294584	3.022138624797499e-06	0.012667521919950464	1
REACTOME_CARDIAC_CONDUCTION	0.00023739592462890258	0.004435144067005736	5.1249310433543194e-05	0.0009726391829941727	0.0005991161539377066	1	0.027708375789997186	1	0.00017056214854616059	1.0226146451852713e-07	0.0019032306485241568	1.7307589117443456e-07	0.002900376646603142	5.428357628223246e-05	1.3694106085315738e-05	0.0010011491235530912	2.674327955975997e-06	2.452978508205028e-06	0.0007954341204849946
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	1	1	0.008740936819607414	0.0034632714490709926	1	1	1	3.0941325770417194e-06	0.008186898586235891	5.6625053795000824e-05	1	1	0.00541324253414166	1	1	1	1	1	0.00041122823517258933
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	1	0.007336206980685711	0.002891093556901425	1	1	1	2.5510149654905945e-06	0.006868132649078262	4.084217354272113e-05	1	1	0.004529576056703566	1	1	1	1	1	0.000319893914650593
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.02933968006733345	0.08380467449322893	0.0001178494509357364	0.0004840325290818015	1	0.0006666715960668146	0.001078408637512518	1	0.00021412299818579505	0.0009319069441909855	0.00571149107454072	0.0020739722080600487	7.084638789400799e-06	0.004183289557859404	0.0021709230577473537	0.008055342516389175	0.012586051211870064	0.00011086249659253422	2.3374022271038797e-06
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	0.004270227238292401	1.2568598288797972e-06	0.011160078468923751	1	1	1	1	4.431280536321136e-05	1	0.00016371887084964953	0.014236498375508111	0.0007599885339391044	1	1	1	0.012424015223866713	1	0.015234608316372245
REACTOME_INSULIN_PROCESSING	1	1	0.000550121952854199	0.08773527368319778	8.536229990474542e-05	1	1.1618994208983935e-06	1	1	0.00500507584755383	0.04641542154832412	0.018264734932714632	1	0.008207876216125731	1	0.0883516061049131	0.015117811444644635	0.01480624006418596	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.0004286680157871148	0.00733152843043694	0.021235028211366025	6.765747682102585e-07	2.4405599202692585e-06	1	4.934581336879518e-07	1	8.250557690747673e-05	4.664639089768663e-06	0.0026312645699626547	0.007516481691023369	0.00011304177375914826	0.006730935733978427	0.0002411425166886083	3.07381119134531e-05	4.774872038038058e-05	0.0002411425166886083	0.009051171857887508
REACTOME_MUSCLE_CONTRACTION	0.002544717320542622	0.002178146069737208	7.927116209305307e-05	0.0014676264444066778	0.002909758853980482	1	0.032174739869687774	1	0.00020725376696884013	1.813951540863279e-06	0.004900412994762182	6.412253822807301e-06	0.013679275148270276	0.00036062031837624797	4.4849113856715306e-05	0.0015164454642196956	1.160090106644418e-05	1.0567735085120766e-05	0.0005335539757576058
REACTOME_NEURONAL_SYSTEM	1.0396461469497353e-11	7.596539921550516e-07	3.048061802957136e-11	1.1338630034885e-10	2.1071397959815386e-09	1	1.3348100402765795e-11	1	9.721334848222796e-12	1.9007306839569083e-10	2.89128804009664e-07	4.864272115101542e-07	3.0096014569380714e-10	9.975395776073981e-08	3.415556726338309e-11	5.434835914641667e-10	0.0	6.421031373271546e-09	2.7959768900132076e-07
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1.6041959809198758e-05	0.008346732183609484	2.1952991904661268e-05	1.2325279150626756e-06	0.002909758853980482	1	1.920132391086682e-06	1	9.776548026696474e-07	0.007720953867893288	0.04836281415919863	0.001276247136952291	3.8963905554911804e-05	0.0013769589118588499	2.3186635137451006e-06	0.00011389854577703584	1.0276999606873005e-07	0.0001765679927585584	2.3264145726509255e-06
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	0.00010120198761032206	0.006295399670993684	3.859901631653173e-07	1	6.391085438650634e-10	1	0.025505439145017683	0.0005632556430561486	1	0.011403242341681441	0.04519843856166206	0.0027534683940064753	1	0.08537140649262165	0.031063753588780108	0.0017694163893220427	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	0.006352167944287279	0.0012204751531001978	8.625163297248939e-05	0.041813410554366826	0.005717815889366262	1	0.0019146050306777518	1	0.08772048957619072	0.0007237700774780365	1	1.6361837484879516e-07	0.012513575753377415	0.0004590334906322546	0.00014356657548530993	0.007355755506156081	0.00014982064562552022	1.4015938577083276e-05	0.012662190600962742
REACTOME_POTASSIUM_CHANNELS	2.0014319090932986e-09	0.0010517284581768038	9.918604826353317e-10	0.0006214570940055175	6.944265902297797e-05	1	6.931167273527272e-05	1	3.952944083174259e-08	4.020905830515176e-11	7.684665237484012e-07	5.7896605821783353e-05	0.0017318403764008394	5.560602280851867e-07	4.692773854175769e-06	0.042172341162613036	9.63726793923314e-08	2.963142198131319e-05	0.0003932149945802266
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.004204363461314697	0.0064287008570306226	0.0001223294436633049	1	0.000748137571696228	1	5.981618145856071e-05	1	0.02970002742847999	4.812749818894346e-06	1	0.021159856069387417	0.0014456790214932846	1	1.0878541817360698e-06	8.747183071200482e-07	4.1621025894222896e-05	4.036769754878211e-05	0.02262079245170967
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	0.005964395852737336	1	1.284749532315388e-07	0.004179537916506271	1	1	6.704706465576749e-07	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	7.163835182699696e-05	0.01140836348834795	0.0038430154268166428	1.5623953919519096e-06	7.317013038354858e-06	1	8.867770506792994e-08	1	0.0001401679128831823	5.397001447748906e-06	0.0032261305487588654	0.0012071060057100569	0.000271369367367158	0.0013240714175765111	1.858267851240214e-05	1.3078477115069376e-05	2.5870560264040776e-06	0.00012694776475108416	0.006848614825146759
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1.1791271466998765e-05	0.0015380198844150428	0.0012641850793467801	1	1.3651425301297593e-07	1	0.04075882276395948	1	1	0.0022147372640576313	0.03098092834335875	0.01673237142750794	0.025206802567244946	1	1	8.483292303018697e-05	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	8.939951119391054e-07	0.00022319969490558478	1.719833695346118e-06	1.2307660557375755e-07	1.67954766369105e-05	1	6.711617928090163e-10	1	7.37492640290327e-08	2.6985723548644813e-05	0.0024453492566093304	5.163707620114977e-05	8.847016819135689e-08	0.0002974654185642356	1.1988057546652442e-08	5.325945351408734e-09	9.70580282810829e-11	2.695281202669264e-07	1.6529257754749338e-06
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	0.0025213750279589053	0.02824093791891935	1.8219675129715895e-06	2.4166269002368068e-05	0.0012566508637174012	1	4.6593253026916415e-06	1	0.00011732624799476454	0.0001768486289728255	1	8.322588679288145e-05	1.801652920185859e-07	0.031323790807201046	7.77526742157253e-06	4.815915391587211e-06	4.186809447592754e-05	3.879892186819944e-05	5.480841025695682e-06
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	0.024430026241011094	0.03650720978367761	1	0.013014858775624583	0.07806273179025558	2.763522390591966e-06	1	1	1	1	0.04641542154832412	1	1	1	0.01480624006418596	1	0.015117811444644635	1	0.002557351842045863
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	0.003458568576848675	0.0023215768199279507	0.0002799202861507588	0.0008345333475684447	0.00011221045478682079	1	0.0007192872104472281	1	0.007727344895506194	8.975840246561173e-05	7.378436555849355e-06	0.00015287240069161712	0.0007847173754119696	0.0002187694466380119	3.066403240659099e-06	0.010508921777852231	0.0140285347273994	0.03791323428535409	0.008790887074273335
