	ASCL1	ASCL2	ETV1	FEV	GATA2	HES4	LMX1A	LTF	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.100594192121	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.919485676595	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.0311179591301	1	0.0526656090773	1	1	1	1	0.813669629262	0.746330976014	1
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	1	1	1	1	1	1	1	0.9413836483	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	1	1	1	1	1	1	0.77615650731	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.711170989412
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	0.382423483273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	0.353532298696	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	0.205867493896	0.742554999101	1	0.150150427835	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.551918337678	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	3.16389274024e-06	0.231145997425	9.27592264e-06	3.45054921496e-05	0.000641223711315	1	4.06213395887e-06	1	2.95844522769e-06	5.7842465955e-05	0.0879781363857	0.1480115312	9.1586987697e-05	0.0303550295926	1.03942563852e-05	0.000165390209136	0.0	0.00195397121514	0.0850782215908
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	0.375021268716	1	1	0.584221401444	1	0.297473959773	1	1	1	1	1	0.705474242029	1	0.0312726014937	1	0.707830245046
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.117450630809	1	0.000194489677418	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.0497879261379	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.000609057745688	1	0.000301835047192	1	1	1	1	1	0.0120290064923	1.22364206234e-05	0.233826688447	1	1	0.169198562262	1	1	0.0293262063391	1	1
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.331003567585	0.266154912899	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.0390942858936	1	1	1	0.204010808335	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	0.475383796328	1	1	0.0269847143299	1	1	1	1	1	1	1	1	1	0.787119557202	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	0.0415404681063	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.27201946869	1	0.523283479481	0.0374517187697	1	1	0.000204243258655	1	0.0224421960411	1	1	1	0.026921649121	1	0.00364803783979	0.00162073310394	2.95366021085e-05	0.0820144421879	0.502927461075
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	0.554355479432	1	1	1	1	1	1	1	1	1	0.0548226768736	1	1	1	1	1	1
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	1	1	1	1	1	0.84080445086	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.932950119567	1	1	1	1
