	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	0.0015968614161011585	0.0008999769068871455	5.521465384061841e-05	0.0004824737306508009	1	4.433888367572081e-09	1.0935811328716127e-06	0.0006172261768344622	3.101819706097242e-05	0.09837571918727539	0.0027621108307922526	1	1	0.010755117696322869	0.09854791808882735	0.05743243004148124	2.3604615312922128e-05	0.0069704012887932265	5.357109306602936e-06	1.2559387639887731e-06	0.07490263504033057	0.0002950338745649761	6.3048481550032065e-06	1.5387674722200373e-06	0.08349839471426723	0.0068224891535315635	0.0009244545935571669	9.945561954827209e-05	0.03359123949340259	1.06658600496079e-05	0.017996257668112747	0.009709594145837275	0.0015507626611945824	0.009387551896824498	0.023449329669462893	1	0.0036850499911824652	0.008576689026082551	2.0069567238434338e-05	1.772498408048051e-06	1.8614373052949773e-06	0.04122954430435177	0.00039299296208838985	1	0.035111788271838584	0.08867566404843907	0.0074213854583364824
GO_ADULT_BEHAVIOR	0.00024867315246313026	0.0008509041805663253	0.007148346592006916	0.0004596208698570692	1.4487517647765458e-06	1.3468679319394994e-05	4.568458384257568e-06	4.6180862800504485e-08	5.245041716506194e-07	0.00036128757420572644	3.620907247525729e-05	1	1	0.0005230103262362507	0.09735274272356076	0.0032463710471112295	2.18404210849954e-05	0.0020287063173436426	2.1504958391815876e-07	1.13311806715366e-06	0.0010512637629671584	0.00028083221766583844	0.009533865662788465	1.4096112508354963e-06	0.024344150750600257	0.0066872741435648475	4.0801784173538636e-10	3.106550765519245e-07	0.008828667832952108	1.2232981294602041e-09	7.388208887115777e-05	1	0.00793210139393108	0.039008907435204354	2.515282345116887e-05	1	0.024864004891589353	3.957538019516704e-07	8.483273898851618e-05	2.7269293489950996e-09	1.6972599549136547e-06	0.04069128498474073	2.750625398562079e-07	0.0008774620203743089	0.0344746316375838	4.728508308049495e-05	0.00011727500284741676
GO_ALCOHOL_BINDING	0.007669827748248648	0.0027181924999299945	0.0904645825474053	0.005501038834469951	0.004974955209429255	0.000987035808698411	0.0012405605196030844	4.896180825841867e-05	0.003106642606677368	0.0007815339119555675	8.678541303219767e-05	1	1	0.001043087708393231	0.04320358867548357	0.002107522700664166	0.004168762201621323	7.903650017460073e-06	0.0012850232601114842	0.0013307680313989767	1	1	0.04730476254127047	0.002409190116785642	0.003683278228432618	1	2.0898784917067204e-06	0.02800665546744119	1.5426969194876072e-05	0.040117611812703236	0.006469767598509701	1	1	0.04603218972184442	0.00037516661846526134	1	1	0.021908465744946204	0.014888172732208438	2.9801171408383453e-07	0.00028741329672887783	1	2.541009680112616e-06	0.03266587413714084	8.483719547980328e-05	8.68212041340577e-05	0.0018730895293531669
GO_AXON	8.537971130095912e-08	0.0	5.209035815800789e-06	1.0942621009313314e-07	0.0	0.0	0.0	0.0	2.6078155079822807e-08	7.876805396822562e-06	0.0	0.00013395129895865665	6.942312886837332e-05	5.763306790729228e-05	0.0031890863759239663	7.415976732705332e-08	0.0	2.2592117066011497e-10	0.0	0.0	0.0011276738198722214	3.4281897731691657e-07	1.7290269149761173e-07	0.0	9.791767743183577e-06	0.033600012263800605	0.0	1.0617227763631831e-08	2.8892005721203873e-07	9.432585712509933e-09	1.0493639290842793e-09	1.5333364684622097e-06	0.005410115634810864	0.0003385496321440806	0.0	1	1.9912123161436313e-07	0.0	0.0	0.0	1.5499157512977035e-11	0.0006698475486005551	0.0	0.0002342616701119793	2.7772713499407686e-05	5.69679337036888e-09	4.2876228845134534e-07
GO_AXON_DEVELOPMENT	0.02235841616194334	6.306302036129807e-09	0.014859522942311965	0.004492517620926728	0.0003324288544517273	2.0368029485240413e-10	1.875940736084658e-08	5.5223104056700834e-05	0.019608880194467604	4.8354550946649866e-05	1.187752934339592e-06	0.07225695242898622	0.03976646228712155	2.9162826218342985e-06	0.05292698335259172	0.010270292455532903	9.614365015564452e-06	2.0241051575720093e-05	1.2605129195986109e-06	2.181369097298269e-05	0.007587891074839592	9.379384353547238e-05	0.0629671119962153	2.5052282470738874e-10	0.025776974145580223	0.06085860686146549	1.5417664700478895e-08	0.012014558825012345	5.802699030721392e-06	0.0002799915305038425	1.5050262120674951e-05	0.0013680495398616932	0.05004786214949153	0.0013928951454872385	1.6705461803878663e-06	1	0.01067701293367973	5.693068191314765e-06	2.5567832535600132e-06	2.3910637914070776e-09	6.899843168439723e-05	1	4.756863833832448e-06	1	0.006325204381573801	0.005697845761821307	0.04496268014966698
GO_BEHAVIOR	0.009071291696632788	6.896721510163406e-05	0.0036486889250360033	0.00043125618199846283	7.638139454257953e-09	2.752729656929631e-05	4.036125611506236e-08	3.956053817866234e-07	2.3647376810820298e-05	0.0002740144382437082	2.768484492765566e-07	0.023653050057033775	0.0747187684422237	0.0034124274968473367	0.008558177751127105	0.0002289748117950685	4.5672861270773524e-08	0.00022478664054925712	6.984492983974633e-10	6.096001481381563e-11	0.00014709771888532508	5.671368348691974e-05	0.00019847484753376943	2.5580613318698653e-06	0.014329909118213635	0.026959376823575076	4.214484317088818e-11	4.5566414974551606e-08	1.2255283102780012e-06	5.463725027965438e-10	5.515323068472355e-05	0.010981528844149158	0.02108399545808559	0.001613426756292169	2.954354395456882e-06	0.07256356989955859	0.001775180845366764	1.2253548176133222e-09	7.611390367978643e-07	1.4317180774270355e-10	6.701081600724024e-08	0.05227448527186418	1.2752565670126614e-10	0.01043172052354735	7.052248595418309e-05	1.5657862790785515e-06	1.0766900515601918e-07
GO_BIOLOGICAL_ADHESION	0.0762393280757836	6.993220599582628e-05	0.00033237898424454126	2.311395398457705e-05	0.0031137613058960234	3.536649823632221e-05	0.00010000773608354052	3.4984350331113134e-06	1	5.302470151247185e-05	6.512567759042742e-05	0.046177776550682004	7.280515127217058e-06	0.0003579390298383833	0.003907621597448063	1	2.5439929131620964e-05	0.0034400019230664824	1.8330368636299e-06	6.001697638868819e-07	0.050505044979818225	0.00012027494358901603	0.0014573899673079316	4.986280489616135e-07	0.005734202886939266	0.05275471773656304	3.313497446155722e-05	2.044242208842917e-08	8.19515655173797e-05	3.902434089209095e-05	8.158417299297671e-05	1	0.024751075303089398	0.002625249313069178	0.001744412494722014	0.00796521743690004	0.0737525549835808	6.018995934997662e-08	1.974979462748827e-06	2.9615559679063708e-06	1.997467112635487e-05	1	1.8417181220087286e-06	0.00035145652188806054	0.0005611340659115172	0.06110057001328628	0.007591821643451402
GO_CALCIUM_CHANNEL_COMPLEX	0.0003476377910935913	0.05833302623263448	0.050021007355803615	0.057998531557234445	0.0014096930312128553	0.00015061592317910932	0.00019246358793734153	5.198641271797477e-06	0.007335405139196172	1	0.0005347205319897741	1	0.012804756964449937	0.012437021489341338	0.027375904779481708	0.005363049112841578	3.551870410789526e-06	0.0012363394572967312	0.000199883329369821	5.9169053528984605e-06	1	0.009061159890339399	0.0004165301141246802	0.014096709658655504	1	0.01516125531466761	0.0016804531075983453	0.00026778259300153096	1.9301319653663995e-07	0.00010238916246341212	0.0018633176655326045	0.0616407487363172	0.003094107320996353	0.00039587918781691656	0.0004279870069460179	1	0.0035673229126857997	8.747420062737987e-07	2.3237821558108607e-05	0.0001126956668279222	0.00025086390738759956	1	0.0011131136912801987	1	1	0.048495103991546884	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.057485920879046915	1	0.001916842160196941	0.018742966227447977	0.0077759227994465	1	1	1	0.0870243933685918	1	1	1	1	1	1	1	1	1	0.0423038550314091	0.04296515970074655	1	0.09655358857774166	0.007628640710147461	0.013053842715662789	1	0.00023691425536387367	1	1	1	0.06721373163337363	1	1	0.056903854702414325	0.007399908629213137	1	6.463659434352564e-07	1	0.09473409196524019	1	0.06415080784171256	0.09123060083689816	1	0.00033920602741910333	1	1	1	1
GO_CALCIUM_ION_BINDING	2.110997190385433e-05	2.0748639049106288e-06	0.00048600432615453215	6.725552714970107e-06	6.475408781403402e-06	3.038927345255793e-05	4.6693761746041673e-07	0.00015054622810484197	0.01602148720973473	1.0815341729975003e-06	0.0023373570913836073	0.0032938892454903446	0.013746442214074617	0.014164838402215385	0.018271862959713836	0.007434797406609017	4.85607977007696e-06	4.815763140042506e-06	3.353426281749172e-05	7.861702371436685e-06	0.007901743702851016	0.002568334386789828	0.0010112381997325892	1.6282191739325214e-07	0.022110136191590635	0.0007161727206735913	0.005281409830700912	2.6166850622399984e-05	1	8.085264128676606e-05	4.8361995771628585e-05	1	0.025212220374643213	0.006131696996785951	3.430759447198284e-06	0.0007829489849195959	0.041924562070821736	2.421209422920345e-05	1.3216891854295199e-06	7.476750185642089e-08	0.00019074373166494407	1	2.0417196033850615e-06	0.0017690865111071874	0.0035656040633460506	5.831227021024787e-06	0.0006237979825902684
