	ASCL1	ASCL2	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.109136000603	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997571694382	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.0337601908503	1	0.0571375439534	1	1	1	1	0.882768914988	0.80970858173	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.771564788156
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	0.414898227532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	0.383553455933	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	0.223348832757	0.805611745761	1	1	0.162900399093	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.598787217591	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	3.43252690815e-06	0.250773937274	1.00635113293e-05	3.74352807643e-05	0.000695670096504	1	0.0151479693242	4.40703552518e-06	3.20963479883e-06	6.27537639692e-05	0.0954486464237	0.160579837491	9.93634969015e-05	0.0329324723533	1.12768020877e-05	0.000179433281656	0.0	0.00211988424479	0.0923024666793
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	0.406867324986	1	1	1	0.633833782165	0.322734604564	1	1	1	1	1	0.765383869897	1	0.0339279726522	1	0.767940144774
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.127423844644	1	1	0.000211003603083	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.0540154977072	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.000660772744787	1	0.000327463730203	1	1	1	1	1	0.013050407714	1.3275382481e-05	0.253682326487	1	1	0.183566046435	1	1	0.0318162836292	1	1
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.359111543933	0.288755884518	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.0424138217352	1	1	1	0.2213344289	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	0.515752968465	1	1	1	0.0292759688734	1	1	1	1	1	1	1	1	0.853963910812	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	0.0450677233757	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.295118514392	1	0.567720542501	0.0406317721045	1	1	0.792479294317	0.000221585408219	0.0243477295251	1	1	1	0.0292075413267	1	0.00395779725874	0.00175835020588	3.20444845012e-05	0.0889785097594	0.545635757262
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	0.601431476032	1	1	1	1	1	1	1	1	1	0.0594777876888	1	1	1	1	1	1
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	1	1	1	1	1	0.912208342388	1	1	1	1	1	1	1	1	1	1	1	1	1
