	ARX	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PBX3	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1
KEGG_DILATED_CARDIOMYOPATHY	5	3	3	4	9	4	4	0	4	10	7	0	6	7	6	4	4	5	6	8	5	8
REACTOME_CARDIAC_CONDUCTION	8	6	7	12	13	4	0	5	6	10	10	7	12	8	6	4	9	7	10	11	8	9
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	5	0	0	2	4	2	3	5	6	4	4	2	3	4	0	4	2	3	4	3	3	3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	12	7	0	16	23	10	9	11	15	16	13	8	12	16	8	11	11	15	13	19	12	20
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	5	2	2	5	9	5	5	5	5	7	4	0	3	5	4	6	5	5	5	6	4	7
REACTOME_INSULIN_PROCESSING	4	0	0	4	5	5	2	6	3	2	3	2	3	2	0	0	0	3	3	5	2	4
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	9	7	5	5	14	9	7	10	9	11	10	5	7	9	8	6	8	8	8	12	7	8
REACTOME_MUSCLE_CONTRACTION	9	6	7	15	16	0	0	0	0	12	11	7	12	9	6	0	10	9	13	14	10	10
REACTOME_NEURONAL_SYSTEM	22	20	16	30	30	22	17	24	20	23	26	16	21	23	12	17	23	21	24	31	22	25
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	11	9	9	13	14	9	10	11	8	12	9	6	9	12	5	10	12	8	12	16	11	16
REACTOME_PEPTIDE_HORMONE_METABOLISM	8	0	0	8	10	9	0	11	5	5	5	3	5	0	3	3	0	4	4	9	6	8
REACTOME_PHASE_0_RAPID_DEPOLARISATION	5	3	2	6	5	0	2	3	0	3	0	0	7	3	4	0	4	0	3	5	4	3
REACTOME_POTASSIUM_CHANNELS	7	11	7	17	12	9	7	7	7	11	16	9	10	6	3	7	10	8	12	14	10	9
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	4	0	0	0	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	8	6	4	5	12	7	5	9	7	9	9	4	7	7	7	6	8	7	8	10	6	6
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	5	0	0	0	3	2	2	4	5	3	4	2	3	4	0	3	0	3	3	2	2	3
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	18	11	10	16	19	12	12	18	14	15	14	8	13	18	9	14	16	14	16	19	15	19
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	11	6	0	13	17	10	6	10	11	12	9	0	9	12	9	9	10	13	11	14	10	14
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION	3	2	2	0	5	5	6	4	3	5	4	2	3	6	3	3	0	5	0	4	4	4
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	5	5	6	11	14	8	4	7	9	12	12	10	9	8	0	0	12	5	7	12	8	11
WP_SYNAPTIC_VESICLE_PATHWAY	8	2	0	6	7	4	2	8	8	4	8	2	6	7	4	6	3	6	5	6	4	5
