	ARX	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PBX3	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1
KEGG_DILATED_CARDIOMYOPATHY	0.00844020121082778	0.03577344059847509	0.03327036325939681	0.08148544530496693	5.047901922239362e-05	0.024748819067157535	0.006118124808867309	1	0.056092803686795256	2.951951483698423e-06	0.0010269542490186634	1	0.0019322089145648036	0.0003551294407891925	0.00011391946775629602	0.01763876510567597	0.03700870481025753	0.009823620216765971	0.0014706331271451267	0.0006395758147468289	0.009413476236407758	0.0001515238055946888
REACTOME_CARDIAC_CONDUCTION	0.0006636352481483865	0.0008176670231736516	9.633064360681232e-05	7.42518227803135e-06	1.969118212929999e-06	0.08823304356938166	1	0.0411637628461099	0.022724023158815387	0.0001179167086030608	0.00015159958192290102	0.00011546961097874675	6.857896457379553e-07	0.0009371148439530907	0.0010901411742068046	0.06556435482413059	0.00012669453121150198	0.0037713215203155626	1.8717025022207956e-05	0.000160206184634748	0.0007908979012518635	0.000580390745384296
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.3688791797972222e-05	1	1	0.06487473885582584	0.0008380841994800603	0.032002328455345896	0.0008153443139961025	1.2982637443981204e-05	1.251042573202632e-06	0.0005644695545332645	0.0006334335467351737	0.014483744594407377	0.004268981044827647	0.0003219632231522551	1	0.00010804753254767263	0.040374532533125285	0.004268981044827647	0.0002470930468918553	0.01222126875733831	0.004144968761743195	0.006813841184163838
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.01092768558968904	0.0435304317430093	1	0.002896793197564529	2.5130587413269012e-06	0.02695401193022806	0.005425189578530887	0.02402774749915304	0.0020985984481779463	0.0015063985324811346	0.02602913933858164	0.015803666118042736	0.014363007870633715	0.00030285530809504024	0.0213220823538931	0.005157082092369203	0.025781264025648287	0.0007737356333827883	0.0037211270317372147	0.0009913738209588185	0.013307402613821018	2.0155965677060017e-05
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.0005254611591222202	0.056760000723394155	0.053943633217810705	0.0017266959720424468	2.393703575354067e-07	0.0002928676023656873	4.137413039062565e-05	0.0004999186782155274	0.0009753382587346371	1.549086065466554e-05	0.009887173830857465	1	0.032062741463877664	0.0006682287418635635	0.0007172475874018813	1.3836778846476605e-05	0.0005254611591222202	0.0006226689752070191	0.000487504467601374	0.000501711203007349	0.004849219397871751	1.5942329876672545e-05
REACTOME_INSULIN_PROCESSING	0.0004992697155842274	1	1	0.0013467810300173966	0.00013447884061823512	1.6995828960864046e-05	0.02003061040378218	1.4733994339044543e-06	0.008881114762877562	0.0768795381857812	0.011489328310482438	0.01968079150456603	0.006758378689411204	0.05934298295661977	1	1	1	0.006758378689411204	0.005824901227502344	0.0002282447457442327	0.05666540828613886	0.0010781882234091045
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1.9545395144149325e-05	2.531519527637638e-05	0.001549954420946742	0.04711475217372307	1.5296168442979763e-08	7.015734178716926e-06	2.6906645107183103e-05	2.3392049669501702e-06	5.7288658153464844e-05	2.2394633965028277e-06	1.9941747187779413e-05	0.001759960290005802	0.0009698231741023244	2.971804607598827e-05	3.639205494621045e-06	0.0012538857036193951	0.0001315804162631551	0.00017019631527093182	0.00011741369665929646	2.992077881347477e-06	0.0009119151462397834	0.0005290244512711206
REACTOME_MUSCLE_CONTRACTION	0.002327702749450933	0.006154754578061916	0.001107826966216252	5.083299047137224e-06	1.790478528107542e-06	1	1	1	1	0.00020688393299117536	0.0010106352171846966	0.0013104864673155747	4.345861678378693e-05	0.0033181230474430556	0.007999214608851002	1	0.0006027180090039108	0.0029914792473142438	4.91246643707921e-06	0.0001222277608694533	0.0007420588419443375	0.0028188400573090355
REACTOME_NEURONAL_SYSTEM	6.08592577444611e-08	8.458422851020941e-11	1.0634847458224073e-07	8.807266027588412e-11	2.1711887843167688e-10	5.765557253845088e-09	3.005862192484443e-08	2.1187779308817767e-09	9.398465562360236e-06	5.390309737451915e-07	1.4759919508833264e-08	1.60343472055402e-07	5.075442729429724e-07	3.563641270964979e-08	0.00018386268922743199	2.8336739070766725e-06	1.3001639875831472e-08	5.075442729429724e-07	1.896957702030022e-09	8.036198373417847e-10	9.864007466386937e-08	3.647568413978064e-08
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.0001411611278320235	3.94788192705775e-05	3.1405392996508574e-05	9.646175811517388e-05	3.6112661482956554e-05	0.0009634833922665953	6.226015076049585e-06	0.0001281509354146282	0.017328391999488657	0.00020688393299117536	0.010382083048516844	0.006154754578061916	0.0029914792473142438	5.059177021582428e-05	0.0303904551194647	9.28406057507658e-05	3.0108617706137153e-05	0.009985074303449637	2.558386864481843e-05	7.693391529062232e-06	0.0001786991183363451	4.683512935255152e-07
