	ARX	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PBX3	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1
KEGG_DILATED_CARDIOMYOPATHY	1	1	1	1	1	1	1	1	1	0.601528009688	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	0.401274785904	1	1	1	1	1	1	1	0.139762558222	1	1	1	1	1	1	1	1	1
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1	1	1	1	1	1	1	1	0.254953719121	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	0.512101058073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	1	1	0.0487858331989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	0.300265544035	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	0.0031177874214	1	1	0.476683188165	1	0.456360090403	1	1	1	1	0.741560903639	1	1	1	1	0.609701694038	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	0.36487266685	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	0.0124041513357	1.72415645553e-05	0.0216753079985	1.79525549253e-05	4.42568608229e-05	0.00117519930061	0.00612666855521	0.000431876861985	1	0.109855590511	0.00300849963357	0.0326799237266	0.103439045459	0.00726344927489	1	0.577429066741	0.00265012425589	0.103439045459	0.000386664476236	0.000163805849545	0.0201043268176	0.00743447394137
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0954528037283
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	1	0.31158576652	1	0.00834570306381	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	1	0.426593212717	1	1	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	1	0.000122385478167	1	5.81691001966e-06	0.111101552187	0.966444223448	1	1	1	0.284297655503	1.08349641081e-05	0.0269532265742	0.476965567355	1	1	1	0.340334303659	1	0.00324029591865	0.00700967001886	0.433764559212	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	0.00398578820601	1	1	1	1	0.0368667536911	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.00480015312176	1	1	0.242635382283	1	1	1	1	1	1	0.860012752097	1	1	1	1	1	1	1
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.751630394573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.00796652050482	1	1	1	0.178048241746	1	0.36398541273	0.00672235000405	1	1	1	1	1	0.0180111066631	1	0.339077375187	0.22827457651	1	0.183226379372	0.957777446846	1	0.0375566763904
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	1	0.81889644468	0.000866559033506	1	1	1	1	1	1	1	1	0.498271308332	1	1	1	0.0625413864414	1	0.874409343033	1	0.0684568704256
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION	1	1	1	1	1	1	0.946220750782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	1	0.495587666926	1	1	1	1	1	1	0.138740177246	1	1	1	1	0.559583843136	1	1	1	1	1
WP_SYNAPTIC_VESICLE_PATHWAY	0.111311915101	1	1	1	1	1	1	0.102431714658	0.313268996722	1	0.636218582595	1	1	1	1	1	1	1	1	1	1	1
