	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73
GO_ADULT_BEHAVIOR	1	1	1	0.775912676403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000746264431914	1	1	0.00106408388156	1	1	1	1	1	1	1	1	1	1
GO_AXON	0.0	1	1	1	0.0	0.0	1	0.0	1	1	1	0.00142260851147	0.0337727062548	0.0	0.0	1	1	0.0277861698082	0.0	1	1	0.39460534448	1	1	0.0	1	0.0	0.0	1	0.000169015281045	1	1
GO_AXON_DEVELOPMENT	0.00482370820457	1	1	1	0.00523511656257	1	1	1	1	1	1	0.505553611633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.103343031224	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.400539125974	1	1	0.0109269702204	1	1	1	0.000424698241264	1	1	0.00685344336753	1	1	1	1	0.227932388208	1	1	1	1	1
GO_CALCIUM_ION_IMPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.611588748409	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0154390476853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	3.41782806118e-05	1	1	0.0	1	0.927973477471	0.00179474227064	1	1	1	1	1	0.0125661870879	3.44991880046e-05	1	0.498665976549	1.01582000052e-05	0.0131677956237	0.0617793999014	1	0.000884539864158	1	0.115966276097	0.000426549025583	1	1	0.479616252402	1	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	0.0068622284331	1	1	0.0135712784345	1	0.0040839750507	0.00120400126319	1	1	1	0.0366927757721	1	1	4.8895737252e-05	1	1	0.000826634363039	1	1	1	0.00063583737231	1	0.0238374845289	1	1	0.43352483781	0.615379624791	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.0573371462991	1	1	1	1	1	1	1	1	1	0.000854794066224	1	1	0.12547407866	1	0.026632964565	1	0.0128133557466	1	1	0.0127571407035	1	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.231521701065	1	1	0.00588943991964	1	1	1	1	1	1	1	1	1	0.000635774096922	1	1	0.021610201968	1	1	1	0.319085962138	1	1	0.209205350961	1	1	1	1	1	1	1
GO_CATION_TRANSPORT	1	0.380000497235	1	1	0.0241079579843	1	1	1	1	1	1	1	1	1	0.0401316901548	1	1	0.676077507817	1	0.724097317827	1	0.499810157635	1	1	0.0507182714773	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	8.37147154273e-05	1	1	1	0.00350325515085	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0493093822901	1	1	1	1	1	1	1	0.536864685775	0.0714327567092	1	1	1	1
GO_CELL_BODY	0.167117572466	1	1	1	1.65270580221e-06	1	1	1	1	1	1	1	1	1	0.00635207119222	1	1	1	0.104154115269	1	1	0.00437262737313	1	1	0.000706347882877	1	0.642025344514	0.0612052384496	1	0.0172036350557	1	1
GO_CELL_CELL_SIGNALING	0.240960533444	1	0.0142105967964	1	0.0	0.00121733482938	1	2.56048665219e-05	1	1	1	0.00153276243455	1	0.0502202494318	1.70700134787e-05	1	1	0.0090830932738	0.0	1	1	0.000299800388651	1	1	2.58325610174e-05	1	0.000264250434206	6.76276538103e-06	1	0.00187952827791	0.00949182718383	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.843275608874	1	1	1	1	1	0.1614419034	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	0.0179100871748	1	1	1	0.0451007762092	1	1	1	1	1	1	1	1	1	1	1	1	1	0.403192087082	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.0117870813502	1	1	1	0.305496926889	1	1	1	1	1	1	1	1	1	1	1	1	1	0.187461439764	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	0.00250171679122	1	1	1	0.0254462886777	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0367911354855	1	1	1	1	1	1	1	0.887854683938	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	0.000123188514599	1	1	1	0.00157005700283	0.685894266149	1	1	1	1	1	1	1	1	1	1	1	1	0.0495535545246	1	1	1	1	1	1	1	0.770931867124	0.354142955736	1	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	0.494551095196	1	1	1	0.23334471632	0.296679203751	1	0.228182546016	1	1	1	1	0.000396597412715	1	0.945617569135	1	1	0.260694195514	0.00430387679743	1	1	1	1	1	0.00626186840494	1	1	1	1	1	1	1
GO_CHEMICAL_HOMEOSTASIS	1	1	1	1	1	1	1	0.742252048922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.896930419236	1	1
GO_CHYLOMICRON_REMODELING	1	1	1	1	1	1	1	1	0.936781654714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	0.532056993202	1	1	1	1	1	1	3.54342803766e-05	1	1	1	1	1	1	1	1	1	1	1	0.410890691035	0.00805503500985	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	0.216950637244	1	1	1	1	1	1	1	1	1	0.332895382747	1	1	1	1	1	1	1	1	1	0.012097799571	1	1	1	1	1	1	1
GO_DENDRITIC_SHAFT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.533554730363	1	1	1	1	1	1	1
GO_DENDRITIC_TREE	0.0758588679886	1	1	1	1.73018340432e-07	1	1	1	1	1	1	1	1	0.00753374712579	4.71709239456e-05	1	1	1	0.00060930488637	1	1	1	1	1	0.0	1	1	0.000287999906666	1	0.00187428164859	1	1
GO_DISTAL_AXON	0.118117807386	1	1	1	0.00384185395168	0.00367306605513	1	0.779830057257	1	1	1	1	1	1	1.52808722442e-05	1	1	1	0.129544552704	1	1	1	1	1	8.66293782829e-05	1	1	0.167948166438	1	1	1	1
