	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03292939750386248	1	1	1	1	1	1	1	1	1	0.008495441227559963	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	1	1	1	1	0.0668285427148827	0.007246316987164714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS2_MOTILE_CILIUM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04912852768086706	1	1	1	1	0.01588567097769311	1	1	1	0.08136858432902017	1	1	1	1	0.018130769677952352	1	1	1	1	1	0.05129910732172582	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	1	1	1	1	1	1	0.0002759331378565655	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	3.5834653677735417e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	3.5834653677735417e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	1	1	1	1	1	1	9.776630172098066e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	0.023964404889789126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014069350668830527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_SECRETION	1	1	1	1	1	1	1	0.054025559340215024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0931161265651721	1	1	1	0.035977839752839635	1	0.0009936424405398991	1	1	1	1	1
GO_ACROSOMAL_VESICLE	1	1	1	1	0.026230591837808737	1	1	0.07935971673210906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0008231790742314615	1	1	1	1	1	1	1	1	0.016203354601778797	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	0.03920152826638268	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005074203678987144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0259011045170362	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	1	1	1	0.03428671805872896	1	1	0.04377240554235706	0.05443397706342834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0043273605578091345	0.03274476269680493	1	1	1	1	1	1	1	1	0.0013452486407148356	0.028584033132707187	1	1	0.018880289386050575	0.02578109763657377	1	1	1	0.08635537582277264	0.03951799293116631	1
GO_ACTIN_BINDING	1	1	0.017313502455241103	1	1	1	0.04467555196770323	0.0016046671522135236	1	1	0.001402902093034064	1	1	1	1	1	1	1	1	1	1	0.04014357775007538	1	1	1	1	1	1	1	1	1	0.09945275556444066	1	0.05572559190612303	0.03897770973493109	1	0.09945275556444066	0.03749529861560863	1	1	1	0.08474404681258185	0.08796069368308101	1	1	1	0.016018702766847914	1	1
GO_ACTIN_CYTOSKELETON	1	1	1	1	1	1	1	1	1	1	0.0025945777841821505	1	1	1	1	0.08679417288038704	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05026979171380852	1	1	1	1	1	0.04382949384181889	1	1	1	1	1	1	1	1
