	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	2	3	6	4	5	0	3	2	12	6	0	5
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	0	0	5	0	0	0	0	0	3	0	0	0
GO_AXON	14	18	18	10	5	6	0	10	29	16	12	11
GO_AXON_DEVELOPMENT	6	8	14	7	4	0	0	0	22	7	4	8
GO_BEHAVIOR	6	9	14	8	7	5	3	6	28	18	0	10
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	0	0	0	0	3	0	0	0	0	0	0	0
GO_CARDIAC_CONDUCTION	2	3	10	0	0	0	0	0	10	5	2	5
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	0	8	0	0	0	0	0	4	2	0	3
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0	0	7	0	0	0	0	0	4	2	0	3
GO_CATION_CHANNEL_ACTIVITY	6	7	15	4	4	0	0	3	19	9	3	7
GO_CATION_CHANNEL_COMPLEX	4	5	10	0	2	3	0	4	17	5	0	7
GO_CATION_TRANSMEMBRANE_TRANSPORT	11	12	24	8	0	4	0	0	29	12	0	12
GO_CELL_BODY	6	9	17	9	6	0	0	6	25	10	5	11
GO_CELL_CELL_SIGNALING	17	21	40	17	9	9	0	13	58	35	11	23
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	0	0	6	0	0	0	0	0	4	0	0	2
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	0	0	7	0	0	0	0	0	5	0	0	2
GO_DENDRITIC_TREE	10	13	19	0	0	3	0	4	28	15	5	14
GO_GATED_CHANNEL_ACTIVITY	6	7	14	4	4	0	0	4	21	9	3	7
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	11	10	24	7	0	0	0	0	29	10	0	9
GO_LEARNING	3	7	4	0	0	2	0	3	9	9	0	3
GO_MEMBRANE_DEPOLARIZATION	3	0	9	0	0	0	0	3	6	5	0	3
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2	0	7	0	0	0	0	0	3	2	0	3
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	0	7	0	0	0	0	0	3	0	0	2
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9	7	15	4	0	0	0	4	21	7	4	6
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	0	12	0	0	0	0	0	14	7	2	5
GO_NEUROGENESIS	16	22	31	18	8	0	0	10	39	33	11	15
GO_NEURONAL_DENSE_CORE_VESICLE	0	0	0	0	0	3	0	2	2	0	0	0
GO_NEURON_DEVELOPMENT	15	17	26	14	7	4	0	9	34	22	8	13
GO_NEURON_PROJECTION	22	28	37	18	11	9	0	14	59	33	15	23
GO_NEURON_TO_NEURON_SYNAPSE	7	10	8	7	3	5	2	6	19	10	3	8
