	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	0.109502346759	1	1	1
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	1	1	0.773144867805	1	1	1	1	1	1	1	1	1
GO_AXON	0.0271250098817	0.017550288808	1	1	1	1	1	1	0.000903042909014	1	0.0118571365148	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	0.495421524773	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	0.00109396010651	0.252829250345	1	1
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	1	1	1	1	0.265238120915	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	0.81953122637	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	0.338577843207	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	1	0.638533856421	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.287273111355	1	1	1	1	1	0.0251943637743	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.00161493089583	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	0.990027328848	1	1	1	1	1	1	1	1	1
GO_CELL_BODY	1	1	1	1	1	1	1	1	0.0551992868003	1	1	1
GO_CELL_CELL_SIGNALING	1	1	0.0302390127874	1	1	1	1	1	0.0	0.018132872535	1	1
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	0.352198469903	1	1	1	1	1	1	1	1	1
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	0.638533856421	1	1	1	1	1	1	1	1	1
GO_DENDRITIC_TREE	1	1	1	1	1	1	1	1	0.00154688561222	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	0.000875470863088	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.634217438717	1	1	1	1	1	0.649446829174	1	1	1
GO_LEARNING	1	1	1	1	1	1	1	1	1	0.923884931662	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	0.116405700992	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	0.0325480781996	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	0.000852433414051	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	0.0575666110824	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	0.309537488524	1	1	1	1	1	0.223596596258	1	1	1
GO_NEUROGENESIS	1	1	1	1	1	1	1	1	1	0.0336037955709	1	1
GO_NEURONAL_DENSE_CORE_VESICLE	1	1	1	1	1	0.780961664506	1	1	1	1	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	1	1	1	1	0.919560422552	1	1	1
GO_NEURON_PROJECTION	0.00034150865318	0.00115497659816	0.000550592115291	1	1	1	1	1	3.99166275633e-05	0.000256953834942	0.141243657024	1
