	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	SEZ6 UNC79	NRXN2 TPGS1 UNC79	CHRNA5 GIP NRXN2 PBX3 PCDH17 UNC79	BRS3 CHRNA5 EPHA4 NRXN2	CHRNA3 CHRNA5 CHRNB2 GIP TMOD1		PBX3 TMOD1 TPGS1	NPY SPTBN4	BRS3 CEND1 CHRNA5 EFNB3 GIP NRXN2 PBX3 SEZ6 SPTBN4 TMOD1 TPGS1 UCHL1	CEND1 GHRL NRXN2 SEZ6 TMOD1 UCHL1		BRS3 EFNB3 GRIN1 SEZ6 TMOD1
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING			ANK2 CACNA1C CACNB2 KCNJ3 SCN3B						ANK2 CACNA1C KCNJ3			
GO_AXON	BRSK2 C1QL1 GAP43 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 STMN4 STX1A SYN1 SYT2 TUBB3 UCN3	AP3B2 APBB1 BRSK1 BRSK2 C1QL1 CADM2 CDK5R2 CNGA3 DNM3 DSCAML1 KCNJ11 MAP2 MAP6 SNAP25 SYN1 SYP TPGS1 TUBB3	BSN CNGA3 CPLX2 DST KIF5A MAP1A MAP1B MAST1 NEFM PRKCG PTPRN RET SCN1B SLC8A1 SYP SYT2 TMOD2 UCN3	ATP1A3 CRMP1 DDC EPHA4 GAP43 NEFM TMOD2 UCN3 UNC13A VSTM2L	SLC18A1 STMN2 STX1A TMOD2 TUBB4A	AP3B2 MAP6 PRKCG SH2D3C STX1A SYT5		ADORA2A BRSK1 CDK5R2 DST GRIK5 KCNAB2 KIF1A PRRT2 SNAP25 SPTBN4	APBB1 ATP1A3 BOC BRSK1 BSN CACNG7 CDK5R2 CPLX2 GAP43 GRIK5 KIF5A MAP1A MAP1B MAP2 MAP6 NEFM NFASC NTS RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 STX1A SYP TPGS1 UCHL1 UCN3	ADORA2A BRSK1 C1QL1 CDK5R2 CNGA3 DDC DSCAML1 DST GHRL MAP6 PRRT2 PTPRN STMN3 SYN1 SYT2 UCHL1	ATP1A3 C1QL1 CDK5R2 CPLX2 GRIK5 MAST1 NCS1 SH2D3C SPTBN4 STMN3 SYP TUBB3	APBB1 CPT1C GRIN1 KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP
GO_AXON_DEVELOPMENT	BRSK2 GAP43 GFRA3 SPP1 TUBB2B TUBB3	APBB1 BRSK1 BRSK2 DSCAML1 MAP2 MAP6 RTN4RL1 TUBB3	DOK6 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B PAX6 PLXNC1 RET SCN1B	ADCY1 CRMP1 EPHA4 GAP43 GFRA1 LGR6 VSTM2L	ADCY1 CHRNB2 PAX6 RTN4RL1				APBB1 BOC BRSK1 DOK6 EFNB3 ETV1 GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SPP1 SPTBN4 TUBB2B UCHL1	BRSK1 DSCAML1 ETV1 ISL1 JAM3 MAP6 UCHL1	CSF1R NKX6-1 SPTBN4 TUBB3	APBB1 EFNB3 GRIN1 MAP1A MAP6 RET SCN1B TMEFF1
GO_BEHAVIOR	C1QL1 PAK6 PRKCG SEZ6 SNAP25 UNC79	ARC BRSK1 C1QL1 JPH4 NRXN2 SLC12A5 SNAP25 TPGS1 UNC79	AGT ASIC4 CHRNA5 DACH1 ETV1 GIP JPH4 MAP1A NRXN2 PBX3 PCDH17 PRKCG TMOD2 UNC79	ADCY1 ARC BRS3 CHRNA5 EPHA4 NRXN2 PYY TMOD2	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP TMOD1 TMOD2	ADCY1 ARC NPTX2 PBX3 PRKCG	PBX3 TMOD1 TPGS1	ADORA2A BRSK1 NDRG4 NPY SNAP25 SPTBN4	AGT ASIC4 BRS3 BRSK1 CEND1 CHRNA5 EFNB3 ETV1 GIP GNAO1 LMX1A MAP1A MDK NDRG4 NPW NRXN2 PAK6 PBX3 PYY RGS14 SEZ6 SLC12A5 SNAP25 SPTBN4 THBS4 TMOD1 TPGS1 UCHL1	ADORA2A AGT ARC ASIC4 BRSK1 C1QL1 CEND1 ETV1 GHRL JPH4 MDK NDRG4 NPTX2 NRXN2 RGS14 SEZ6 TMOD1 UCHL1		AGT BRS3 DACH1 EFNB3 GRIN1 MAP1A MDK NPW SEZ6 TMOD1
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE					CHRNA3 CHRNA5 CHRNB2							
GO_CARDIAC_CONDUCTION	KCNJ2 SLC8A1	CACNA1C CACNG6 KCNJ11	AGT ANK2 CACNA1C CACNB2 CACNB4 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1						AGT ANK2 ATP1A3 CACNA1C CACNB4 CACNG7 KCNH6 KCNJ3 SCN1B SPTBN4	AGT CACNA1C CACNB4 KCNH2 KCNK3	ATP1A3 SPTBN4	AGT KCNH2 KCNJ11 SCN1B SCN3B
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1						ANK2 CACNA1C KCNJ3 SCN1B	CACNA1C KCNH2		KCNH2 SCN1B SCN3B
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION			ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B						ANK2 CACNA1C KCNJ3 SCN1B	CACNA1C KCNH2		KCNH2 SCN1B SCN3B
GO_CATION_CHANNEL_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 SNAP25 TRPM2	CACNA1C CACNG6 CNGA3 KCNH8 KCNJ11 KCNN3 SNAP25	ASIC4 CACNA1C CACNB2 CACNB4 CHRNA5 CNGA3 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 SCN1B SCN3B TRPC6	CHRNA5 KCNK3 TRPC6 TRPM2	CHRNA3 CHRNA5 CHRNB2 KCNMB3			GRIK5 KCNAB2 SNAP25	ABCC8 ANXA6 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SCN1B SNAP25	ASIC4 CACNA1C CACNB4 CNGA3 KCNH2 KCNJ6 KCNK3 P2RX6 TRPC7	ANXA6 GRIK5 NCS1	ANXA6 GRIN1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
