	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS																																						SULT2A1 TPST2										SULT2A1 TPST2	
GO_9PLUS0_NON_MOTILE_CILIUM							CEP290 SSTR3	CEP290 CERKL IMPG1 MAP1B SSTR3																																									
GO_9PLUS2_MOTILE_CILIUM																						DNAH11 DNAJB13					CCR6 DNAJB13				DNAJB13 TCTEX1D4					DEFB1 DNAH11 TCTEX1D4						CCR6 DEFB1 TCTEX1D4							
GO_ACETYLCHOLINE_BINDING											CHRNA3 CHRNB2																																						
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY											CHRNA3 CHRNA5 CHRNB2																																						
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX											CHRNA3 CHRNA5 CHRNB2																																						
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY											CHRNA3 CHRNA5 CHRNB2																																						
GO_ACIDIC_AMINO_ACID_TRANSPORT		SNAP25 STX1A																														ADORA2A SNAP25																	
GO_ACID_SECRETION								SLC26A7 SV2A																														CES1 SV2A				GHRL SCT		CES1 SCT					
GO_ACROSOMAL_VESICLE					ARC KCNJ11 TMEM190			SV2B TCTEX1D4 TSSK4																			ARC KCNJ11 TMEM190									ARC SV2B TCTEX1D4													
GO_ACTININ_BINDING								CACNA1C TRPC6														CACNA1C TRPC6																				ADORA2A CACNA1C							
GO_ACTIN_BASED_CELL_PROJECTION					APBB1 MAP2 STRC TUBB3			AKR1B1 DPEP1 JAM3 MPP1 STRC	EPHA4 GAP43 LCP1																			ENPP7 LCP1 MPP1 TUBB3	AKR1B1 ENPP7									AKR1B1 APBB1 DPEP1 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC	AKR1B1 LCP1 SYNE2			AKR1B1 DPEP1 JAM3 STRC SYNE2	ENPP7 LCP1				LCP1 TUBB3	AKR1B1 APBB1 LCP1 MPP1	
GO_ACTIN_BINDING			ANXA6 LIMCH1 LSP1 SAMD14				MAP1A PLEKHH2 SYNE2 TRPC6	CACNB2 DST LIMCH1 LSP1 MAP1A MAP1B NCALD PLEKHH2 SAMD14 TMOD2 TRPC6			ABLIM2 LIMCH1 NCALD TMOD1 TMOD2											ABLIM2 PLEKHH2 SYNE2 TRPC6										CDK5R2 DST SPTBN4		LIMCH1 NCALD	PLEKHH2 TMOD1		SYN1 SYNE2 TMOD1	ABLIM2 ANXA6 CDK5R2 KCNMA1 LCP1 MAP1A MAP1B SAMD14 SPTBN4 TMOD1				CDK5R2 DST PLEKHH2 SYN1 SYNE2 TMOD1	ABLIM2 LCP1				ANXA6 CDK5R2 LCP1 SPTBN4		
GO_ACTIN_CYTOSKELETON											ABLIM2 LIMCH1 STX1A TMOD1 TMOD2					ABLIM2 PGM5																			PLEKHH2 TMOD1						SMTNL2 TMOD1								
GO_ACTIN_CYTOSKELETON_REORGANIZATION		BRSK2 TRPM2																																															
GO_ACTIN_FILAMENT																	JAM3 SMTNL2																					JAM3 LCP1 SPTBN4 TMOD1			SMTNL2 TMOD1						LCP1 SPTBN4		
GO_ACTIN_FILAMENT_BASED_MOVEMENT			LIMCH1 SCN1B				KCNJ3 SYNE2	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B		ANK2 TMOD1	LIMCH1 SGCD TMOD1								CACNA1C KCNJ3			CACNA1C SYNE2			KCNJ2 SCN3B			SCN1B SGCD									SCN3B SYNE2 TMOD1	ANK2 CACNA1C KCNJ3 SCN1B SGCD TMOD1	SCN3B SYNE2			CACNA1C KCNH2 SYNE2 TMOD1						KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_FILAMENT_BASED_PROCESS		BRSK2 KCNJ2 RGS4 SMTNL2 TMEFF2 TRPM2						ANK2 CACNA1C CACNB2 FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 PLEKHH2 RGS4 SAMD14 SCN1B SCN3B SFRP1 TMOD2		ANK2 GHRL TMOD1	ABLIM2 LIMCH1 SGCD TMOD1 TMOD2								CACNA1C KCNJ3 PGM5 RGS4 TMEFF2 TRPM2			ABLIM2 CACNA1C PGM5 PLEKHH2 SYNE2			APOA1 KCNJ2 SCN3B													ABLIM2 ANK2 CACNA1C FRMPD4 JAM3 KCNJ3 LCP1 MDK RGS4 SAMD14 SCN1B SGCD SPTBN4 TMEFF2 TMOD1						RGS4 SCN1B TAC1				FOXJ1 KCNH2 LCP1 MAD2L2 MDK SCN1B SCN3B TMOD1	
GO_ACTIN_FILAMENT_BINDING			ANXA6 SAMD14								ABLIM2 TMOD1																										SYNE2 TMOD1						ABLIM2 LCP1				ANXA6 LCP1		
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION																												APOA1 LCP1																					
GO_ACTIN_FILAMENT_DEPOLYMERIZATION								PLEKHH2 TMOD2			TMOD1 TMOD2																								PLEKHH2 TMOD1							PLEKHH2 TMOD1							
GO_ACTIN_FILAMENT_ORGANIZATION											LIMCH1 TMOD1 TMOD2																								PLEKHH2 TMOD1									RGS4 TAC1					
GO_ACTIN_MEDIATED_CELL_CONTRACTION			LIMCH1 SCN1B					ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B		ANK2 TMOD1	LIMCH1 SGCD TMOD1								CACNA1C KCNJ3						KCNJ2 SCN3B			SCN1B SGCD									SCN3B TMOD1	ANK2 CACNA1C KCNJ3 SCN1B SGCD TMOD1				CACNA1C KCNH2 TMOD1						KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION										GHRL TMOD1	TMOD1 TMOD2																								PLEKHH2 TMOD1														
GO_ACTION_POTENTIAL	CHRNB2 KCNJ2	KCNJ2 SLC8A1	KCNAB2 KCNMB2 SCN1B					ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B SLC8A1			CHRNB2 KCNMB3								CACNA1C KCNJ3	KCNAB2 KCNMB3					KCNJ2 SCN3B	KCNJ3 KCNMB3					CACNA1H KCNMB3 SCN1B							ANK2 CACNA1C KCNJ3 KCNMB2 KCNMB3 SCN1B	KCNAB2 SCN3B					SCN1B TAC1				KCNH2 SCN1B SCN3B	
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																	ATOH8 IFI27														ATOH8 MAD2L2														BEX1 DUSP26	BEX1 DUSP26		ATOH8 MAD2L2	
GO_ACTIVATION_OF_GTPASE_ACTIVITY								CCDC125 TBC1D8B USP6									SGSM1 TBC1D3C														CCDC125 TBC1D8B								CCDC125 FOXJ1										TBC1D3C TBC1D3H
GO_ACTIVATION_OF_IMMUNE_RESPONSE														MUC16 MUC5AC													GRAP2 MUC17 MUC5B																						CFH MUC2 MUC3A
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE														MUC16 MUC5AC													MUC17 MUC5B																					MUC17 MUC3A MUC5B	MUC2 MUC3A
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY								AGT AVPR1B																																		AGT AVPR1B							
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY																									ADCY2 RET																								
