	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014283398585357543	1	1	1	1	1	1	1	1	1	1	1	1	0.0016006837225972514	1	1	1	1	1	1	0.014740436403360313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03060351761417701	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018378298965844975	0.004211248522645761	1	1	1	1	1	1	1	0.029592065112460597	1	1	0.03214646467774318	1	1	1	1	1	1	1	1
GO_9PLUS2_MOTILE_CILIUM	1	0.052251010954394106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08136858432902017	1	1	1	1	1	1	1	1	0.04607730283384015	1	1	1	1	1	0.09981018429988131	1	1	1	1	1	1	1	1	0.0494530037666463	1	0.038271289117124296	1	0.08754438463455372	1	0.01707383168862131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008656450834169993	1	1
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1	1	3.0411621440573633e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.0026364515821041268	1	1	1	1	1	1	1	1	0.016709174726767473	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009391626318150825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.004008962099757096	1	1	1	1	1	1	0.0031701436315383358	1	0.001781279783360623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024317127630784086	1	1	1	1	1	1	1	0.01412637914965753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001596052012064142	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.004008962099757096	1	1	1	1	1	1	0.0031701436315383358	1	0.001781279783360623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024317127630784086	1	1	1	1	1	1	1	0.01412637914965753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001596052012064142	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.007539365264144227	1	1	1	1	1	1	0.005977786203237856	1	0.004573294688102081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0440915967887181	1	1	1	1	1	1	1	0.025998741331231257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0030282292667292987	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03573955524040018	1	1	1	1	1	1	1	0.049774552152456186	1	1	1	1	1	1	0.025826973150357535	1	1	1	0.047600164887053875	1	1	0.0481316920064101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_SECRETION	0.0037717876956753216	1	0.0695544701470614	1	1	1	1	1	1	1	1	1	0.00037403551702197557	0.0043513458387284265	0.0870243933685918	0.06342058895610192	1	1	0.07080415702682741	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0053485922813765185	1	1	0.08635537582121966	1	1	0.0870243933685918	1	1	1	1	1	0.01612932678843848	1	1	0.010373654178901015	0.009089019585707514	1	1	0.08435799376140807	1	1	1	1	1	1	1	1	1	1	1
