TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
LMX1A	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	up	186	15	0.0	0.0	AGT CES1 CPB1 CPE FFAR1 GIP GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 SLC30A8 STX1A
MAFA	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	205	30	8.597567102697212e-12	2.71518906914e-06	ADCY1 ADCY2 BEGAIN CACNG4 CHRNA5 CHRNB2 CPLX1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNMB3 KCNN3 LIN7A NCALD NRXN2 SNAP25 SYN1 SYT2 TSPAN7 TUBB3
ETV1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	220	31	1.825284368095481e-11	5.76439405719e-06	ABCC8 BEGAIN CACNA1A CACNA1B CAMK2B CHRNA3 CHRNA5 CHRNB2 GABRB3 GNG2 GNG4 GRIK5 KCNAB2 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3 LIN7A NCALD PRKCG SYN1 SYT2 TUBA1A
MAFB	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	225	17	2.1651680448542265e-11	6.83775224741e-06	GABBR2 GNG2 GNG4 KCNA6 KCNAB2 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	173	27	2.3926194359091824e-11	7.55603573577e-06	CACNA1A CACNB2 CACNB4 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3 LIN7A NCALD NRXN2 PRKCG SNAP25 TUBA1A TUBB3 TUBB4A
ETV1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	220	16	4.2354231233332484e-11	1.33756779946e-05	ABCC8 GNG2 GNG4 KCNAB2 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	139	23	5.363332000740684e-11	1.69376169916e-05	ABCC8 BEGAIN CACNA1B CACNB4 CAMK2B CPLX1 GABBR2 GABRB3 GNG4 GRIK5 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2 LIN7A NCALD PRKCG SYT2 TSPAN7 TUBB3
MAFB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	225	29	7.806111312902431e-11	2.46519337095e-05	ADCY1 CACNA1A CACNB4 CACNG4 CPLX1 GABBR2 GABRA1 GNG2 GNG4 GRIK5 KCNA6 KCNAB2 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 NRXN2 SNAP25 STX1A SYN1 TSPAN7
NR4A3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	160	24	1.5538192954522856e-10	4.90699241142e-05	ADCY1 ADCY2 CACNA1B CAMK2B CHRNA3 CHRNB2 CPLX1 GAD2 GNG4 GRIK5 GRIN1 KCNAB2 KCNB2 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 NCALD NRXN2 PRKCG SNAP25 STX1A SYT2
SOX4	REACTOME	REACTOME_NEURONAL_SYSTEM	410	down	167	24	3.59316021381062e-10	0.000113472358868	ABCC8 ADCY2 BEGAIN CACNA1A CACNB4 CHRNA5 GABRA1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 LRRTM3 NRXN2 SNAP25 STX1A TUBA1A TUBB2B
MAFA	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	205	14	6.400888707958075e-10	0.000202140065397	GNG2 GNG4 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNMB3 KCNN3
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	75	16	9.178543480814483e-10	0.00028985748527	ABCC8 CACNA1A CACNB4 CAMK2B CHRNB2 GABBR2 GRIK3 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 LRRTM3 NRXN2
SOX4	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	down	167	12	1.299624852180159e-09	0.000410418929069	AGT CES1 CPB1 FFAR1 GIP ISL1 KIF5A MBOAT4 PCSK1 PCSK2 SEC11C STX1A
RFX6	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	173	19	2.382143482471122e-09	0.000752273765334	CACNA1A CACNB2 CACNB4 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 LIN7A NCALD PRKCG SNAP25 TUBA1A TUBB3 TUBB4A
GATA2	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	up	142	11	3.0368318970630526e-09	0.000959019365765	AGT CES1 CPB1 CPE FFAR1 GHRL ISL1 KIF5A KIF5C PCSK1 STX1A
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	186	24	3.3130753696042348e-09	0.00104625263634	ABCC8 ADCY2 CACNA1A CACNA1B GABRA1 GABRB3 GAD2 GNG2 GRIK5 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMA1 KCNMB2 KCNN3 LIN7A LRRTM3 NCALD SNAP25 STX1A SYN1 TUBA1A TUBB2B
SPIB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	161	22	5.128909186247199e-09	0.00161967874756	ADCY1 BEGAIN CACNA1A CACNB4 CPLX1 GABBR2 GAD2 GNG2 GNG4 GRIK5 KCNB2 KCNJ2 KCNJ3 KCNJ6 KCNK17 LIN7A LRRTM3 NCALD NRXN2 SYN1 SYT2 TUBB3
ASCL1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	75	9	6.195684298937465e-09	0.00195655373181	ABCC8 GABBR2 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17
LMX1A	REACTOME	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	13	up	186	6	1.1413265554871543e-08	0.0036042179561	FFAR1 GIP GPR119 ISL1 PAX6 PCSK1
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	96	4	1.3093728212787425e-08	0.00413488152604	INSM1 NEUROD1 NKX2-2 PAX4
RFX6	WP	WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	162	up	173	14	2.6758002591442676e-08	0.00844990963835	ATP1A3 DDC FEV GCK GRIN1 KCNH2 LMX1B MAP2 NEUROD1 NKX2-2 RET SNAP25 SSTR1 TP73
ARX	REACTOME	REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	10	down	50	4	3.762622591274578e-08	0.0118819482548	SNAP25 STX1A SV2B SYT2
NEUROG3	REACTOME	REACTOME_PHASE_0_RAPID_DEPOLARISATION	42	up	164	8	3.9488908809559575e-08	0.0124701235352	CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 SCN3A SCN3B
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	166	21	4.552834687032714e-08	0.0143772600731	ABCC8 ADCY1 ADCY2 BEGAIN CACNA1A CHRNB2 GNG2 GNG4 GRIK3 GRIK5 KCNH2 KCNH3 KCNH6 KCNK16 LIN7A LRRTM3 SNAP25 STX1A SYN1 TUBA1A TUBB3
NEUROD1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	96	9	5.569498096047454e-08	0.0175876952576	ABCC8 KCNAB2 KCNB2 KCNH2 KCNH8 KCNJ11 KCNK17 KCNK3 KCNMA1
LMX1A	REACTOME	REACTOME_INSULIN_PROCESSING	27	up	186	7	6.903986704553944e-08	0.021801754415	CPE KIF5A KIF5C PCSK1 PCSK2 SLC30A8 STX1A
SOX4	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	down	167	11	6.990518641725174e-08	0.0220749393876	ABCC8 GNG2 GNG4 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3
GATA2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	142	19	8.125237349609904e-08	0.0256581182597	ABCC8 ADCY1 ADCY2 CACNA1A CACNB4 CHRNA5 GABRB3 GRIK5 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 NRXN2 SNAP25 STX1A
TFCP2L1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	157	20	8.503194137698955e-08	0.0268515565119	ABCC9 ADCY1 CACNG4 CHRNB2 CPLX1 GABBR2 GNG4 GRIK5 KCNAB2 KCNH7 KCNH8 KCNJ2 KCNMB2 LRFN1 PRKCG STX1A TSPAN7 TUBA1A TUBB3 TUBB4A
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	139	10	1.2439866259317256e-07	0.0392827340723	ABCC8 GABBR2 GNG4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2
NEUROG3	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	up	164	12	1.3160637890585747e-07	0.0415586623309	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNK3 SCN3A SCN3B SLC8A1
RFX6	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	173	4	1.411560502928566e-07	0.0445741164054	INSM1 NEUROD1 NKX2-2 PAX4
SMAD9	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	139	15	1.5030405120519674e-07	0.0474627126815	CACNA1B CACNB4 CAMK2B CPLX1 GABBR2 GABRB3 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A NCALD PRKCG TSPAN7 TUBB3
NR4A3	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	160	16	1.6702196004025893e-07	0.0527416934756	ADCY1 ADCY2 CACNA1B CAMK2B CHRNA3 CHRNB2 CPLX1 GAD2 GNG4 GRIK5 GRIN1 KCNJ2 NCALD PRKCG SNAP25 STX1A
SPIB	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	161	16	1.820998776214111e-07	0.0575027709558	ADCY1 CACNA1A CACNB4 CPLX1 GABBR2 GAD2 GNG2 GNG4 GRIK5 KCNJ2 KCNJ3 KCNJ6 LIN7A NCALD SYN1 TUBB3
LMX1A	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	186	17	2.5263553038445963e-07	0.0797759846072	ADCY2 CACNA1A CACNA1B GABRA1 GABRB3 GAD2 GNG2 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD SNAP25 STX1A SYN1 TUBA1A TUBB2B
ARX	REACTOME	REACTOME_NEURONAL_SYSTEM	410	down	50	11	2.8529444207059385e-07	0.0900885671504	CAMK2B KCNB2 KCNJ2 KCNK17 PRKCG SNAP25 STX1A SYN1 SYT2 TUBB2B TUBB3
TFCP2L1	REACTOME	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	403	up	157	19	3.1084879992260284e-07	0.098157658098	ADCY1 APOA1 APOC3 CLPS GABBR2 GNAO1 GNG4 NPW PRKCG PTGDR2 PYY RBP1 RGS16 RGS5 RGS9 SSTR1 SSTR3 SSTR5 TTR
SOX4	REACTOME	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	13	down	167	5	3.6222492472148815e-07	0.114380488929	FFAR1 GIP ISL1 PCSK1 SEC11C
POU2F2	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	61	7	4.432455402714197e-07	0.139964087497	KCNAB2 KCNH7 KCNJ3 KCNJ6 KCNK17 KCNMB2 KCNMB3
RFX6	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	up	173	14	5.018184672245241e-07	0.158459217395	CACNG4 CAMK2B CHRNA3 GABBR2 GNG2 GNG4 GRIK5 GRIN1 LIN7A NCALD PRKCG TUBA1A TUBB3 TUBB4A
NEUROG3	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	164	10	5.82793926673375e-07	0.184028255432	ABCC8 GABBR2 GNG4 KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNN3
LMX1A	REACTOME	REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	23	up	186	6	5.97775360988706e-07	0.188758330189	FFAR1 GIP GPR119 ISL1 PAX6 PCSK1
MAFB	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	up	225	13	6.017749800690808e-07	0.190020680131	ATP1A3 CACNA1C CACNB4 CACNG4 CACNG6 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1
FOXP2	REACTOME	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	down	27	3	6.361828350787135e-07	0.200884909101	CHRNA3 CHRNA5 CHRNB2
RFX6	KEGG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	up	173	6	6.698815571137828e-07	0.211525149882	GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6
ONECUT1	REACTOME	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	48	down	20	4	7.148480996033157e-07	0.225723295323	CLPS GPC6 RBP2 TTR
SPIB	REACTOME	REACTOME_GABA_B_RECEPTOR_ACTIVATION	43	up	161	7	7.859965341916464e-07	0.248188623626	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6
NEUROG3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	164	19	7.98266489798749e-07	0.252062223352	ABCC8 CACNA1A CACNG4 CAMK2B CPLX1 GABBR2 GABRB3 GNG4 KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNN3 LRRTM3 SNAP25 STX1A SYT2
FOXP2	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	down	27	7	8.466526609796077e-07	0.267339890884	ADCY1 CHRNA3 CHRNA5 CHRNB2 NCALD STX1A TUBB4A
HMBOX1	REACTOME	REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	16	up	65	4	9.327510129830685e-07	0.29452545986	MUC16 MUC3A MUC5AC MUC5B
RFX6	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	173	10	9.523437478620167e-07	0.300711109481	GABBR2 GNG2 GNG4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3
MAFA	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	205	17	1.003015932310447e-06	0.316710304754	ADCY1 ADCY2 CACNG4 CHRNA5 CHRNB2 CPLX1 GNG2 GNG4 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD SNAP25 SYN1 TSPAN7 TUBB3
FEV	REACTOME	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	108	up	166	10	1.0135503225594533e-06	0.3200356092	ABCC8 ADCY1 ADCY2 CACNA1A GNG2 GNG4 RAPGEF4 SNAP25 STX1A SYT5
FOXP2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	down	27	8	1.070606002961938e-06	0.338050269071	ADCY1 CHRNA3 CHRNA5 CHRNB2 KCNMB3 NCALD STX1A TUBB4A
HMBOX1	REACTOME	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	17	up	65	4	1.2152348625171783e-06	0.383716484014	MUC16 MUC3A MUC5AC MUC5B
FOXP2	REACTOME	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	11	down	27	3	1.2462220002618096e-06	0.393499581471	CHRNA3 CHRNA5 CHRNB2
HES4	REACTOME	REACTOME_CHYLOMICRON_REMODELING	10	up	30	3	1.2582339257161124e-06	0.397289878513	APOA1 APOA4 APOC3
HES4	REACTOME	REACTOME_CHYLOMICRON_ASSEMBLY	10	up	30	3	1.2582339257161124e-06	0.397289878513	APOA1 APOA4 APOC3
GATA2	WP	WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	162	up	142	11	1.3542824331969072e-06	0.427616032564	ATP1A3 FEV GCK LMX1B MAP2 POU5F1 SCN3B SNAP25 SSTR1 TAC1 TPH1
ETV1	REACTOME	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	13	up	220	5	1.4195528001970104e-06	0.448223796662	GIP ISL1 PAX6 PCSK1 SEC11C
LMX1A	REACTOME	REACTOME_REGULATION_OF_INSULIN_SECRETION	78	up	186	9	1.4269942075761932e-06	0.450571994048	ABCC8 CACNA1A CACNA1C FFAR1 GNG2 RAPGEF4 SNAP25 STX1A SYT5
NEUROD1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	96	14	1.4677913944272092e-06	0.463452197208	ABCC8 ADCY2 CAMK2B CHRNA3 CPLX1 KCNAB2 KCNB2 KCNH2 KCNH8 KCNJ11 KCNK17 KCNK3 KCNMA1 TUBB4A
ASCL1	REACTOME	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	35	up	75	5	1.471322436552569e-06	0.464565645374	ABCC8 GABBR2 KCNJ11 KCNJ2 KCNJ6
SMAD9	REACTOME	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	35	up	139	6	1.5462072342486977e-06	0.488208749385	ABCC8 GABBR2 GNG4 KCNJ11 KCNJ2 KCNJ6
NEUROG3	REACTOME	REACTOME_MUSCLE_CONTRACTION	205	up	164	13	1.6382717491492116e-06	0.517276113435	ANXA6 ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNK3 SCN3A SCN3B SLC8A1
SMAD9	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	up	139	12	1.6939552115458056e-06	0.534856194314	CAMK2B GABBR2 GABRB3 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A NCALD PRKCG TSPAN7 TUBB3
RFX6	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	up	173	11	1.8132723508257342e-06	0.572528051867	ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1
PAX6	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	146	9	2.0105229709965755e-06	0.634806543908	GABBR2 GNG2 KCNJ11 KCNJ2 KCNJ3 KCNJ6 KCNMA1 KCNMB2 KCNN3
PAX6	REACTOME	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	35	up	146	6	2.0599179483271612e-06	0.650400552923	GABBR2 GNG2 KCNJ11 KCNJ2 KCNJ3 KCNJ6
RFX6	WP	WP_DOPAMINERGIC_NEUROGENESIS	30	up	173	6	2.127097801785105e-06	0.671609859936	DDC LMX1A LMX1B NEUROD1 NKX2-2 RET
MAFB	REACTOME	REACTOME_MUSCLE_CONTRACTION	205	up	225	15	2.2973968759609775e-06	0.725377792219	ATP1A3 CACNA1C CACNB4 CACNG4 CACNG6 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1 TMOD1 TMOD2
POU2F2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	61	11	2.3482854367706807e-06	0.741442947235	ADCY1 CACNA1A CACNB4 KCNAB2 KCNH7 KCNJ3 KCNJ6 KCNK17 KCNMB2 KCNMB3 LIN7A
ETV1	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	up	220	10	2.412871999424304e-06	0.761832966482	GHRL GIP ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 SEC11C SLC30A8
MAFB	WP	WP_SYNAPTIC_VESICLE_PATHWAY	52	up	225	8	2.4856278648677232e-06	0.784802199542	CACNA1A CPLX1 CPLX2 SLC18A1 SNAP25 STX1A SYN1 SYP
NEUROD1	WP	WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	162	up	96	9	2.636244295528556e-06	0.832354592649	GCK KCNH2 MAP2 NEUROD1 NKX2-2 POU5F1 RET SSTR2 TP73
