PeakID (cmd=annotatePeaks.pl NKX2_2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
21997	chr17	40134207	40134902	+	0	NA	intron (NR_029431, intron 9 of 12)	intron (NR_029431, intron 9 of 12)	14739	NM_001330216	1267	Hs.273621	NM_033133	ENSG00000173786	CNP	CNP1	2',3'-cyclic nucleotide 3' phosphodiesterase	protein-coding
20575	chr16	83841265	83841892	+	0	NA	promoter-TSS (NM_001537)	promoter-TSS (NM_001537)	-5	NM_001537	3281	Hs.250899	NM_001537	ENSG00000230989	HSBP1	NPC-A-13	heat shock factor binding protein 1	protein-coding
27303	chr2	40387568	40388556	+	0	NA	intron (NM_001351488, intron 6 of 8)	intron (NM_001351488, intron 6 of 8)	243288	NR_038441	100128590	Hs.744988	NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
55832	chrX	15713157	15713784	+	0	NA	intron (NR_160544, intron 3 of 11)	intron (NR_160544, intron 3 of 11)	19889	NR_160545	114004397	Hs.653287	NR_160544		CA5BP1-CA5B	-	CA5BP1-CA5B readthrough	ncRNA
46859	chr6	136931130	136932025	+	0	NA	intron (NM_005923, intron 18 of 29)	intron (NM_005923, intron 18 of 29)	-18675	NR_125858	101928461	Hs.666518	NR_125858		LOC101928461	-	uncharacterized LOC101928461	ncRNA
2116	chr1	68796535	68797364	+	0	NA	Intergenic	Intergenic	-98720	NM_001002292	79971	Hs.647659	NM_024911	ENSG00000116729	WLS	C1orf139|EVI|GPR177|MRP|mig-14	Wnt ligand secretion mediator	protein-coding
12089	chr12	52355010	52355832	+	0	NA	intron (NM_020327, intron 1 of 8)	intron (NM_020327, intron 1 of 8)	8257	NM_020327	91	Hs.438918	NM_004302	ENSG00000135503	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor type 1B	protein-coding
42070	chr5	76507022	76508176	+	0	NA	intron (NM_001029853, intron 1 of 20)	intron (NM_001029853, intron 1 of 20)	1094	NM_001029853	8622	Hs.584830	NM_003719	ENSG00000113231	PDE8B	ADSD|PPNAD3	phosphodiesterase 8B	protein-coding
37877	chr3	193404664	193405332	+	0	NA	intron (NM_130832, intron 27 of 28)	intron (NM_130832, intron 27 of 28)	-59877	NR_046634	100873941	Hs.679364	NR_046634	ENSG00000224855	OPA1-AS1	-	OPA1 antisense RNA 1	ncRNA
24063	chr18	42948583	42949385	+	0	NA	intron (NM_001242692, intron 1 of 20)	L3|LINE|CR1	138017	NR_110899	101927980	Hs.591058	NR_110899		SLC14A2-AS1	-	SLC14A2 antisense RNA 1	ncRNA
17526	chr15	37878951	37879821	+	0	NA	Intergenic	Intergenic	-347422	NM_152453	145942	Hs.179646	NM_152453	ENSG00000166069	TMCO5A	TMCO5	transmembrane and coiled-coil domains 5A	protein-coding
371	chr1	11415003	11416574	+	0	NA	Intergenic	Intergenic	82533	NM_001330349	29914	Hs.522933	NM_013319	ENSG00000120942	UBIAD1	SCCD|TERE1	UbiA prenyltransferase domain containing 1	protein-coding
17491	chr15	37175684	37177380	+	0	NA	intron (NR_024264, intron 1 of 6)	intron (NR_024264, intron 1 of 6)	2202	NR_024264	145845	Hs.302693	NM_001101327		LOC145845	-	uncharacterized LOC145845	ncRNA
3215	chr1	154370512	154371184	+	0	NA	Intergenic	Intergenic	-6821	NM_001206866	3570	Hs.135087	NM_000565	ENSG00000160712	IL6R	CD126|IL-6R-1|IL-6RA|IL6Q|IL6RA|IL6RQ|gp80	interleukin 6 receptor	protein-coding
39955	chr4	129209666	129210293	+	0	NA	Intergenic	Intergenic	-1011	NM_006320	10424	Hs.507910	NM_006320	ENSG00000164040	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	protein-coding
21865	chr17	37029833	37030474	+	0	NA	intron (NM_006148, intron 1 of 6)	intron (NM_006148, intron 1 of 6)	3842	NR_073384	3927	Hs.741156	NM_006148	ENSG00000002834	LASP1	Lasp-1|MLN50	LIM and SH3 protein 1	protein-coding
14123	chr13	30906380	30907699	+	0	NA	Intergenic	Intergenic	-25351	NM_032116	84056	Hs.243596	NM_032116	ENSG00000102781	KATNAL1	-	katanin catalytic subunit A1 like 1	protein-coding
17751	chr15	49103032	49103970	+	0	NA	promoter-TSS (NM_001194998)	promoter-TSS (NM_001194998)	-235	NM_001194998	22995	Hs.443005	NM_014985	ENSG00000103995	CEP152	MCPH4|MCPH9|SCKL5	centrosomal protein 152	protein-coding
13874	chr13	21750594	21751194	+	0	NA	promoter-TSS (NM_024026)	promoter-TSS (NM_024026)	97	NM_024026	78988	Hs.458367	NM_024026	ENSG00000173141	MRPL57	MRP63|bMRP63	mitochondrial ribosomal protein L57	protein-coding
42902	chr5	125705701	125706489	+	0	NA	intron (NM_001146319, intron 1 of 13)	MamSINE1|SINE|tRNA	10283	NM_001146319	65983	Hs.363558	NM_023927	ENSG00000155324	GRAMD2B	GRAMD3|NS3TP2	GRAM domain containing 2B	protein-coding
29943	chr2	201753482	201754841	+	0	NA	promoter-TSS (NM_130906)	promoter-TSS (NM_130906)	53	NM_021824	60491	Hs.145284	NM_021824	ENSG00000196290	NIF3L1	ALS2CR1|CALS-7|MDS015	NGG1 interacting factor 3 like 1	protein-coding
38655	chr4	39230034	39230365	+	0	NA	exon (NM_025132, exon 17 of 37)	exon (NM_025132, exon 17 of 37)	46050	NM_025132	57728	Hs.438482	NM_025132	ENSG00000157796	WDR19	ATD5|CED4|DYF-2|IFT144|NPHP13|ORF26|Oseg6|PWDMP|SRTD5	WD repeat domain 19	protein-coding
7123	chr10	93011118	93011638	+	0	NA	intron (NM_032373, intron 6 of 9)	MamRep1161|DNA|TcMar	30958	NM_032373	84333	Hs.500512	NM_032373	ENSG00000180628	PCGF5	RNF159	polycomb group ring finger 5	protein-coding
32677	chr21	35183647	35184446	+	0	NA	intron (NM_001001132, intron 21 of 29)	intron (NM_001001132, intron 21 of 29)	104062	NM_001697	539	Hs.409140	NM_001697	ENSG00000241837	ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	ATP synthase peripheral stalk subunit OSCP	protein-coding
7594	chr10	112113015	112113784	+	0	NA	Intergenic	Intergenic	-48721	NM_005871	10285	Hs.632093	NM_005871	ENSG00000119953	SMNDC1	SMNR|SPF30|TDRD16C	survival motor neuron domain containing 1	protein-coding
32828	chr21	41283083	41283794	+	0	NA	intron (NM_006198, intron 2 of 2)	intron (NM_006198, intron 2 of 2)	44074	NM_006198	5121	Hs.80296	NM_006198	ENSG00000183036	PCP4	PEP-19	Purkinje cell protein 4	protein-coding
13010	chr12	104221708	104222303	+	0	NA	intron (NM_001031701, intron 1 of 13)	L3|LINE|CR1	13007	NM_001031701	51559	Hs.48428	NM_016575	ENSG00000111696	NT5DC3	TU12B1-TY|TU12B1TY	5'-nucleotidase domain containing 3	protein-coding
33339	chr22	26879483	26880413	+	0	NA	promoter-TSS (NR_146313)	promoter-TSS (NR_146313)	105	NM_001013694	402055	Hs.709914	NM_001013694	ENSG00000100104	SRRD	HC/HCC|SRR1L	SRR1 domain containing	protein-coding
28696	chr2	114947788	114948155	+	0	NA	Intergenic	Intergenic	-210410	NR_034130	100499194	Hs.662336	NR_034130		LOC100499194	-	uncharacterized LOC100499194	ncRNA
