PeakID (cmd=annotatePeaks.pl FOXA1_PE_peaks_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7130	chr5	127535968	127536968	+	0	NA	Intergenic	Intergenic	117010	NM_001256461	6558	Hs.162585	NM_001046	ENSG00000064651	SLC12A2	BSC|BSC2|NKCC1|PPP1R141	solute carrier family 12 member 2	protein-coding
16925	chr17	13493532	13494532	+	0	NA	intron (NM_006042, intron 1 of 1)	intron (NM_006042, intron 1 of 1)	11214	NM_006042	9955	Hs.462270	NM_006042	ENSG00000153976	HS3ST3A1	3-OST-3A|3OST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	protein-coding
8131	chr6	87986104	87987104	+	0	NA	Intergenic	Intergenic	-45702	NM_001042493	57150	Hs.70769	NM_020425	ENSG00000111850	SMIM8	C6orf162|dJ102H19.2	small integral membrane protein 8	protein-coding
4170	chr3	117088014	117089014	+	0	NA	Intergenic	Intergenic	321258	NR_146652	105374057	Hs.518179	NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
3622	chr3	55937371	55938371	+	0	NA	intron (NR_132749, intron 12 of 17)	intron (NR_132749, intron 12 of 17)	-51249	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
11089	chr9	18732679	18733679	+	0	NA	intron (NM_001040272, intron 15 of 28)	intron (NM_001040272, intron 15 of 28)	159875	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
14289	chr12	111180515	111181515	+	0	NA	promoter-TSS (NM_001244974)	promoter-TSS (NM_001244974)	-319	NM_002710	5501	Hs.79081	NM_002710	ENSG00000186298	PPP1CC	PP-1G|PP1C|PPP1G	protein phosphatase 1 catalytic subunit gamma	protein-coding
6525	chr5	65639171	65640171	+	0	NA	Intergenic	Intergenic	-134397	NR_146488	101928741	Hs.676049	NR_146488		LINC02065	-	long intergenic non-protein coding RNA 2065	ncRNA
9122	chr7	28918500	28919500	+	0	NA	Intergenic	Intergenic	78946	NM_014817	9865	Hs.744120	NM_014817	ENSG00000255690	TRIL	-	TLR4 interactor with leucine rich repeats	protein-coding
13541	chr12	12096551	12097551	+	0	NA	Intergenic	Intergenic	-105744	NM_001370268	79370	Hs.210343	NM_030766	ENSG00000121380	BCL2L14	BCLG	BCL2 like 14	protein-coding
