PeakID (cmd=annotatePeaks.pl NKX6_1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
10732	chr4	143240772	143241401	+	0	NA	intron (NM_001101669, intron 7 of 25)	MLT1E3|LTR|ERVL-MaLR	526602	NM_003866	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
2182	chr11	9481918	9482728	+	0	NA	promoter-TSS (NR_036539)	promoter-TSS (NR_036539)	-78	NR_036539	644656	Hs.597846	NR_036539	ENSG00000268403	LOC644656	-	uncharacterized LOC644656	ncRNA
11019	chr5	13860139	13860713	+	0	NA	intron (NM_001369, intron 29 of 78)	MLT1J|LTR|ERVL-MaLR	84163	NM_001369	1767	Hs.212360	NM_001369	ENSG00000039139	DNAH5	CILD3|DNAHC5|HL1|KTGNR|PCD	dynein axonemal heavy chain 5	protein-coding
14551	chr9	3441243	3441709	+	0	NA	intron (NM_001282116, intron 1 of 16)	L1MC3|LINE|L1	-45880	NM_002919	5991	Hs.136829	NM_002919	ENSG00000080298	RFX3	-	regulatory factor X3	protein-coding
10858	chr4	170525505	170526340	+	0	NA	intron (NM_001199399, intron 2 of 32)	MamRep605|Unknown|Unknown	7812	NM_001199398	4750	Hs.481181	NM_012224	ENSG00000137601	NEK1	ALS24|NY-REN-55|SRPS2|SRPS2A|SRTD6	NIMA related kinase 1	protein-coding
12188	chr6	34118733	34119548	+	0	NA	intron (NM_001256809, intron 1 of 8)	intron (NM_001256809, intron 1 of 8)	4259	NM_001256809	2914	Hs.429018	NM_000841	ENSG00000124493	GRM4	GPRC1D|MGLUR4|mGlu4	glutamate metabotropic receptor 4	protein-coding
3364	chr12	93772814	93773712	+	0	NA	intron (NM_001301023, intron 1 of 4)	intron (NM_001301023, intron 1 of 4)	909	NM_001301023	11163	Hs.506325	NM_019094	ENSG00000173598	NUDT4	DIPP-2B|DIPP2|DIPP2alpha|DIPP2beta|HDCMB47P|NUDT4B	nudix hydrolase 4	protein-coding
7802	chr2	192152713	192153629	+	0	NA	intron (NM_001330237, intron 2 of 29)	intron (NM_001330237, intron 2 of 29)	43041	NM_001130158	4430	Hs.439620	NM_012223	ENSG00000128641	MYO1B	MMI-alpha|MMIa|MYH-1c|myr1	myosin IB	protein-coding
8841	chr22	47561246	47562120	+	0	NA	intron (NM_014346, intron 12 of 12)	intron (NM_014346, intron 12 of 12)	-179638	NR_144462	339685	Hs.434351	NR_038922	ENSG00000224715	LOC339685	-	uncharacterized LOC339685	ncRNA
6385	chr18	57043489	57044404	+	0	NA	Intergenic	Intergenic	-17449	NM_005570	3998	Hs.465295	NM_005570	ENSG00000074695	LMAN1	ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58	lectin, mannose binding 1	protein-coding
3209	chr12	59143972	59144753	+	0	NA	intron (NR_120452, intron 1 of 7)	intron (NR_120452, intron 1 of 7)	31136	NR_120452	101927653	Hs.130744	NR_120452	ENSG00000257259	LINC02388	-	long intergenic non-protein coding RNA 2388	ncRNA
1509	chr10	11195763	11196297	+	0	NA	intron (NM_001326334, intron 2 of 14)	intron (NM_001326334, intron 2 of 14)	-10814	NM_001326346	10659	Hs.309288	NM_006561	ENSG00000048740	CELF2	BRUNOL3|CELF-2|CUG-BP2|CUGBP2|ETR-3|ETR3|NAPOR	CUGBP Elav-like family member 2	protein-coding
11344	chr5	77164744	77165368	+	0	NA	Intergenic	Intergenic	-15424	NR_105012	101929154	Hs.252895	NR_105012		LOC101929154	-	uncharacterized LOC101929154	ncRNA
5824	chr17	44295594	44296042	+	0	NA	intron (NM_001193465, intron 2 of 15)	intron (NM_001193465, intron 2 of 15)	6922	NM_001193465	284058	Hs.648744	NM_015443	ENSG00000120071	KANSL1	CENP-36|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1	KAT8 regulatory NSL complex subunit 1	protein-coding
8955	chr3	16896769	16897675	+	0	NA	Intergenic	Intergenic	-29226	NM_001144382	23228	Hs.202010	NM_015184	ENSG00000154822	PLCL2	PLCE2	phospholipase C like 2	protein-coding
