	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_9PLUS2_MOTILE_CILIUM																						CD52 DRD2																		
GO_ACETYLCHOLINE_BINDING									CHRNA3 CHRNB2																															
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY									CHRNA3 CHRNB2																															
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX									CHRNA3 CHRNB2																															
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY									CHRNA3 CHRNB2																															
GO_ACTIN_BASED_CELL_PROJECTION							AKR1B1 DPEP1 JAM3										AKR1B1 TUBB3														AKR1B1 DPEP1 JAM3			AKR1B1 DPEP1 JAM3						
GO_ACTIN_BINDING			ACTN3 LSP1 SAMD14				LSP1 MYBPC2 SAMD14																							MYBPC2 TMOD1										
GO_ACTIN_CYTOSKELETON			ACTN3 DPYSL3 FLT1 LSP1 SAMD14				JAM3 LSP1 SAMD14																																	
GO_ACTIN_FILAMENT			ACTN3 DPYSL3																				DPYSL3 TMOD1								JAM3 TMOD1			JAM3 TMOD1						ACTN3 TMOD1
GO_ACTIN_FILAMENT_BASED_MOVEMENT			ACTN3 SCN1B				MYBPC2 SCN1B																		ACTN3 SCN1B					MYBPC2 TMOD1	SCN1B TMOD1									ACTN3 SCN1B TMOD1
GO_ACTIN_FILAMENT_BASED_PROCESS			ACTN3 DPYSL3 SAMD14 SCN1B				JAM3 MYBPC2 RGS4 SAMD14 SCN1B SFRP1																DPYSL3 GRHL3 TMOD1		ACTN3 MAD2L2 MDK PROX1 RGS4 SCN1B					MYBPC2 TMOD1	JAM3 MDK RGS4 SAMD14 SCN1B TMOD1					RGS4 SCN1B				ACTN3 MAD2L2 MDK SCN1B TMOD1
GO_ACTIN_FILAMENT_ORGANIZATION							RGS4 SAMD14 SFRP1																DPYSL3 TMOD1																	
GO_ACTIN_MEDIATED_CELL_CONTRACTION			ACTN3 SCN1B				MYBPC2 SCN1B																		ACTN3 SCN1B					MYBPC2 TMOD1	SCN1B TMOD1									ACTN3 SCN1B TMOD1
GO_ACTION_POTENTIAL																									CACNA1H SCN1B															
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																									ATOH8 MAD2L2															ATOH8 MAD2L2
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE										MUC15 MUC5AC																														
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY																																		AGT SOCS1						AGT SOCS1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY						NTRK1 SOCS1											NTRK1 TP73															DRD2 GADD45G TP73								
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																															CHGA DRD2									
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																						DRD2 PDE2A										DRD2 PDE2A								
GO_ADHERENS_JUNCTION																	CCDC85B CD99L2 DLL1																							CCDC85B CD99L2 CDH22
GO_ADHERENS_JUNCTION_ORGANIZATION																																		CDH5 JAM3						
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY																															CHGA DRD2									
GO_ADULT_BEHAVIOR								SLITRK6 TMOD1	CHRNA3 CHRNB2 TMOD1								SLC1A2 SLITRK6						DRD2 SLC1A2 SLITRK6 TMOD1								DRD2 SLITRK6 TMOD1	DRD2 SLITRK6								
GO_ADULT_LOCOMOTORY_BEHAVIOR								SLITRK6 TMOD1															DRD2 SLITRK6 TMOD1								DRD2 SLITRK6 TMOD1	DRD2 SLITRK6								
GO_AEROBIC_RESPIRATION			ACTN3 CBFA2T3																						ACTN3 CBFA2T3															
GO_AGING																	NTRK1 SLC1A2																							
GO_ALCOHOL_BINDING				RBP1 SYP						OSBPL6 RBP1 SIDT1																														
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																							AKR1B1 QDPR								AKR1B1 QDPR			AKR1B1 PLCG2 QDPR						
GO_ALCOHOL_METABOLIC_PROCESS																							AKR1B1 QDPR																	
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS						ASRGL1 DPEP1																																		
GO_ALPHA_BETA_T_CELL_ACTIVATION																													SOCS1 TOX					ADORA2A SOCS1						
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION																													SOCS1 TOX											
GO_AMEBOIDAL_TYPE_CELL_MIGRATION														DLL4 ENPP2 SPARC										ATOH8 CDH5 DLL4 PROX1 SEMA6B	ATOH8 CDH5 CYGB DLL4 PLCG2 PROX1 SMOC2	DLL4 SMOC2													CYGB DLL4 PTP4A3	
GO_AMINE_TRANSPORT							AGT RGS4		CHRNA3 CHRNB2		CHGA SLC38A3 SYT5		AGT RGS4									DRD2 SLC38A3			DRD2 RGS4						AGT CHGA DRD2 RGS4			ADORA2A AGT						
GO_AMINO_ACID_IMPORT							AGT RGS4						AGT RGS4																		AGT RGS4									
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT		RGS4 SLC7A4					AGT RGS4						AGT RGS4										SLC1A2 SLC38A5		RGS4 SLC38A5						AGT RGS4			AGT SLC7A4						
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																							SLC1A2 SLC38A5																	
GO_AMINO_ACID_TRANSPORT		RGS4 SLC7A4					AGT RGS4 SLC6A17						AGT RGS4										SLC1A2 SLC38A5								AGT RGS4			ADORA2A AGT SLC7A4						
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS									ATOH8 FJX1 HOPX TMOD1					DLL4 ENPP2 EPHB3 FLT1 PMP22 SPARC		IGFN1 NKD1 PMP22 PROX1 SPARC VASH2	DLL1 EPHB3 IGFN1 NKD1 SFRP1						GRHL3 HOPX PMP22 TMOD1	ATOH8 CACNA1H CDH5 DLL4 EPHB3 GRHL3 IGFN1 PROX1	ATOH8 CACNA1H CDH5 DLL1 DLL4 FJX1 FLT1 MDK MMP2 PMP22 PROX1 SMOC2 SOX4	DLL4 HOPX SMOC2 SOX4								AGT CDH5 JAM3 MDK MMP2 PMP22 SDK2 TMOD1	GRHL3 IGFN1		AGT PPP1R16B SOX4			
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS								CDH5 CHRNA1																CDH5 CSF1R LTF			AKR1B1 CDH5							AKR1B1 CDH5 JAM3 NEUROD1						
GO_ANATOMICAL_STRUCTURE_MATURATION																								CDH5 LTF			AKR1B1 CDH5							AKR1B1 C1QL1 CDH5 GAL MMP2					C1QL1 GAL MMP2	
GO_ANATOMICAL_STRUCTURE_REGRESSION														DRD2 FLT1 NINJ1											DRD2 FLT1				DRD2 FLT1		DRD2 NINJ1									
GO_ANCHORED_COMPONENT_OF_MEMBRANE							DPEP1 GFRA1 GPC2																						GPC2 RAB26		DPEP1 LYPD8 RAB26			DPEP1 GPC2 LYPD8 RAB26						
GO_ANCHORING_JUNCTION			ACTN3 CCDC85B FLT1 SCN1B														AKR1B1 CCDC85B CD99L2 DLL1								ACTN3 CDH5 DLL1 FLT1 PMP22 SCN1B		AKR1B1 CDH5													ACTN3 AKR1B1 CCDC85B CD99L2 CDH22 KCNJ11 SCN1B
GO_ANIMAL_ORGAN_MORPHOGENESIS															DLL1 LEFTY1 LRIG1 SLITRK6	IGFN1 LRIG1 NKD1 PROX1	DLL1 IGFN1 NKD1 SFRP1 SLITRK6 WNT9A							CSF1R DLL4 GRHL3 IGFN1 LEFTY1 LRIG1 LTF PROX1	DLL1 DLL4 FJX1 MDK MMP2 PROX1 SOX4				CPE DLL4 GRHL3 LEFTY1 MDK MMP2					AGT CPE DSCAML1 MDK MMP2 NEUROD1 SDK2	GRHL3 IGFN1		AGT LTF SOX4		CPE CSF1R DLL4 MMP2 NKD1 WNT9A	
GO_ANION_CHANNEL_ACTIVITY							CLCNKA GABRE																																	
GO_ANION_TRANSMEMBRANE_TRANSPORT		RGS4 SLC7A4					AGT CLCNKA GABRE RGS4 SLC16A12			CLCNKA SLC16A12 SLC7A4			AGT RGS4		RGS4 SLC16A12	CLCNKA SLC38A5							SLC1A2 SLC38A5		GABRE RGS4 SLC16A12 SLC38A5						AGT GABRE RGS4 SLC16A12									
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							CLCNKA GABRE SLC16A12			CLCNKA SLC16A12 SLC7A4						CLCNKA SLC38A5							SLC1A2 SLC38A5																	
GO_ANION_TRANSPORT							AGT CLCNKA GABRE RGS4 SLC16A12 SLC6A17			CLCNKA PLTP SLC16A12 SLC7A4													DRD2 SLC1A2 SLC38A5		DRD2 GABRE RGS4 SLC16A12 SLC38A5						AGT DRD2 GABRE PLTP RGS4 SLC16A12									
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION																	DLL1 NKD1 SFRP1																							
GO_ANTIBACTERIAL_HUMORAL_RESPONSE										LTF SPON2																														
GO_ANTIGEN_BINDING										IGHG1 SPON2																														
GO_ANTIMICROBIAL_HUMORAL_RESPONSE										LTF SPON2																														
GO_AORTA_DEVELOPMENT																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4														
GO_AORTA_MORPHOGENESIS																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4														
GO_APICAL_JUNCTION_COMPLEX																									CDH5 PMP22									CDH5 JAM3 PMP22						
GO_APOPTOTIC_PROCESS										ACTN3 CDH5 CSF1R EVA1A FAIM2 ITPRIP LTF SHF VSTM2L							AKR1B1 CRLF1 DLL1 NTRK1 SFRP1 TP73 WNT9A										AKR1B1 CDH5 DOCK8 GADD45G							ADORA2A AGT AKR1B1 CDH5 DPEP1 GAL ITPRIP MDK MLLT11 NEUROD1			AGT LTF SOX4			
GO_APOPTOTIC_SIGNALING_PATHWAY							AGT FAIM2 G0S2 MLLT11 SFRP1						AGT MLLT11 ST18																											
GO_ARTERY_DEVELOPMENT																								DLL4 PROX1	DLL4 MDK PROX1 SOX4	DLL4 SOX4			DLL4 MDK											MDK PDE2A
GO_ARTERY_MORPHOGENESIS																								DLL4 PROX1	DLL4 MDK PROX1 SOX4	DLL4 SOX4			DLL4 MDK											
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY																															PGA3 PGA5			PGA3 PGA4						
GO_ASSOCIATIVE_LEARNING							AGT NEUROD2																								AGT DRD2 NEUROD2									
GO_ATPASE_ACTIVITY																										ATP13A4 HSPA2 KIF1A														
GO_ATP_METABOLIC_PROCESS			ACTN3 CBFA2T3																						ACTN3 AMPD3 CBFA2T3															
GO_AXIS_ELONGATION																	NKD1 SFRP1																							
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS																	NKD1 SFRP1																							
GO_AXIS_SPECIFICATION																	DLL1 SFRP1																							
GO_AXON				C1QL1 DSCAML1 KCNJ11 MAP6 NTRK1 SYP TUBB3							MAP6 SYT5						NTRK1 SLC1A2 TUBB3					DRD2 SCN1B STMN3 TUBB3 VSTM2L	DPYSL3 DRD2 SLC1A2								DRD2 MAP6 SCGN SCN1B SYP			ADORA2A C1QL1 DSCAML1 MAP6 STMN3				DPYSL3 SYT5 TUBB3	C1QL1 STMN3 SYP TUBB3	KCNJ11 MAP6 SCGN SCN1B SYP
GO_AXONOGENESIS_INVOLVED_IN_INNERVATION																NPTX1 NTRK1	NPTX1 NTRK1																							
GO_AXON_DEVELOPMENT			MATN2 NPTX1 SCN1B	DSCAML1 MAP6 NTRK1 TUBB3			GFRA1 JAM3 SCN1B									NPTX1 NTRK1 VASH2	EPHB3 NPTX1 NTRK1 SLITRK6 TUBB3					DRD2 EPHB3 NREP SCN1B TUBB3 VSTM2L		CSF1R EPHB3 SEMA6B							DRD2 JAM3 LINGO1 MAP6 SCN1B SLITRK6							MATN2 NREP TUBB3		LINGO1 MAP6 MATN2 SCN1B
GO_BASIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORT																																		AGT SLC7A4						
GO_BASIC_AMINO_ACID_TRANSPORT																																		AGT SLC7A4						
