TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
ETV1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	240	17	2.853650649115025e-11	5.81691001966e-06	ABCC8 GNG2 GNG4 HCN4 KCNB2 KCNG1 KCNH2 KCNH3 KCNH6 KCNH7 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2
MAFB	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	232	16	5.315425877228108e-11	1.08349641081e-05	GABBR2 GNG2 GNG4 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	106	20	8.458422851020941e-11	1.72415645553e-05	ABCC8 ADCY1 ADCY5 CACNA1A CAMK2B CHRNB2 GABBR2 GRIK3 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2 LRRTM3 PPM1E STXBP1
ETV1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	240	30	8.807266027588412e-11	1.79525549253e-05	ABCC8 CACNA1A CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GJD2 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNG1 KCNH2 KCNH3 KCNH6 KCNH7 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 LIN7A PRKCG SYN1 TUBA1A
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	250	30	2.1711887843167688e-10	4.42568608229e-05	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNB2 CHRNB2 DLG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNK16 KCNK17 LIN7A LRRTM3 PPM1E PRKCG SNAP25 STX1A SYN1 TUBA1A
ASCL1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	106	11	6.004114982971487e-10	0.000122385478167	ABCC8 GABBR2 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2
SOX4	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	280	31	8.036198373417847e-10	0.000163805849545	ABCC8 ADCY1 ADCY2 CACNA1A CHRNB2 CHRNB4 DLG2 GABBR2 GABRB3 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LIN7A LRFN1 LRRTM3 PPM1E SNAP25 STX1A TUBA1A TUBB2B
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	181	24	1.896957702030022e-09	0.000386664476236	ABCC8 ADCY5 CACNA1B CAMK2B CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK16 KCNK3 KCNMB2 LIN7A PPM1E PRKCG STXBP1 SYN1
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	182	24	2.1187779308817767e-09	0.000431876861985	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 CPLX1 GABRB3 GAD2 GNG2 GRIK5 KCNH8 KCNJ2 KCNK17 KCNMA1 KCNMB2 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B
FEV	WP	WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	152	0	250	17	4.25133950265888e-09	0.000866559033506	ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C CHRM4 GJD2 GNAO1 GNG2 GNG4 ITPR1 PRKCG PRKCH RGS17 RGS4 RGS9 SLC8A1
GATA2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	162	22	5.765557253845088e-09	0.00117519930061	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A DLG2 GABRB3 GJD2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 PPM1E SNAP25 STX1A TUBA1A
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	184	23	1.3001639875831472e-08	0.00265012425589	CACNA1A CACNB2 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 LIN7A PPM1E PRKCG SNAP25 TUBA1A TUBB4A
MAFB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	232	26	1.4759919508833264e-08	0.00300849963357	ADCY1 CACNA1A CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 SNAP25 STX1A SYN1
FEV	REACTOME	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	108	0	250	14	1.5296168442979763e-08	0.0031177874214	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C CACNB2 GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	181	12	1.589728504391985e-08	0.00324029591865	ABCC8 GABBR2 GNG4 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK16 KCNK3 KCNMB2
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	106	4	1.955485662286094e-08	0.00398578820601	INSM1 NEUROD1 NKX2-2 PAX4
FEV	REACTOME	REACTOME_REGULATION_OF_INSULIN_SECRETION	78	0	250	12	2.3550364880442487e-08	0.00480015312176	ABCC8 ADCY5 CACNA1A CACNA1C CACNB2 GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5
HMBOX1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	107	17	3.005862192484443e-08	0.00612666855521	ADCY1 ADCY2 ADCY5 CHRNB4 CPLX1 GNG2 HCN4 KCNH3 KCNH6 KCNH7 KCNJ6 KCNK3 LIN7A PPM1E SNAP25 TUBB2B TUBB4A
LMX1A	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	182	18	3.298131223683498e-08	0.00672235000405	ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 CPLX1 GABRB3 GAD2 GNG2 GRIK5 KCNJ2 LIN7A PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B
SOX4	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	280	14	3.439113549497108e-08	0.00700967001886	ABCC8 GABBR2 GNG2 GNG4 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2
NR4A3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	194	23	3.563641270964979e-08	0.00726344927489	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNB2 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 PRKCG SNAP25 STX1A STXBP1
TFCP2L1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	226	25	3.647568413978064e-08	0.00743447394137	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 DLG2 GABBR2 GNG4 GRIK5 KCNH2 KCNH7 KCNH8 KCNJ2 KCNJ6 KCNK3 KCNMB2 LRFN1 PPM1E PRKCG STX1A SYN1 TUBA1A TUBB4A
ARX	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	184	18	3.908625056947557e-08	0.00796652050482	ADCY1 CACNA1B CAMK2B CPLX1 DLG2 GAD2 GNG2 GNG4 GRIK3 GRIK5 KCNJ2 PRKCG SNAP25 STX1A STXBP1 SYN1 TUBA1A TUBB2B
LMX1A	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	0	182	11	4.094684014077643e-08	0.00834570306381	AGT CPB1 CPE GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 STX1A
ARX	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	184	22	6.08592577444611e-08	0.0124041513357	ABCC8 ADCY1 CACNA1B CAMK2B CPLX1 DLG2 GAD2 GNG2 GNG4 GRIK3 GRIK5 KCNA6 KCNB2 KCNJ2 KCNK17 PRKCG SNAP25 STX1A STXBP1 SYN1 TUBA1A TUBB2B
NR4A3	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	194	18	8.83694443176708e-08	0.0180111066631	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNJ2 PRKCG SNAP25 STX1A STXBP1
SPIB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	189	22	9.864007466386937e-08	0.0201043268176	ADCY1 CACNA1A CHRNB4 CPLX1 DLG2 GABBR2 GAD2 GJD2 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNG1 KCNH3 KCNJ2 KCNJ6 KCNK17 LIN7A LRRTM3 SYN1 TUBB2B
ASCL2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	103	16	1.0634847458224073e-07	0.0216753079985	ABCC8 ADCY1 ADCY5 CAMK2B CHRNA3 CHRNB2 DLG2 KCNB2 KCNH2 KCNH7 KCNJ11 KCNJ2 KCNK17 PPM1E STXBP1 TUBB4A
NEUROD1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	106	9	1.3224488415453095e-07	0.0269532265742	ABCC8 KCNB2 KCNH2 KCNH8 KCNJ11 KCNJ2 KCNK17 KCNK3 KCNMA1
NEUROD1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	106	16	1.60343472055402e-07	0.0326799237266	ABCC8 ADCY2 CAMK2B CHRNA3 CHRNB4 CPLX1 KCNB2 KCNH2 KCNH8 KCNJ11 KCNJ2 KCNK17 KCNK3 KCNMA1 STXBP1 TUBB4A
RFX6	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	0	184	4	1.808869672936808e-07	0.0368667536911	INSM1 NEUROD1 NKX2-2 PAX4
TFCP2L1	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	226	19	1.8427298165146766e-07	0.0375566763904	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 DLG2 GABBR2 GNG4 GRIK5 KCNJ2 KCNJ6 PPM1E PRKCG STX1A SYN1 TUBA1A TUBB4A
FEV	REACTOME	REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	48	0	250	9	2.393703575354067e-07	0.0487858331989	ADCY1 ADCY2 ADCY5 GNG2 GNG4 PRKCG PRKCH RGS17 RGS4
SIX2	WP	WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	152	0	191	13	3.0686423713177646e-07	0.0625413864414	ADCY1 ADCY5 CACNA1A CACNA1B CHRM4 GNAO1 ITPR1 PRKCG PRKCH RGS17 RGS5 RGS9 SLC8A1
TFCP2L1	WP	WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	152	0	226	14	3.3589067316430743e-07	0.0684568704256	ADCY1 ADCY2 ADCY5 CACNA1C CHRM4 GNAO1 GNG4 ITPR1 PRKCG PRKCH PRKD1 RGS17 RGS5 RGS9
TFCP2L1	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	0	226	16	4.683512935255152e-07	0.0954528037283	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 DLG2 GABBR2 GNG4 GRIK5 KCNJ2 KCNJ6 PPM1E PRKCG TUBA1A TUBB4A
LMX1A	WP	WP_SYNAPTIC_VESICLE_PATHWAY	52	0	182	8	5.025966716143415e-07	0.102431714658	CACNA1A CACNA1B CPLX1 SLC18A1 SNAP25 STX1A SYN1 SYP
SIX2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	191	21	5.075442729429724e-07	0.103439045459	ADCY1 ADCY5 CACNA1A CACNA1B CACNG4 CPLX1 DLG2 GABBR2 GABRB3 GAD2 KCNB2 KCNH7 KCNH8 KCNK16 KCNK17 KCNMA1 KCNMB2 PPM1E PRKCG STX1A STXBP1
NEUROG3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	191	21	5.075442729429724e-07	0.103439045459	ABCC8 ADCY5 CACNA1A CACNG4 CAMK2B CHRNB4 CPLX1 DLG2 GABBR2 GABRB3 GNG4 KCNG1 KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 SNAP25 STX1A
MAFA	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	225	23	5.390309737451915e-07	0.109855590511	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMB2 LIN7A PPM1E SNAP25 SYN1
FEV	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	250	12	5.451472376849509e-07	0.111101552187	ABCC8 GNG2 GNG4 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNK16 KCNK17
ARX	WP	WP_SYNAPTIC_VESICLE_PATHWAY	52	0	184	8	5.461821153129875e-07	0.111311915101	CACNA1B CPLX1 SLC18A1 SNAP25 STX1A STXBP1 SYN1 UNC13A
NEUROD1	WP	WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	162	0	106	10	6.807696664168361e-07	0.138740177246	CHRNB4 GCK KCNH2 MAP2 NEUROD1 NKX2-2 POU2F2 RET SSTR2 TP73
NEUROG3	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	0	191	12	6.857896457379553e-07	0.139762558222	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1
FEV	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	250	19	8.736548710031045e-07	0.178048241746	ADCY1 ADCY2 ADCY5 CACNA1A CACNB2 CHRNB2 DLG2 GNG2 GNG4 GRIK3 GRIK5 KCNJ2 LIN7A PPM1E PRKCG SNAP25 STX1A SYN1 TUBA1A
SMAD9	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	0	181	16	8.990675939291037e-07	0.183226379372	ADCY5 CACNA1B CAMK2B CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A PPM1E PRKCG STXBP1 SYN1
