TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
MAFB	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	192	16	2.7132185387301888e-11	9.26968400539e-06	GABBR2 GNG2 GNG4 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	154	24	6.861244905564945e-11	2.3441305995e-05	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CHRNB2 DLG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNK16 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	82	18	6.874256719413552e-11	2.34856918542e-05	ABCC8 ADCY5 CACNA1A CAMK2B CHRNB2 GABBR2 GRIK3 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 LRRTM3 PPM1E STXBP1
ETV1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	205	27	2.1652368786817533e-10	7.39744518654e-05	ABCC8 CACNA1A CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GJD2 GNG2 GNG4 GRIK5 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 LIN7A PRKCG SYN1 TUBA1A
MAFB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	192	26	2.6127988661528434e-10	8.92649668627e-05	ADCY1 CACNA1A CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 SNAP25 STX1A SYN1
GATA2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	130	21	5.238478539837388e-10	0.000178969476226	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A DLG2 GABRB3 GJD2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 PPM1E SNAP25 STX1A
ETV1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	205	14	6.400888707958075e-10	0.000218681882085	ABCC8 GNG2 GNG4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2
ASCL1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	82	10	7.54687978776758e-10	0.000257833110445	ABCC8 GABBR2 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17
NR4A3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	150	22	1.3312010382904305e-09	0.000454792853923	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNB2 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 PRKCG SNAP25 STX1A
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	166	23	1.72866509995373e-09	0.000590581144748	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 GABRB3 GAD2 GNG2 GRIK5 KCNH8 KCNJ2 KCNK17 KCNMA1 KCNMB2 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	157	22	3.1781132170394244e-09	0.00108576742136	ABCC8 ADCY5 CACNA1B CAMK2B CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2 LIN7A PPM1E PRKCG STXBP1
FEV	REACTOME	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	108	up	154	12	4.417216703522797e-09	0.00150908908016	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	179	23	7.63961449656847e-09	0.00260997497776	CACNA1A CACNB2 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 LIN7A PPM1E PRKCG SNAP25 TUBA1A TUBB4A
MAFA	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	181	23	9.475718876217343e-09	0.003237246694	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMB2 LIN7A PPM1E SNAP25 SYN1
NR4A3	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	150	17	1.0437991138090297e-08	0.00356598310246	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNJ2 PRKCG SNAP25 STX1A
LMX1A	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	up	166	11	1.574321817354729e-08	0.0053784185975	AGT CPB1 CPE GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 STX1A
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	102	4	1.6710113071027877e-08	0.00570872605879	INSM1 NEUROD1 NKX2-2 PAX4
FEV	REACTOME	REACTOME_REGULATION_OF_INSULIN_SECRETION	78	up	154	10	2.2248206166253226e-08	0.00760069916899	ABCC8 ADCY5 CACNA1A GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	157	11	3.699258277478634e-08	0.0126378130459	ABCC8 GABBR2 GNG4 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2
LMX1A	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	166	17	4.7880772235942004e-08	0.016357508219	ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 GABRB3 GAD2 GNG2 GRIK5 KCNJ2 LIN7A PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B
FEV	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	154	16	9.79708851822636e-08	0.0334696955339	ADCY1 ADCY2 ADCY5 CACNA1A CHRNB2 DLG2 GNG2 GNG4 GRIK3 GRIK5 LIN7A PPM1E SNAP25 STX1A SYN1 TUBA1A
