	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY									ADCY1 BCL2		ADCY1 BCL2																	ADCY1 BCL2																		
BIOCARTA_BOTULIN_PATHWAY		SNAP25 STX1A																																		SNAP25 STX1A										
BIOCARTA_CARDIACEGF_PATHWAY																																				ADAM12 AGT										
BIOCARTA_KERATINOCYTE_PATHWAY	PRKCG PRKCH																																													
BIOCARTA_PDZS_PATHWAY																																				DLG2 NFASC										
KEGG_ACUTE_MYELOID_LEUKEMIA																					AKT3 RUNX1T1																									
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																			ACSL6 CPT1C		AKT3 NPY	CPT1C MAPK10																								
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS									BCL2 NEFM																																					
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC								CACNA1C CACNB2 SLC8A1																										CACNA2D1 CACNG4		CACNA1C ITGA7 SGCD							SGCD SLC8A1			CACNA1C ITGA7
KEGG_AXON_GUIDANCE																					EFNB3 ROBO1										EPHA4 EPHB3				PLXNC1 ROBO1											
KEGG_BASAL_CELL_CARCINOMA																									PTCH1 WNT9A																					
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY																					AKT3 VAV3													AKT3 PLCG2					PLCG2 VAV3							
KEGG_CALCIUM_SIGNALING_PATHWAY		CAMK2B PRKCG SLC8A1						AVPR1B CACNA1C PRKCG SLC8A1						ADCY1 PRKCG	ITPR1 PLCG2	ADORA2A PLCG2												ADCY1 CACNA1H ITPR1											ADCY2 ADORA2A AVPR1B CACNA1C PLCG2							
KEGG_CARDIAC_MUSCLE_CONTRACTION								CACNA1C CACNB2 SLC8A1																										CACNA2D1 CACNG4												
KEGG_CHEMOKINE_SIGNALING_PATHWAY											ADCY1 ADCY5																	ADCY1 GNG4		GNG4 VAV3																
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION			FLT1 TNFSF14																																											
KEGG_DILATED_CARDIOMYOPATHY					CACNA1C MYBPC3			CACNA1C CACNB2 SLC8A1	ADCY1 MYBPC3		ADCY1 ADCY5 SGCD								ADCY2 ITGA7							MYBPC3 SGCD								ADCY1 CACNA2D1 CACNG4		ADCY2 CACNA1C ITGA7 SGCD			ADCY2 CACNA1C				SGCD SLC8A1			CACNA1C ITGA7
KEGG_ECM_RECEPTOR_INTERACTION		SPP1 SV2B					SPP1 SV2B												ITGA7 SV2B															SPP1 SV2B		ITGA7 SPP1 SV2A SV2B										
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION																JAM3 PLCG2																				JAM3 MAPK10 MAPK12			JAM3 PLCG2							
KEGG_ERBB_SIGNALING_PATHWAY		AKT3 CAMK2B PRKCG																																AKT3 PLCG2												
KEGG_FATTY_ACID_METABOLISM																			ACSL6 CPT1C																											
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY																					AKT3 VAV3	MAPK10 VAV3												AKT3 PLCG2		AKT3 MAPK10 MAPK12			PLCG2 VAV3							
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		AKT3 PRKCG																			AKT3 VAV3									AMPH VAV3				AKT3 AMPH PLCG2					PLCG2 VAV3							
KEGG_FOCAL_ADHESION		AKT3 PRKCG SPP1																												ITGA7 VAV3																
KEGG_GAP_JUNCTION		PRKCG TUBB2B							ADCY1 DRD2		ADCY1 ADCY5 TUBB4A			ADCY1 PRKCG					ADCY2 ITPR1					ADCY1 GJD2 TUBB2B				ADCY1 ITPR1 TUBB2B					ITPR1 TUBA1A	ADCY1 DRD2		ADCY2 DRD2 TUBA1A TUBB2B	DRD2 GJD2 TUBB2B									
KEGG_GLIOMA		AKT3 CAMK2B PRKCG																																AKT3 PLCG2												
KEGG_GNRH_SIGNALING_PATHWAY											ADCY1 ADCY5			ADCY1 MAPK12			CACNA1C MMP2		ADCY2 ITPR1									ADCY1 ITPR1								ADCY2 CACNA1C MAPK10 MAPK12			ADCY2 CACNA1C MMP2						CAMK2B ITPR1	
KEGG_HEDGEHOG_SIGNALING_PATHWAY																									PTCH1 WNT9A																					
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM					CACNA1C MYBPC3			CACNA1C CACNB2 SLC8A1																		MYBPC3 SGCD								CACNA2D1 CACNG4		CACNA1C ITGA7 SGCD							SGCD SLC8A1			CACNA1C ITGA7
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION														MAPK12 PRKCG		JAM3 PLCG2													MMP2 PLCG2					MMP2 PLCG2 RAPGEF4					JAM3 MMP2 PLCG2 VAV3							
KEGG_LONG_TERM_POTENTIATION		CAMK2B PRKCG						CACNA1C PRKCG						ADCY1 PRKCG														ADCY1 ITPR1																	CAMK2B ITPR1	
KEGG_MAPK_SIGNALING_PATHWAY	MAP3K12 PRKCG												MAP3K12 PRKCG	MAPK12 PRKCG																						AKT3 CACNA1A CACNA1C FGF14 FGF17 FGF9 MAPK10 MAPK12						CACNA1B MAPK10 MAPK8IP2				
KEGG_MELANOGENESIS		CAMK2B PRKCG									ADCY1 ADCY5			ADCY1 PRKCG																																
