	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	0.004982959041681889	1	0.0008505392517448307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0020862490874498096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	0.00013964333839278087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0010480134927223217	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014679204163253301	1	1	1	1	1	1	1	1	1	1
BIOCARTA_KERATINOCYTE_PATHWAY	0.0033879277772036476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_PDZS_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014679204163253301	1	1	1	1	1	1	1	1	1	1
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0154356431042324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.029627182945563435	1	0.020939842078722126	0.017490770553665214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	1	1	1	1	1	1	1	0.02122012761960812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	1	1	1	1	1	0.016663175596124957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0709092836895947	1	0.0415988929863903	1	1	1	1	1	1	0.017276774691550867	1	1	0.0008496559710873264
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06873061547257242	1	1	1	1	1	1	1	1	1	0.006890922246667541	1	1	1	0.022736159487843244	1	1	1	1	1	1	1	1	1	1	1
KEGG_BASAL_CELL_CARCINOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00340348914308064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025845000502303317	1	1	1	1	1	1	1	1	1	1	1	1	0.0725811918066177	1	1	1	1	0.06158652181520152	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.029763079926795277	1	1	1	1	1	0.0408140006735489	1	1	1	1	1	0.04429789674465079	0.029308016088991917	0.08864416825632015	1	1	1	1	1	1	1	1	1	1	1	0.012426587275070289	1	1	1	1	1	1	1	1	1	1	0.0026773656752883124	1	1	1	1	1	1	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	0.019807851019497225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07939458412502765	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.0423826127419501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09365159291438996	1	0.05666540828750066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
