	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024912387067682396	1	1	1	1	1	1	1	1	1	1	1	1	0.035685171100007906	1	1	0.050743175018025166	1	1	1	1	1	1	1	0.032448204524698654	1	1	1	1	1	0.0046409971303766895	1	1	1	1	1	1	1	0.029718335001803986	1	1	1	0.0030227538604583604	0.0035344070296092767	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001321887278100009	0.0007398864917558257	1	1	0.0009442859965674844	1	1	1	1	1	1	1	1	1	1	1	0.0015338385612554406	1	1	1	0.002045498840494764	1	1	1	0.0018804590519739817	1	1	1	0.0012546558218129444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02108249165123033	1	1	1	0.027644594067136263	1	1	1	1	1	1	1	0.0174255008263573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018088250871568734	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CK1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020403820572955977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_GHRELIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01673237142750794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_KERATINOCYTE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07526431054912297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09607905759635005	0.046569027407938	1	1	1	1	1	1	1	1	1	1	0.05892863853388697	1	1	1	1	1	0.01667961787736827	0.011628849104069694	1	1	1	0.018503997647263293	1	1
BIOCARTA_LAIR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01003579419957723	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_LIS1_PATHWAY	1	1	1	0.006088642029298708	1	1	1	1	1	1	1	1	1	0.034518789932787675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MAPK_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.02267337814260717	1	1	0.03366556594896808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05237658212037588	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09748522288644801	1	1	1	0.015798620046689194	1	1	1	1	1	0.03365427307056423	1	1	0.031063783975493475	1	0.012604706228703244	1
BIOCARTA_MELANOCYTE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0027686598843870147	0.00025772209574792537	1	1	1	1	1	1
BIOCARTA_MPR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02456788360498474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02576684332943746	1	1	0.03688279658700133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024271882772056386	1	1	0.024865385085814373	1	1	1	1	1	1	1
BIOCARTA_MTA3_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03119874134774192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02108249165123033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_NO1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06971677416460587	1	1	1	1	0.030795712994988955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05601485012580254	0.062164226405239886	1	0.019618166102892354	1	1	1	1	1	1	1	1	1	0.0261564668126546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
