	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
BIOCARTA_ACE2_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019943019349224267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0352738515154325	1	1	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.0015338385612554406	0.0008873921963259424	1	1	0.0011253406714804015	1	1	1	1	1	1	1	1	1	1	1	0.001921087195878024	1	1	0.0027970863315209815	1	1	1	0.0014974472604585287	1	1	0.0014259427747652653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02606445619276221	1	1	0.03700256273985181	1	1	1	1	1	1	0.019676061511765486	1	1	1	1	1	1	1	1	1	1	1	1	0.01990757463646442	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_GHRELIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	0.019117464373253013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MPR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.02823551404029867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017889789529046296	1	0.049130397340501286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.026681627048174894	1	1	0.025464869969141546	1	1	1	1	1	1	1	1
BIOCARTA_PDZS_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	0.035514468326003135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019676061511765486	1	1	0.016558605539195415	1	1	1	1	0.02277537702553989	1	0.015088254231031661	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ABC_TRANSPORTERS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.034697480043349715	1	1
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025129402477609197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03381619993670837	1	1	1	1	1	0.02512524785936532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	1	1	1	1	1	1	1	1	0.020272432138814245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09182590878591301	1	1	1	1	1	1	1	1	1	0.07214821468124033	0.07214821468124033	1	1	1	1	0.08892460454380968	1	1	1	1	1	1	1	1
KEGG_ARACHIDONIC_ACID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.057128522802367576	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03372398081034167	1	1	0.04545900496570199	1	1	1	1	1	1	1	1	1	0.04454737005477094	1	1	1	0.027979813819218435	0.0016199897470872138	1	1	0.004392398494145078	0.002250872973690643	1	0.008559610080630886	1	0.0007398959610773748	0.009866032628571553	1	1	0.04589392355365074	0.0631605283982184	1	0.002837229753379189	0.043215962591669044	0.0076728461707615825	0.0076728461707615825	1	0.012674694300272571	1	1	1	1	1	1	0.01914065324401626	1	1	1	1
KEGG_AXON_GUIDANCE	1	0.06070140527980117	1	1	1	1	1	1	1	1	1	0.06467876835529962	1	1	1	1	0.012762743287942357	1	1	1	1	1	1	1	0.003722408378257991	1	1	1	1	1	1	0.06977801499290326	1	1	1	0.0011314918325411316	1	1	0.07179796095491497	0.03457567251637461	0.04216554041722498	0.014250404586734433	1	1	1	1	0.08958888250411545	1	0.011718749590967303	0.011718749590967303	1	1	1	0.0001711889794669963	1	1	0.02455731801150307	1	0.05302566298555744	1	0.054977088793052076	1	1
KEGG_BETA_ALANINE_METABOLISM	1	1	0.024601949777905308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_BLADDER_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09182590878591301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.022648170670297008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05267259525432577	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	0.08056812339476294	1	1	1	1	1	1	1	1	1	1	0.009986227867185171	1	1	1	1	0.012530437442699993	1	1	1	1	1	1	1	0.05739768959988645	0.06150190783857101	1	1	1	1	0.05932158288851164	0.03293163098004315	0.09276897167078846	0.0408140006735489	1	0.006822274850550869	0.0639895897707301	1	0.00031756744304400897	0.0030228251528429118	1	1	1	1	0.07571117778671144	1	0.02982721169663627	1	0.040038715021292526	0.040038715021292526	1	0.02192348215819029	1	0.006811647733646731	1	1	1	1	1	1	1	1	0.01917203539005774
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.06416700550723387	1	1	0.07740774527241456	1	1	1	0.010352861013610104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002265714987175649	1	1	0.005274546525091406	0.00044165826354880533	1	0.009707635584614627	1	0.0009462933862143252	0.011782391610622556	0.057090141859437504	1	0.05159384356293506	0.0708021526771927	1	0.0005860818517964272	0.04860661486363882	0.0014551948015143479	0.009624655631910617	1	0.01579817557367791	1	0.012936596016322577	0.067910368784865	1	1	1	0.0014975432395464283	1	1	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.06404520641654465	0.016507566032264	1	1	1	1	1	1	1	0.07247541684034586	1	1	1	1	1	0.05536204376451215	1	1	1	1	1	1	1	1	1	1	1	0.01134866919537636	0.04239900313245337	1	0.02635152206254665	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09750566792049942	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.0903039098591677	1	1	1	1	1	1	1	1	1	1	1	0.06625015382957633	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0800837876038436	1	1	1	1	1	0.08699089796187864	1	1	1	1	1	1	0.08174176169563863	1	1	1	1	1	1	1	1	1	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025256990487481645	1	0.06646135760869831	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	1	1	1	1	0.016250781418706506	0.06019146361829775	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005223862821276404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_DILATED_CARDIOMYOPATHY	1	1	0.07907855924216078	1	1	1	1	1	1	1	1	1	0.02676089541127602	0.05484243319353799	1	1	0.0028387564176520774	1	1	1	1	1	1	1	0.009877175387103199	1	0.06310050072175666	1	1	0.059138139078752094	0.0027534683940064753	0.0008586680773819966	1	1	0.007569308077207126	0.005241541811180195	1	0.012459817240514148	0.09604888214366503	0.00013744164072038156	0.01670563660885971	1	1	0.008298463800819889	0.0015374423399787673	1	0.006549388193256012	0.061261447952077	0.014986697538861282	0.014986697538861282	0.055901726959691866	0.004850232372419883	1	1	0.0920079006370047	1	1	1	0.027578006899316887	1	1	1	1
KEGG_ECM_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010920504529629338	1	1	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	1	1	0.0014993037306254564	1	1	1	1	1	0.07589124283475468	1	1	0.09666591205667996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023068842427801606	0.010187006898928264	1	0.08889895163739858	1	1	0.07188407513296524	1	1	1	1	1	1	0.06399214362230854	0.06399214362230854	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ETHER_LIPID_METABOLISM	1	1	0.05195735933996548	1	1	1	1	1	1	1	1	1	0.0644065103371323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09266155883852045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08111011644636479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FOCAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	0.039908580034414554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09467907709693146	1	1	0.07008269501471753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006081955173995346	1	1	1	0.04393714219970135	1	1
KEGG_FOLATE_BIOSYNTHESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0078418038378687	1	1	1	1	1	0.006261234766511636	0.004628263098890417	1	1	1	0.00869324304685204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	1	0.054811442250683684	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0974833387845001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04961293715808779	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GALACTOSE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	0.06920724053767546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06115079571682169	1	1	0.015191141576995415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030345281747035102	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GAP_JUNCTION	1	1	0.07907855924216078	1	0.01843845055426152	1	1	1	1	1	1	1	0.02676089541127602	1	1	1	1	1	1	1	1	1	1	1	0.009877175387103199	1	1	1	1	0.059138139078752094	1	1	1	1	1	1	1	1	0.09604888214366503	1	0.01670563660885971	1	1	1	0.013527333386086138	1	0.03051274226969669	1	1	1	1	1	1	1	0.0007041793071661528	1	1	1	1	1	1	1	1
KEGG_GLIOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.044244826958715455	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLUTATHIONE_METABOLISM	1	1	1	1	1	1	1	1	1	0.02808353063402469	1	1	1	0.08236546885611262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02733468873612732	1	1	1	1	1	1	1	0.031160539226739448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCEROLIPID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0784692332113619	1	1	1	1	1	0.09403384098268175	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03716856828537707	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	1	0.01176477321393865	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018387414592682783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GNRH_SIGNALING_PATHWAY	1	1	0.026270577469906464	1	1	1	1	1	1	1	1	1	1	1	0.06840648016892825	1	0.09522009220530114	1	1	1	1	1	1	1	0.013486501528450323	1	1	1	1	0.07773018858454506	1	1	1	0.03726752812057299	1	1	1	1	0.03434795090505827	0.018382068013650277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	1	1	1	1	0.0018677572410148446	1	1	1	0.07589124283475468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	1	1	1	1	1	1	0.0005766089378128614	1	1	1	1	1	0.044969387324929944	1	1	0.06015880100971849	1	1	1	1	1	1	1	1	1	0.0546979041206066	1	1	1	0.009396005529551665	0.0005275625587731758	1	1	0.006051740637590952	0.003710847468595846	1	0.010672802254410363	1	0.0011382838524252037	0.013459196262420758	0.06428844283521817	1	0.056326991342332766	0.07712151587623195	1	0.004654494241221663	0.006051740637590952	0.011399512830101544	0.00181294018776057	1	0.018617004812184756	1	1	1	1	1	1	0.02372871339217908	1	1	1	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	1	1	1	1	0.005797076543261892	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018536024808400442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07319841401116434	1	1	1	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.052533695447346096	1	1	1	1	1	1	1	0.06615567185339111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_LONG_TERM_DEPRESSION	1	1	1	0.0600668724122988	1	1	1	1	1	0.05181137617859144	1	0.029303202120631755	0.058051631921781754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03752247853817425	1	1	1	1	1	1	1	1	1	1	1	0.07934402121339179	1	1
KEGG_LONG_TERM_POTENTIATION	1	1	1	1	0.07022456729910131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04655744879633672	1	1	1	1	1	1	1	1	0.09203875824765417	1	0.056379652448109496	1	1	0.01026372450152202	0.057266857327723075	1	1	1	1	1	1	0.06408716815045346	1	1	0.03752247853817425	1	0.053916038688181844	1	1	0.050714866153920735	1	1	1	1	1	1	1	1
KEGG_MAPK_SIGNALING_PATHWAY	1	0.04967089422658377	0.07812695351340326	1	1	1	1	1	1	1	1	0.07877986706618456	0.002031001739527416	1	1	1	1	1	1	1	1	1	1	1	0.04243346532915038	1	1	1	1	1	1	0.016347724463374846	1	1	1	0.018455162063606645	1	0.09023895045893437	1	0.016049113771137158	0.07600307652424854	0.0761581950103154	1	0.03478852691882017	1	1	0.0027463400742534505	0.031292922046794236	0.022901122237919735	0.007294641448678196	1	0.016699894324078368	1	1	1	1	1	1	0.04106304800756311	1	1	0.01336414184569168	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	0.031266368549622836	1	1	1	1	1	0.0005775456711154536	1	0.0031037799780022635	0.06457232515427158	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0014505615511917203	1	1	0.04794062483145767	1	0.05701451729275908	0.008526006366903371	1	2.9575521973912444e-05	1	0.0381924942328955	1	1	1	1	0.009707635585234353	0.03087637063500015	1	1	1	1	6.698815571137828e-07	1	0.02820250016231174	1	1	0.03693043640284133	1	1	0.0352738515154325	1	1	1	1	1	1	1	1
KEGG_MELANOGENESIS	1	1	1	1	0.02492168151388341	1	1	1	1	0.015827015630303087	1	0.08835552303895744	1	1	1	1	1	1	1	1	1	1	1	1	0.08845412902759975	1	1	1	1	1	1	1	1	0.006268357607559838	0.010372763120820472	1	1	1	0.007660097639522467	1	1	1	1	1	1	1	1	1	1	0.02193390058947431	1	1	1	1	0.007085481489228829	0.06418532246606645	1	1	1	1	1	1	1
KEGG_MELANOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.047758134501027394	1	1	1	1	1	1	1	1	1	1	0.05835005301435481	1	1	1	1	1	0.04393769607039344	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_MTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.027550045074968166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	0.06896778544621385	1	1	1	1	0.006569583387835309	0.05386202277793872	0.0617741297648885	0.015944720298085358	0.02173317857804713	1	0.005810668134872743	0.029713917638346965	0.027701649352559032	1	1	1	1	1	1	0.04019998385134449	1	1	1	1	1	1	1	1	0.0430019234505602	0.04823173423910754	0.03317326243286811	1	1	1	0.017845140737521747	1	1	0.0032582628511820255	0.04467574464291313	1	1	1	1	1	1	0.0678235037504441	0.004766859524632627	1	1	0.02130429031836678	0.044003350942078634	1	1	1	1	1	1	1	0.041990817052128815
KEGG_OOCYTE_MEIOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.048546956365057126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004555566850940385	1	1	1	1	1	0.036986840060381665	1	1	1	1	1	1	1	0.028924573361575834	1	1	1	1	1	1	1	1
KEGG_PPAR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010662039758357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0641670055098198	1	0.027630528638461715	1	1	1	1	1	1	1	1	1	1	1	0.04895371528431958	1	1	1	1	1	1	1	1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	1	1	1	1	1	1	1	1	1	1	1	0.022242758698130083	1	1	1	0.06369348755325399	1	1	1	1	1	1	1	0.008449675587008487	1	1	1	1	0.0514809947689735	1	1	1	1	1	1	1	1	0.019730186154374163	1	1	1	1	1	0.08034618318800613	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07473890234487668	1	1	1
