	ASCL1	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	POU2F2	RFX6	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.211525149882	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.190020680131	1	0.0415586623309	1	1	1	0.572528051867	1	1	1
REACTOME_CHYLOMICRON_ASSEMBLY	1	1	1	1	0.397289878513	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CHYLOMICRON_REMODELING	1	1	1	1	0.397289878513	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	1	1	1	1	1	0.383716484014	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	1	1	1	1	0.29452545986	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.248188623626	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.098157658098
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1	1	1	1	1	1	0.188758330189	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	0.021801754415	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	0.3200356092	1	1	1	0.898260803906	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.464565645374	1	1	1	1	1	1	1	1	1	1	1	1	0.650400552923	1	1	0.488208749385	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.725377792219	1	0.517276113435	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	0.00028985748527	5.76439405719e-06	0.0143772600731	0.0256581182597	1	1	0.00104625263634	0.84388037338	2.71518906914e-06	2.46519337095e-05	0.463452197208	0.252062223352	4.90699241142e-05	0.894675862681	0.741442947235	7.55603573577e-06	1.69376169916e-05	0.00161967874756	0.0268515565119
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.158459217395	0.534856194314	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	0.761832966482	1	0.000959019365765	1	1	0.0	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.0124701235352	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.00195655373181	1.33756779946e-05	1	1	1	1	1	1	0.000202140065397	6.83775224741e-06	0.0175876952576	0.184028255432	1	0.634806543908	0.139964087497	0.300711109481	0.0392827340723	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.00413488152604	1	1	1	1	0.0445741164054	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	1	1	0.450571994048	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	0.448223796662	1	1	1	1	0.0036042179561	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	0.839425985147	1	1	1	1	0.0797759846072	1	0.316710304754	1	1	1	0.0527416934756	1	1	0.000752273765334	0.0474627126815	0.0575027709558	1
WP_DOPAMINERGIC_NEUROGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.671609859936	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	0.427616032564	1	1	1	1	1	1	0.832354592649	1	1	1	1	0.00844990963835	1	1	1
WP_SYNAPTIC_VESICLE_PATHWAY	1	1	1	1	1	1	1	1	1	0.784802199542	1	1	1	1	1	1	1	1	1
