	ARX	FOXP2	ONECUT1	SOX4	TFCP2L1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	1	0.86447519411	1	1	1
REACTOME_CA2_ACTIVATED_K_CHANNELS	1	1	1	0.93636514744	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	0.200884909101	1	1	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	0.393499581471	1	1	1
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	1	0.225723295323	1	1
REACTOME_NEURONAL_SYSTEM	0.0900885671504	0.338050269071	1	0.000113472358868	1
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0.0118819482548	1	1	1	1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	0.929144339336	1	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	0.000410418929069	0.869432919922
REACTOME_POTASSIUM_CHANNELS	1	1	1	0.0220749393876	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	0.114380488929	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	0.267339890884	1	1	1
