	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BOTULIN_PATHWAY		SNAP25 STX1A																																		SNAP25 STX1A											
BIOCARTA_CARDIACEGF_PATHWAY																																				ADAM12 AGT											
KEGG_ACUTE_MYELOID_LEUKEMIA																					AKT3 RUNX1T1																										
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																					AKT3 NPY																										
KEGG_ARACHIDONIC_ACID_METABOLISM																						GGT5 JMJD7-PLA2G4B																									
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC					CACNA1C CACNG6			CACNA1C CACNB2 CACNB4 SLC8A1													CACNA1C CACNG6													CACNA2D1 CACNG4		CACNA1C CACNB4 CACNG7 SGCD				CACNA1C CACNB4				SGCD SLC8A1			
KEGG_AXON_GUIDANCE																					ABLIM2 EFNB3																										
KEGG_BLADDER_CANCER																													MMP2 PGF																		
KEGG_CALCIUM_SIGNALING_PATHWAY		CAMK2B PRKCG SLC8A1						AVPR1B CACNA1C PRKCG SLC8A1							ADCY1 PRKCG													ADCY1 CACNA1H												ADCY2 ADORA2A AVPR1B CACNA1C P2RX6						CAMK2B GRIN1 P2RX6	
KEGG_CARDIAC_MUSCLE_CONTRACTION					CACNA1C CACNG6			CACNA1C CACNB2 CACNB4 SLC8A1												ATP1A3 CACNB4	CACNA1C CACNG6													CACNA2D1 CACNG4		ATP1A3 CACNA1C CACNB4 CACNG7											
KEGG_CELL_ADHESION_MOLECULES_CAMS				CLDN6 NRXN2													CLDN6 JAM3	CLDN6 NRXN2			CADM3 CLDN6 NEGR1													CLDN6 NEGR1 NFASC NRXN2		JAM3 NFASC NRXN2 VCAN											
KEGG_CHEMOKINE_SIGNALING_PATHWAY			ADCY1 CCR6																									ADCY1 GNG4								ADCY2 AKT3 CCL19 GNG2 GNG4											
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES																			C7 F10																						CFH F10						
KEGG_DILATED_CARDIOMYOPATHY								CACNA1C CACNB2 CACNB4 SLC8A1			ADCY1 SGCD									ADCY2 CACNB4	CACNA1C CACNG6		ADCY2 CACNG6											ADCY1 CACNA2D1 CACNG4		ADCY2 CACNA1C CACNB4 CACNG7 SGCD				ADCY2 CACNA1C CACNB4				SGCD SLC8A1			
KEGG_ECM_RECEPTOR_INTERACTION		SPP1 SV2B					SPP1 SV2B																											SPP1 SV2B		SPP1 SV2A SV2B THBS4											
KEGG_ENDOCYTOSIS	DNM3 PARD6A																						DNM3 RET																								
KEGG_ERBB_SIGNALING_PATHWAY		AKT3 CAMK2B PAK6 PRKCG																																		AKT3 EIF4EBP1 PAK6										CAMK2B EIF4EBP1	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY																																		AKT3 JMJD7-PLA2G4B													
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	DNM3 PRKCG	AKT3 PRKCG																																AKT3 AMPH													
KEGG_FOCAL_ADHESION		AKT3 PAK6 PRKCG SPP1																																	CCND2 PGF	AKT3 CCND2 PAK6 PDGFD SPP1 THBS4	PDGFD THBS4										
KEGG_FOLATE_BIOSYNTHESIS																																								GCH1 QDPR							
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM																																								AKR1B1 KHK						AKR1B1 KHK	
KEGG_GAP_JUNCTION		PRKCG TUBB2B TUBB3	ADCY1 PDGFD						ADCY1 PDGFD		ADCY1 TUBB4A				ADCY1 PRKCG													ADCY1 TUBB2B								ADCY2 PDGFD TUBA1A TUBB2B	PDGFD TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
KEGG_GLIOMA		AKT3 CAMK2B PRKCG																																													
KEGG_GLUTATHIONE_METABOLISM																						GGT5 GSTA2																									
KEGG_GLYCEROLIPID_METABOLISM																																			AKR1B1 LIPC					AKR1B1 LIPC							
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM																																		JMJD7-PLA2G4B PCYT1B													
KEGG_GNRH_SIGNALING_PATHWAY																		CACNA1C MMP2										ADCY1 JMJD7-PLA2G4B						ADCY1 JMJD7-PLA2G4B MMP2						ADCY2 CACNA1C MMP2							
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM					CACNA1C CACNG6			CACNA1C CACNB2 CACNB4 SLC8A1													CACNA1C CACNG6					ACE SGCD								CACNA2D1 CACNG4		CACNA1C CACNB4 CACNG7 SGCD								ACE SGCD SLC8A1			
KEGG_JAK_STAT_SIGNALING_PATHWAY																																												CSH1 IL11			
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION																	CLDN6 JAM3	CLDN6 MMP2																CLDN6 MMP2 RAPGEF4													
KEGG_LONG_TERM_POTENTIATION		CAMK2B PRKCG													ADCY1 PRKCG																															CAMK2B GRIN1	
KEGG_MAPK_SIGNALING_PATHWAY	MAP3K12 PRKCG												MAP3K12 PRKCG								AKT3 CACNA1C CACNG6							CACNA1H JMJD7-PLA2G4B						AKT3 CACNA2D1 CACNG4 JMJD7-PLA2G4B													
KEGG_MELANOGENESIS		CAMK2B PRKCG													ADCY1 PRKCG																																
KEGG_MELANOMA							FGF14 PDGFD														AKT3 PDGFD															AKT3 FGF14 PDGFD											
KEGG_MTOR_SIGNALING_PATHWAY																																			EIF4EBP1 PGF												
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	CHRNB2 SSTR3								BRS3 CHRNA5 CSH1 GABBR2 GABRB3 SSTR5		CHRNA3 CHRNA5 CHRNB2						ADORA2A CHRNA5 SSTR1								GABBR2 GRIN1 SSTR1					ADORA2A GABRP GRIK5										ADORA2A AVPR1B CSH1 GABRA1 P2RX6						BRS3 GRIN1 P2RX6 SSTR5	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		AKT3 CAMK2B																																													
KEGG_NON_SMALL_CELL_LUNG_CANCER		AKT3 PRKCG																																													
KEGG_P53_SIGNALING_PATHWAY																						CCND2 TP73																									
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		TUBB2B TUBB3																																										TUBB2B TUBB3	TUBA1A TUBB3		
KEGG_PATHWAYS_IN_CANCER																																													CSF1R MMP2 WNT9A		
KEGG_PPAR_SIGNALING_PATHWAY																				APOA1 CPT1C						APOA1 APOC3																					
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION					MAD2L2 SPDYA																													ADCY1 AKT3													
KEGG_PROSTATE_CANCER																					AKT3 PDGFD																										
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION									ATP1A3 SLC38A3																																						
KEGG_RENAL_CELL_CARCINOMA		AKT3 PAK6																		PAK6 PGF																											
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		SNAP25 STX1A																																		SNAP25 STX1A											
KEGG_TGF_BETA_SIGNALING_PATHWAY					ID4 LEFTY1																													ID4 LEFTY1													
KEGG_TIGHT_JUNCTION	PARD6A PRKCG	AKT3 PRKCG	CLDN6 PARD6A														CLDN6 JAM3 PARD6A				AKT3 CLDN6																										
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		AKT3 SPP1																																AKT3 SPP1													
KEGG_TYPE_II_DIABETES_MELLITUS					CACNA1C KCNJ11																															ABCC8 CACNA1A CACNA1C											
KEGG_TYPE_I_DIABETES_MELLITUS								CPE PTPRN																																CPE PTPRN							
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		AKT3 PAK6		GRAP2 PAK6																																											
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION			ADCY1 KCNMB2					AVPR1B CACNA1C KCNMB3 PRKCG			ADCY1 KCNMB3				ADCY1 PRKCG							JMJD7-PLA2G4B KCNMB3						ADCY1 JMJD7-PLA2G4B								ADCY2 CACNA1C KCNMA1 KCNMB2 KCNMB3				ADCY2 ADORA2A AVPR1B CACNA1C							
KEGG_VEGF_SIGNALING_PATHWAY		AKT3 PRKCG																																AKT3 JMJD7-PLA2G4B													
KEGG_VIBRIO_CHOLERAE_INFECTION		ATP6V0E2 PRKCG																																													
KEGG_WNT_SIGNALING_PATHWAY																						CCND2 NKD1 SFRP1 WNT9A															NFAT5 NKD1 WNT9A								NKD1 WNT9A		
NABA_CORE_MATRISOME					AEBP1 LGI3 MFAP2 VWA5B2			COL14A1 IGSF10 IMPG1 LGI3 MMRN1 SPOCK3										AEBP1 SPOCK3 VWA5B2		AEBP1 COL14A1 IGSF10 SMOC1	AEBP1 LGI3 SPARC								AEBP1 LTBP2 SPON2							BGN COL14A1 IGSF10 LGI3 MMRN1 SMOC1 SPP1 THBS4 VCAN											
NABA_ECM_AFFILIATED			ANXA6 ELFN1 GPC2		C1QL1 MUC2 MUC5B		GPC6 MUC17							MUC16 MUC5AC											MUC17 MUC5B												GPC6 MUC5B								ANXA6 C1QL1	ANXA6 MUC17 MUC3A MUC5B	MUC2 MUC3A
NABA_ECM_GLYCOPROTEINS					AEBP1 LGI3 MFAP2 VWA5B2							MMRN1 SPON2								AEBP1 IGSF10 SMOC1	AEBP1 LGI3 SPARC								AEBP1 LTBP2 SPON2					LTBP2 SPON2 SPP1		IGSF10 LGI3 MMRN1 SMOC1 SPP1 THBS4											
NABA_ECM_REGULATORS												CELA3A CELA3B MMP11						ADAMTSL2 AGT MMP2 SERPINA10		ADAMTSL1 F10 MEP1B MMP11 PAPPA2 SERPINA10							CELA3A CELA3B		CELA3B MMP2 SERPINI1					ADAM12 MMP11 MMP2 SERPINA10 SERPINI1		ADAM12 ADAMTSL1 AGT MEP1B PAPPA2 SERPINA10		ADAMTS2 MEP1B		ADAMTSL2 AGT F10 MMP2							
NABA_MATRISOME			AEBP1 ANXA6 ELFN1 GPC2 LEFTY1 PDGFD SCUBE1			ADAMTSL2 CFC1 GPC2	ADAM12 CFC1 FGF14 GPC6 MDK MUC17 PDGFD SPP1	ADAMTSL2 AGT CCL19 COL14A1 F10 GPC2 IGSF10 IMPG1 LGI3 MMRN1 PLXNC1 SFRP1 SPOCK3	ADAMTSL2 COL14A1 CSH1 IGF2 IGSF10 LEFTY1 PDGFD PGF SPARC			CELA3A CELA3B MMP11 MMRN1 MUC5AC SPON2		IFNE MUC16 MUC5AC				ADAMTSL2 AEBP1 AGT INS-IGF2 MMP2 SERPINA10 SPOCK3 VWA5B2		ADAMTSL1 AEBP1 ANXA6 CFC1 COL14A1 F10 GPC2 IGSF10 LEFTY1 MEP1B MMP11 PAPPA2 PGF S100A1 SERPINA10 SMOC1							CELA3A CELA3B FBN1 GPC6		AEBP1 CELA3B LTBP2 MDK MMP2 MUC17 PGF SERPINI1 SPON2					ADAM12 GPC2 LEFTY1 LTBP2 MDK MMP11 MMP2 SERPINA10 SERPINI1 SPON2 SPP1		ADAM12 ADAMTSL1 AGT ANXA6 BGN CCL19 CFC1 COL14A1 FGF14 GPC6 IGSF10 LGI3 MDK MEP1B MMRN1 PAPPA2 PDGFD S100A1 SERPINA10 SMOC1 SPP1 THBS4 VCAN		ADAMTS2 LEFTY1 MEP1B		ADAMTSL2 AGT BGN C1QL1 CSH1 F10 GPC2 INS-IGF2 MDK MMP2 S100G SPOCK3	F10 IL11 LGI3 MUC17		ADAMTS2 AGT CLEC4G GDF1 INS-IGF2 LGI3		ANXA6 C1QL1 INS-IGF2 LGI3 MMP2 WNT9A	AGT ANXA6 CFC1 FGF14 MDK MUC17 MUC3A MUC5B S100A1 SCUBE1 SERPINA10 SPON2	MUC2 MUC3A VWA5B2
NABA_MATRISOME_ASSOCIATED			ANXA6 ELFN1 GPC2 LEFTY1 PDGFD SCUBE1			ADAMTSL2 CFC1 GPC2	ADAM12 CFC1 FGF14 GPC6 MDK MUC17 PDGFD		ADAMTSL2 CSH1 IGF2 LEFTY1 PDGFD PGF			CELA3A CELA3B MMP11 MUC5AC		IFNE MUC16 MUC5AC				ADAMTSL2 AGT INS-IGF2 MMP2 SERPINA10		ADAMTSL1 ANXA6 CFC1 F10 GPC2 LEFTY1 MEP1B MMP11 PAPPA2 PGF S100A1 SERPINA10					MUC17 MUC5B WNT9A				CELA3B MDK MMP2 MUC17 PGF SERPINI1					ADAM12 GPC2 LEFTY1 MDK MMP11 MMP2 SERPINA10 SERPINI1		ADAM12 ADAMTSL1 AGT ANXA6 CCL19 CFC1 FGF14 GPC6 MDK MEP1B PAPPA2 PDGFD S100A1 SERPINA10		ADAMTS2 LEFTY1 MEP1B		ADAMTSL2 AGT C1QL1 CSH1 F10 GPC2 INS-IGF2 MDK MMP2 S100G	F10 IL11 MUC17	GPC6 PDGFD S100A1	ADAMTS2 AGT CLEC4G GDF1 INS-IGF2		ANXA6 C1QL1 INS-IGF2 MMP2 WNT9A	AGT ANXA6 CFC1 FGF14 MDK MUC17 MUC3A MUC5B S100A1 SCUBE1 SERPINA10	
NABA_PROTEOGLYCANS								IMPG1 SPOCK3			SPOCK3 VCAN																									BGN VCAN				BGN SPOCK3							
NABA_SECRETED_FACTORS			LEFTY1 PDGFD SCUBE1				CFC1 FGF14 MDK PDGFD		CSH1 IGF2 LEFTY1 PDGFD PGF																																	PDGFD S100A1				CFC1 FGF14 MDK S100A1 SCUBE1	
PID_AJDISS_2PATHWAY								GFRA1 RET	GFRA1 IGF2																																						
PID_AMB2_NEUTROPHILS_PATHWAY																																								JAM3 MMP2							
PID_AR_NONGENOMIC_PATHWAY																																				GNAO1 GNG2											
PID_AVB3_OPN_PATHWAY																																		MMP2 SPP1													
PID_E2F_PATHWAY																						SULT2A1 TP73																				CES1 TP73					
PID_ENDOTHELIN_PATHWAY								PRKCG TRPC6	ADCY1 TRPC6						ADCY1 PRKCG																																
PID_ER_NONGENOMIC_PATHWAY																		GNAO1 MMP2																		GNAO1 GNG2											
PID_HNF3B_PATHWAY																				APOA1 CPT1C UCP2		CPT1C TTR	APOA1 TTR																					GCK TTR		CPT1C KCNJ11	
PID_INTEGRIN1_PATHWAY							MDK SPP1																											MDK SPP1													
PID_INTEGRIN2_PATHWAY								F10 JAM3																																F10 JAM3							
