	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.00300236760311	0.739480655629	1	1	1	1	1	1	1	1	1	1	1	1	0.849231881863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	0.97953728696	1	1	0.0312569628162	0.354769376663	1	1	1	1	1	1	1	1	1	0.145497172239	0.766207638301	1	1	1	0.953087503084	1	1	0.000276374965278	0.210159712563	1	0.000828500677543	1	1	1	1	1	0.267706867823	1	0.00184666837435	1	1	0.186087785026	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.201609096742	1	1	1	1	1	1	1	1
GO_AXON	1	0.0577787558896	0.0	1	0.0740475126817	0.0	0.0	0.0	0.0	0.0176529290493	1	0.0	1	1	1	1	0.0501876966984	0.0	0.000153042163902	0.0	0.0	1	0.231911553051	0.116988381705	0.0	1	1	0.0	0.00718826665063	0.195459908185	0.00638635102183	0.000710712152526	1	1	0.0	0.134724031462	0.0	0.0	0.0	1.05023841224e-05	1	0.0	1	1	0.988671219943	0.00385737854618	0.290028532302
GO_AXON_DEVELOPMENT	1	1	0.00427000972127	1	1	1	0.000137977309019	0.0126996497981	1	1	1	0.803139530153	1	1	1	1	1	1	1	0.852318499819	1	1	1	1	0.000169704161457	1	1	0.0104376664962	1	1	1	1	1	1	1	1	1	1	0.00161924752805	1	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.00517158563285	1	0.0273191619816	0.26760726051	1	1	0.18729434345	1	1	1	1	1	0.0309133107682	1	0.000473068091196	4.12996175562e-05	1	1	1	1	1	1	2.85540584348e-05	0.0308413090106	0.828672830731	0.000370079951044	1	1	1	1	1	0.000829892381261	0.514756808308	9.69913116399e-05	0.0453515130466	1	8.63926387092e-05	1	1	1	1	0.072858862106
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.405931421672	1	1	1	0.337275004086	1	1	1	0.0138386816146	1	1	1	1	1	1	1	0.0407362033483	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.130592149737	1	1	1	1	1	1	0.591553029163	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	0.315845476265	1	1	0.731338815452	1	1	1	1	1	1	1	1	1	1	1	1	1	0.110169379856	1	1	1	1	1	1	1	1	1	1	1	1	0.893664107796	0.0505989068813	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	0.265190106773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.150064326875	1	1	1	1	1	1	1	0.00518892479704	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	0.0177784774136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0198620468989	0.920269741179	1	1	1	1	1	1	0.00554481973208	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	0.000563142656067	1	1	1	1	1	1	1	1	1	1	1	1	0.00389724002574	1	1	1	1	1	1	1	1	1	0.10734094859	1	1	1	1	1	1	0.00704438432607	0.0388319478515	1	1	0.594513050295	1	1	1	1	1
GO_CATECHOLAMINE_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.851362902619	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.00378184474792	0.0	0.00238857204782	0.00935298212002	0.0	0.0	0.000716289368313	1	1	0.0	1	1	1	1	0.0620968786262	0.0	0.158207242164	0.0	0.0	1	0.00062537519582	1.73844812837e-05	0.0	1	1	0.0348112402234	1.84724143422e-05	0.0518882565099	1.34721705534e-05	1	0.243107569158	1	1.86558577225e-05	1	6.38595934399e-06	6.02698125407e-06	9.80140419493e-06	0.0	1	0.000273491322323	1	1	1	0.0036990378851	0.00404916729156
